run_index,frame_wait_ms,camera_to_tensor_ms,edgetpu_invoke_ms,output_read_ms,detect_nms_ms,num_detections,total_loop_ms
0,42,22,125,9,6,1,204
1,4,86,135,8,7,0,240
2,6,22,130,9,6,1,173
3,3,86,123,9,6,1,227
4,5,22,128,9,6,0,170
5,2,86,126,9,6,0,229
6,6,22,124,9,6,2,167
7,3,86,133,9,6,1,237
8,5,22,121,9,6,0,163
9,2,86,130,9,6,0,233
10,6,22,121,9,6,1,164
11,3,86,131,9,6,1,235
12,5,22,130,9,6,0,172
13,2,86,122,9,6,1,225
14,5,22,132,9,6,2,174
15,2,87,131,9,6,1,235
16,5,22,133,8,7,1,175
17,3,86,127,9,6,0,231
18,5,22,129,9,6,1,171
19,3,86,120,9,6,0,224
20,5,22,130,9,6,1,172
21,3,86,131,9,6,1,235
22,5,22,125,9,6,0,167
23,3,86,129,9,6,0,233
24,4,22,121,8,7,0,162
25,3,87,131,9,6,1,236
26,5,22,132,8,7,0,174
27,3,87,123,9,6,2,228
28,6,22,127,9,6,0,170
29,3,86,126,9,6,1,230
