run_index,frame_interval_ms,prep_stall_ms,infer_stall_ms,num_detections
0,190,11,20,0
1,194,11,29,0
2,194,10,30,0
3,165,175,0,0
4,268,178,2,0
5,200,178,2,0
6,201,178,1,0
7,201,178,1,0
8,200,177,1,0
9,201,178,2,0
10,200,177,1,0
11,200,177,1,0
12,205,177,1,0
13,200,177,1,0
14,201,178,1,0
15,201,178,1,0
16,201,178,2,0
17,200,178,2,0
18,201,178,1,0
19,201,178,1,0
20,201,178,1,0
21,201,178,1,0
22,201,178,2,0
23,201,178,1,0
24,200,177,1,0
25,201,178,2,0
26,200,178,2,0
27,200,178,1,0
28,200,177,1,0
29,200,177,1,0
