run_index,cam_id,select_ms,to_tensor_ms,invoke_ms,detect_ms,num_detections,total_frame_ms
0,0,0,69,30,1,0,100
1,1,0,212,33,0,0,245
2,0,0,150,30,0,0,181
3,1,0,216,28,0,0,244
4,0,0,149,29,0,0,178
5,1,0,214,27,0,0,241
6,0,0,149,29,0,0,178
7,1,0,216,27,0,0,243
8,0,0,150,28,1,0,179
9,1,0,215,26,1,0,242
10,0,0,148,30,0,0,178
11,1,0,215,26,1,0,242
12,0,0,150,28,0,0,178
13,1,0,216,26,1,0,243
14,0,0,149,28,0,0,177
15,1,0,216,26,1,0,243
16,0,0,148,29,0,0,177
17,1,0,215,26,1,0,242
18,0,0,150,28,0,0,178
19,1,0,214,26,1,0,241
20,0,0,150,29,0,0,179
21,1,0,214,26,1,0,241
22,0,0,150,30,1,0,181
23,1,0,214,26,1,0,241
24,0,0,150,27,1,0,178
25,1,0,215,26,1,0,242
26,0,0,148,29,0,0,177
27,1,0,215,26,1,0,242
28,0,0,149,28,0,0,178
29,1,0,214,36,0,0,250
30,0,0,151,30,0,0,181
31,1,0,214,31,0,0,245
32,0,0,150,31,0,0,181
33,1,0,214,27,1,0,242
34,0,0,150,29,0,0,179
35,1,0,216,26,1,0,243
36,0,0,148,28,0,0,176
37,1,0,214,27,0,0,241
38,0,0,149,29,0,0,178
39,1,0,214,27,0,0,241
