run_index,frame_interval_ms,prep_stall_ms,infer_stall_ms,num_detections
0,36,36,15,0
1,92,1,42,0
2,65,0,42,0
3,62,0,41,0
4,64,0,41,0
5,64,0,41,0
6,65,0,41,0
7,67,0,44,0
8,62,0,41,0
9,63,0,41,0
10,64,0,41,0
11,64,1,41,0
12,66,0,44,0
13,63,0,42,0
14,63,0,41,0
15,72,0,42,0
16,63,0,41,0
17,63,0,41,0
18,67,0,44,0
19,63,0,42,0
20,67,0,41,0
21,64,1,42,0
22,64,0,41,0
23,68,0,44,0
24,64,0,41,0
25,63,0,42,0
26,63,0,41,0
27,64,0,41,0
28,66,0,40,0
29,71,0,44,0
30,63,0,41,0
31,64,0,41,0
32,64,0,42,0
33,63,0,41,0
34,64,0,41,0
35,67,0,44,0
36,62,0,42,0
37,65,0,41,0
38,67,0,41,0
39,64,0,41,0
