run_index,cam_id,select_ms,to_tensor_ms,invoke_ms,detect_ms,num_detections,total_frame_ms
0,0,0,34,32,0,0,66
1,1,17,96,31,1,0,145
2,0,18,96,32,0,0,146
3,1,18,96,33,1,0,148
4,0,17,97,31,0,0,145
5,1,18,95,32,1,0,146
6,0,18,97,33,1,0,149
7,1,17,96,29,0,0,143
8,0,17,97,36,0,0,150
9,1,18,95,33,1,0,147
10,0,18,96,29,0,0,143
11,1,18,96,28,1,0,143
12,0,17,97,32,1,0,147
13,1,17,96,33,1,0,147
14,0,17,97,29,0,0,143
15,1,18,95,28,1,0,142
16,0,18,96,32,1,0,147
17,1,18,95,33,1,0,147
18,0,18,96,29,1,0,144
19,1,18,96,28,1,0,143
20,0,17,96,32,1,0,146
21,1,18,95,33,1,0,147
22,0,18,97,29,0,0,144
23,1,17,96,28,1,0,142
24,0,17,97,32,1,0,147
25,1,17,96,33,1,0,147
26,0,18,96,30,0,0,144
27,1,18,95,28,0,0,141
28,0,19,96,35,0,0,150
29,1,18,96,33,0,0,147
30,0,18,96,28,0,0,142
31,1,19,95,28,1,0,143
32,0,18,96,36,0,0,150
33,1,18,96,31,1,0,146
34,0,17,97,28,1,0,143
35,1,18,95,35,0,0,148
36,0,18,97,33,0,0,148
37,1,18,95,29,0,0,142
38,0,18,97,32,1,0,148
39,1,17,96,33,1,0,147
