run_index,cam_id,select_ms,to_tensor_ms,invoke_ms,detect_ms,num_detections,total_frame_ms
0,1,0,34,28,0,0,62
1,1,0,32,28,0,0,60
2,1,0,34,34,0,0,68
3,1,0,30,32,0,0,62
4,1,0,34,32,1,0,67
5,1,0,29,32,0,0,61
6,1,0,34,28,0,0,62
7,1,0,30,29,1,0,60
8,1,0,33,28,0,0,61
9,1,0,30,28,0,0,58
10,1,0,34,34,1,0,69
11,1,0,29,32,0,0,61
12,1,0,34,33,1,0,68
13,1,0,29,32,0,0,61
14,1,0,34,28,0,0,62
15,1,0,32,28,0,0,60
16,1,0,32,28,0,0,60
17,1,0,34,28,0,0,62
18,1,0,29,32,0,0,61
19,1,0,34,31,1,0,66
20,1,0,29,32,0,0,61
21,1,0,34,32,1,0,67
22,1,0,29,32,0,0,61
23,1,0,34,28,0,0,62
24,1,0,29,29,1,0,59
25,1,0,33,28,0,0,61
26,1,0,30,32,1,0,63
27,1,0,33,32,0,0,65
28,1,0,30,32,0,0,62
29,1,0,33,33,1,0,67
30,1,0,29,32,0,0,61
31,1,0,34,28,0,0,62
32,1,0,32,28,0,0,60
33,1,0,31,28,0,0,60
34,1,0,34,34,0,0,68
35,1,0,30,31,1,0,62
36,1,0,33,33,1,0,67
37,1,0,29,31,0,0,60
38,1,0,34,27,0,0,61
39,1,0,30,29,1,0,60
