run_index,cam_id,select_ms,to_tensor_ms,invoke_ms,detect_ms,num_detections,total_frame_ms
0,0,0,34,34,0,0,69
1,1,17,96,33,1,0,147
2,0,17,97,29,1,0,144
3,1,18,95,28,1,0,142
4,0,18,96,32,0,0,146
5,1,18,95,33,1,0,147
6,0,18,96,29,1,0,144
7,1,18,95,28,1,0,142
8,0,18,96,32,1,0,147
9,1,18,95,33,1,0,147
10,0,18,96,29,1,0,144
11,1,18,96,28,1,0,143
12,0,17,97,32,0,0,146
13,1,18,96,33,1,0,148
14,0,17,97,29,0,0,143
15,1,18,95,28,1,0,142
16,0,18,96,32,1,0,147
17,1,18,95,34,0,0,148
18,0,18,97,28,0,0,143
19,1,18,95,28,1,0,142
20,0,18,96,32,1,0,147
21,1,18,95,33,1,0,147
22,0,18,96,29,1,0,144
23,1,18,96,28,1,0,143
24,0,17,97,39,1,0,154
25,1,17,96,29,1,0,143
26,0,17,97,28,1,0,143
27,1,17,96,32,0,0,145
28,0,17,97,33,1,0,148
29,1,18,95,30,0,0,143
30,0,18,96,28,0,0,142
31,1,19,95,34,0,0,148
32,0,19,96,33,0,0,148
33,1,18,96,28,0,0,142
34,0,18,97,32,1,0,148
35,1,17,96,33,1,0,147
36,0,17,97,30,1,0,145
37,1,17,96,28,1,0,142
38,0,17,97,32,1,0,147
39,1,17,96,33,1,0,147
