run_index,cam_id,select_ms,to_tensor_ms,invoke_ms,detect_ms,num_detections,total_frame_ms
0,0,1,34,33,1,0,69
1,0,0,31,32,0,0,63
2,0,0,34,28,0,0,62
3,0,0,30,32,0,0,62
4,0,0,34,32,0,0,66
5,0,0,30,31,0,0,61
6,0,0,34,31,1,0,66
7,0,0,29,33,1,0,63
8,0,0,33,29,1,0,63
9,0,0,29,30,0,0,59
10,0,0,34,28,0,0,62
11,0,0,30,32,0,0,62
12,0,0,34,32,0,0,66
13,0,0,29,32,0,0,61
14,0,0,34,32,1,0,67
15,0,0,32,30,0,0,62
16,0,0,32,29,0,0,61
17,0,0,34,27,1,0,62
18,0,0,29,29,0,0,58
19,0,0,34,34,1,0,69
20,0,0,29,32,0,0,61
21,0,0,34,30,1,0,65
22,0,0,29,32,1,0,62
23,0,0,33,29,1,0,63
24,0,0,29,29,0,0,58
25,0,0,34,28,0,0,62
26,0,0,30,29,0,0,59
27,0,0,34,34,0,0,68
28,0,0,30,32,0,0,62
29,0,0,34,32,1,0,67
30,0,0,32,30,1,0,63
31,0,0,31,28,1,0,60
32,0,0,33,28,0,0,61
33,0,0,29,29,1,0,59
34,0,0,33,28,0,0,61
35,0,0,30,32,0,0,62
36,0,0,34,32,0,0,66
37,0,0,29,32,0,0,61
38,0,0,34,30,1,0,65
39,0,0,29,32,1,0,62
