run_index,cam_id,select_ms,to_tensor_ms,invoke_ms,detect_ms,num_detections,total_frame_ms
0,0,0,34,32,0,0,66
1,0,0,32,29,1,0,62
2,0,0,33,28,0,0,61
3,0,0,30,29,0,0,59
4,0,0,34,27,1,0,62
5,0,0,29,29,0,0,58
6,0,0,34,28,0,0,62
7,0,0,29,29,0,0,58
8,0,0,34,28,0,0,62
9,0,0,29,29,0,0,58
10,0,0,34,27,1,0,62
11,0,0,29,29,0,0,58
12,0,0,33,28,1,0,62
13,0,0,32,34,0,0,66
14,0,0,32,32,1,0,65
15,0,0,33,30,1,0,64
16,0,0,29,32,0,0,61
17,0,0,34,28,0,0,62
18,0,0,30,29,1,0,60
19,0,0,33,28,0,0,61
20,0,0,30,28,0,0,58
21,0,0,34,35,0,0,69
22,0,0,30,30,1,0,61
23,0,0,33,33,1,0,67
24,0,0,29,33,0,0,62
25,0,0,34,28,0,0,62
26,0,0,30,29,1,0,60
27,0,0,33,28,0,0,61
28,0,0,32,28,0,0,60
29,0,0,31,34,0,0,65
30,0,0,34,32,1,0,67
31,0,0,29,33,1,0,63
32,0,0,33,29,1,0,63
33,0,0,29,30,1,0,60
34,0,0,33,28,0,0,61
35,0,0,30,28,0,0,58
36,0,0,34,27,1,0,62
37,0,0,29,32,0,0,61
38,0,0,34,32,0,0,66
39,0,0,29,32,0,0,61
