run_index,cam_id,select_ms,to_tensor_ms,invoke_ms,detect_ms,num_detections,total_frame_ms
0,1,0,34,36,0,0,70
1,1,0,32,29,0,0,61
2,1,0,34,27,1,0,62
3,1,0,29,35,0,0,64
4,1,0,33,32,0,0,65
5,1,0,29,32,1,0,62
6,1,0,33,30,1,0,64
7,1,0,29,30,1,0,60
8,1,0,33,29,0,0,62
9,1,0,29,29,1,0,59
10,1,0,33,28,0,0,61
11,1,0,30,33,0,0,63
12,1,0,34,31,1,0,66
13,1,0,29,32,0,0,61
14,1,0,34,32,1,0,67
15,1,0,32,30,0,0,62
16,1,0,32,28,0,0,60
17,1,0,34,28,0,0,62
18,1,0,29,29,1,0,59
19,1,0,33,35,0,0,68
20,1,0,29,32,0,0,61
21,1,0,34,33,1,0,68
22,1,0,29,31,0,0,60
23,1,0,34,28,1,0,63
24,1,0,29,29,0,0,58
25,1,0,34,28,0,0,62
26,1,0,30,29,1,0,60
27,1,0,33,35,0,0,68
28,1,0,30,31,1,0,62
29,1,0,33,33,1,0,67
30,1,0,29,32,0,0,61
31,1,0,34,28,0,0,62
32,1,0,32,28,0,0,60
33,1,0,32,28,0,0,60
34,1,0,34,28,0,0,62
35,1,0,30,31,0,0,61
36,1,0,34,31,1,0,66
37,1,0,29,32,0,0,61
38,1,0,34,30,1,0,65
39,1,0,29,32,1,0,62
