run_index,cam_id,select_ms,to_tensor_ms,invoke_ms,detect_ms,num_detections,total_frame_ms
0,0,0,34,28,1,0,63
1,1,17,95,31,0,0,143
2,0,18,97,33,1,0,149
3,1,17,96,31,0,0,144
4,0,18,96,28,1,0,143
5,1,18,95,31,0,0,144
6,0,18,97,33,1,0,149
7,1,17,96,31,0,0,144
8,0,18,96,34,1,0,149
9,1,18,95,33,1,0,147
10,0,18,96,30,1,0,145
11,1,18,95,28,1,0,142
12,0,18,96,32,1,0,147
13,1,18,95,33,1,0,147
14,0,18,96,34,1,0,149
15,1,18,95,32,0,0,145
16,0,19,96,33,0,0,148
17,1,19,95,28,0,0,142
18,0,18,97,32,1,0,148
19,1,17,96,33,1,0,147
20,0,18,96,30,1,0,145
21,1,18,95,35,0,0,148
22,0,18,97,33,1,0,149
23,1,17,96,29,1,0,143
24,0,17,97,28,1,0,143
25,1,17,96,32,1,0,146
26,0,17,97,33,1,0,148
27,1,17,95,30,1,0,143
28,0,18,96,28,1,0,143
29,1,18,95,32,1,0,146
30,0,18,96,33,1,0,148
31,1,18,96,29,0,0,143
32,0,17,97,34,0,0,148
33,1,17,96,33,1,0,147
34,0,17,97,29,1,0,144
35,1,17,96,28,1,0,142
36,0,17,97,32,1,0,147
37,1,17,96,33,1,0,147
38,0,17,97,34,1,0,149
39,1,17,96,32,1,0,146
