t_ms,frame_seq,dx,dy,body_fw,body_left,pos_fw,pos_left,confidence
0,78,0,0,0,0,0,0,248
40,79,0,0,0,0,0,0,248
86,80,0,0,0,0,0,0,252
135,81,0,-1,0,-1,0,-1,248
177,82,0,0,0,0,0,-1,248
220,83,0,0,0,0,0,-1,248
269,84,0,-1,0,-1,0,-2,248
310,85,0,-1,0,-1,0,-3,248
356,86,0,0,0,0,0,-3,252
400,87,0,1,0,1,0,-2,248
447,88,0,-1,0,-1,0,-3,248
496,89,1,0,-1,0,-1,-3,248
536,90,0,0,0,0,-1,-3,248
579,91,1,-1,-1,-1,-2,-4,252
625,92,1,-1,-1,-1,-3,-5,248
677,93,0,0,0,0,-3,-5,252
721,94,1,0,-1,0,-4,-5,252
767,95,0,0,0,0,-4,-5,252
816,96,1,0,-1,0,-5,-5,252
856,97,0,0,0,0,-5,-5,252
901,98,0,0,0,0,-5,-5,252
949,99,-3,0,3,0,-2,-5,252
996,100,0,0,0,0,-2,-5,252
1036,101,0,0,0,0,-2,-5,252
1076,102,0,0,0,0,-2,-5,252
1118,103,0,0,0,0,-2,-5,252
1161,104,1,0,-1,0,-3,-5,252
1208,105,1,0,-1,0,-4,-5,252
1259,106,0,0,0,0,-4,-5,252
1301,107,0,0,0,0,-4,-5,252
1350,108,0,0,0,0,-4,-5,252
1396,109,0,0,0,0,-4,-5,252
1438,110,0,0,0,0,-4,-5,252
1481,111,0,0,0,0,-4,-5,252
1526,112,0,0,0,0,-4,-5,252
1576,113,0,0,0,0,-4,-5,252
1616,114,0,0,0,0,-4,-5,252
1660,115,1,0,-1,0,-5,-5,252
1706,116,0,0,0,0,-5,-5,252
1758,117,1,0,-1,0,-6,-5,252
1801,118,0,0,0,0,-6,-5,252
1847,119,1,0,-1,0,-7,-5,252
1901,120,0,0,0,0,-7,-5,252
1947,121,1,1,-1,1,-8,-4,252
1999,122,0,1,0,1,-8,-3,252
2043,123,0,0,0,0,-8,-3,252
2090,124,1,-1,-1,-1,-9,-4,252
2139,125,1,0,-1,0,-10,-4,252
2182,126,0,0,0,0,-10,-4,252
2229,127,0,0,0,0,-10,-4,252
2279,128,1,0,-1,0,-11,-4,252
2321,129,1,1,-1,1,-12,-3,252
2365,130,0,-1,0,-1,-12,-4,248
2412,131,1,0,-1,0,-13,-4,252
2459,132,0,0,0,0,-13,-4,252
2499,133,0,0,0,0,-13,-4,252
2542,134,0,0,0,0,-13,-4,252
2585,135,0,0,0,0,-13,-4,252
2631,136,0,0,0,0,-13,-4,252
2681,137,-1,-1,1,-1,-12,-5,252
2723,138,-1,-1,1,-1,-11,-6,248
2771,139,0,1,0,1,-11,-5,248
2821,140,0,-1,0,-1,-11,-6,252
2863,141,0,0,0,0,-11,-6,252
2906,142,0,0,0,0,-11,-6,252
2953,143,-1,-1,1,-1,-10,-7,252
3002,144,-1,0,1,0,-9,-7,252
3043,145,0,0,0,0,-9,-7,252
3083,146,0,0,0,0,-9,-7,252
3127,147,-1,0,1,0,-8,-7,252
3172,148,0,0,0,0,-8,-7,252
3226,149,-1,0,1,0,-7,-7,252
3275,150,0,-1,0,-1,-7,-8,252
3324,151,-1,0,1,0,-6,-8,252
3367,152,0,0,0,0,-6,-8,252
3409,153,-2,0,2,0,-4,-8,252
3457,154,0,0,0,0,-4,-8,252
3503,155,-1,0,1,0,-3,-8,252
3543,156,0,0,0,0,-3,-8,252
3583,157,0,0,0,0,-3,-8,252
3623,158,-1,0,1,0,-2,-8,252
3663,159,0,0,0,0,-2,-8,252
3703,160,0,0,0,0,-2,-8,252
3743,161,2,-1,-2,-1,-4,-9,252
3783,162,1,0,-1,0,-5,-9,248
3823,163,0,0,0,0,-5,-9,252
3863,164,1,0,-1,0,-6,-9,248
3903,165,0,0,0,0,-6,-9,252
3943,166,0,0,0,0,-6,-9,252
3983,167,0,0,0,0,-6,-9,252
4023,168,-1,0,1,0,-5,-9,248
4063,169,3,-1,-3,-1,-8,-10,252
4103,170,0,0,0,0,-8,-10,252
4143,171,-2,0,2,0,-6,-10,252
4183,172,0,0,0,0,-6,-10,252
4223,173,-1,0,1,0,-5,-10,252
4268,174,0,0,0,0,-5,-10,252
4310,175,0,0,0,0,-5,-10,252
4358,176,1,0,-1,0,-6,-10,252
4405,177,0,-1,0,-1,-6,-11,252
4446,178,2,-1,-2,-1,-8,-12,252
4490,179,1,0,-1,0,-9,-12,252
4535,180,-1,0,1,0,-8,-12,252
4588,181,0,0,0,0,-8,-12,252
4631,182,1,0,-1,0,-9,-12,252
4678,183,0,0,0,0,-9,-12,252
4726,184,0,0,0,0,-9,-12,252
4771,185,0,0,0,0,-9,-12,252
4819,186,2,-1,-2,-1,-11,-13,252
4864,187,-1,0,1,0,-10,-13,252
4906,188,0,-1,0,-1,-10,-14,252
4946,189,0,0,0,0,-10,-14,248
4987,190,1,0,-1,0,-11,-14,248
5031,191,0,0,0,0,-11,-14,252
5076,192,0,0,0,0,-11,-14,248
5129,193,1,0,-1,0,-12,-14,252
5172,194,0,1,0,1,-12,-13,248
5220,195,0,0,0,0,-12,-13,252
5269,196,3,-1,-3,-1,-15,-14,252
