t_ms,frame_seq,dx,dy,body_fw,body_left,pos_fw,pos_left,confidence
0,78,0,0,0,0,0,0,244
40,79,0,0,0,0,0,0,244
90,80,0,0,0,0,0,0,248
133,81,0,0,0,0,0,0,244
176,82,0,0,0,0,0,0,244
224,83,0,0,0,0,0,0,248
270,84,1,0,-1,0,-1,0,248
312,85,-1,0,1,0,0,0,244
352,86,1,0,-1,0,-1,0,244
393,87,0,0,0,0,-1,0,248
434,88,0,0,0,0,-1,0,248
476,89,0,0,0,0,-1,0,248
520,90,0,0,0,0,-1,0,248
567,91,-1,0,1,0,0,0,248
614,92,-1,0,1,0,1,0,244
654,93,0,0,0,0,1,0,244
697,94,-1,0,1,0,2,0,244
741,95,-2,0,2,0,4,0,244
791,96,1,0,-1,0,3,0,244
833,97,0,1,0,1,3,1,244
873,98,0,0,0,0,3,1,244
913,99,0,0,0,0,3,1,244
953,100,0,0,0,0,3,1,244
993,101,0,0,0,0,3,1,244
1033,102,0,0,0,0,3,1,244
1073,103,-1,0,1,0,4,1,244
1113,104,0,1,0,1,4,2,244
1153,105,0,0,0,0,4,2,244
1193,106,0,0,0,0,4,2,248
1233,107,0,0,0,0,4,2,248
1273,108,0,0,0,0,4,2,248
1313,109,0,0,0,0,4,2,244
1353,110,-1,0,1,0,5,2,244
1393,111,0,0,0,0,5,2,244
1433,112,0,0,0,0,5,2,248
1473,113,0,0,0,0,5,2,248
1513,114,0,0,0,0,5,2,248
1554,115,0,0,0,0,5,2,248
1595,116,0,0,0,0,5,2,248
1640,117,0,0,0,0,5,2,244
1686,118,0,0,0,0,5,2,244
1735,119,0,0,0,0,5,2,244
1776,120,0,0,0,0,5,2,248
1819,121,0,0,0,0,5,2,248
1867,122,0,0,0,0,5,2,244
1912,123,0,0,0,0,5,2,244
1954,124,0,0,0,0,5,2,244
1994,125,0,0,0,0,5,2,248
2036,126,-1,0,1,0,6,2,244
2076,127,0,0,0,0,6,2,244
2121,128,0,0,0,0,6,2,248
2169,129,0,0,0,0,6,2,244
2213,130,0,0,0,0,6,2,248
2254,131,0,0,0,0,6,2,248
2294,132,0,0,0,0,6,2,244
2334,133,0,0,0,0,6,2,240
2374,134,1,0,-1,0,5,2,244
2414,135,0,0,0,0,5,2,248
2454,136,-1,0,1,0,6,2,244
2494,137,1,1,-1,1,5,3,244
2534,138,0,0,0,0,5,3,248
2574,139,0,0,0,0,5,3,248
2614,140,-1,0,1,0,6,3,248
2654,141,0,1,0,1,6,4,244
2694,142,0,0,0,0,6,4,244
2734,143,0,0,0,0,6,4,248
2774,144,0,0,0,0,6,4,244
2814,145,1,0,-1,0,5,4,248
2854,146,0,0,0,0,5,4,248
2894,147,1,0,-1,0,4,4,244
2934,148,-1,0,1,0,5,4,244
2974,149,1,0,-1,0,4,4,244
3014,150,1,0,-1,0,3,4,244
3055,151,0,0,0,0,3,4,244
3095,152,0,0,0,0,3,4,244
3140,153,0,0,0,0,3,4,248
3188,154,0,0,0,0,3,4,248
3233,155,0,0,0,0,3,4,244
3275,156,0,0,0,0,3,4,244
3315,157,0,0,0,0,3,4,248
3356,158,0,0,0,0,3,4,248
3397,159,0,0,0,0,3,4,248
3439,160,0,0,0,0,3,4,244
3486,161,0,0,0,0,3,4,244
3534,162,0,0,0,0,3,4,248
3577,163,0,0,0,0,3,4,248
3620,164,0,0,0,0,3,4,244
3667,165,0,0,0,0,3,4,248
3716,166,0,0,0,0,3,4,244
3756,167,0,0,0,0,3,4,248
3800,168,1,0,-1,0,2,4,244
3846,169,0,0,0,0,2,4,244
3898,170,0,0,0,0,2,4,244
3942,171,0,0,0,0,2,4,244
3988,172,0,0,0,0,2,4,244
4038,173,0,0,0,0,2,4,244
4081,174,-1,0,1,0,3,4,244
4130,175,0,0,0,0,3,4,244
4177,176,0,1,0,1,3,5,244
4217,177,0,0,0,0,3,5,244
4260,178,0,0,0,0,3,5,240
4303,179,-1,0,1,0,4,5,244
4350,180,0,1,0,1,4,6,244
4400,181,-1,0,1,0,5,6,244
4442,182,0,0,0,0,5,6,244
4485,183,0,0,0,0,5,6,244
4535,184,0,1,0,1,5,7,244
4576,185,-1,0,1,0,6,7,244
4616,186,-1,0,1,0,7,7,244
4656,187,-1,0,1,0,8,7,244
4696,188,-1,0,1,0,9,7,244
4736,189,0,0,0,0,9,7,244
4776,190,0,0,0,0,9,7,244
4816,191,0,0,0,0,9,7,248
4856,192,1,0,-1,0,8,7,248
4896,193,0,0,0,0,8,7,244
4936,194,-1,0,1,0,9,7,244
4976,195,0,0,0,0,9,7,248
5016,196,-2,-1,2,-1,11,6,244
5056,197,0,0,0,0,11,6,248
5096,198,-1,0,1,0,12,6,244
5141,199,0,0,0,0,12,6,248
5185,200,1,0,-1,0,11,6,244
5232,201,-1,0,1,0,12,6,248
5282,202,0,0,0,0,12,6,248
5326,203,1,0,-1,0,11,6,248
5372,204,0,0,0,0,11,6,248
5422,205,-1,0,1,0,12,6,244
