t_ms,phase_idx,phase,frame_seq,dx,dy,body_fw,body_left,pos_fw,pos_left,confidence,imu_x_mg,imu_y_mg,imu_z_mg
3,0,WAIT_start,1831,0,0,0,0,0,0,248,0,0,0
39,0,WAIT_start,1832,0,0,0,0,0,0,248,0,0,0
61,0,WAIT_start,1833,0,0,0,0,0,0,244,0,0,0
109,0,WAIT_start,1834,0,0,0,0,0,0,248,0,0,0
150,0,WAIT_start,1835,0,0,0,0,0,0,248,0,0,0
201,0,WAIT_start,1836,0,0,0,0,0,0,244,0,0,0
244,0,WAIT_start,1837,0,0,0,0,0,0,248,0,0,0
302,0,WAIT_start,1838,0,0,0,0,0,0,248,0,0,0
324,0,WAIT_start,1839,0,0,0,0,0,0,248,0,0,0
383,0,WAIT_start,1840,0,0,0,0,0,0,248,0,0,0
404,0,WAIT_start,1841,0,0,0,0,0,0,248,0,0,0
462,0,WAIT_start,1842,0,0,0,0,0,0,248,0,0,0
484,0,WAIT_start,1843,0,0,0,0,0,0,248,0,0,0
541,0,WAIT_start,1844,0,0,0,0,0,0,248,0,0,0
563,0,WAIT_start,1845,0,0,0,0,0,0,248,0,0,0
607,0,WAIT_start,1846,0,0,0,0,0,0,248,0,0,0
648,0,WAIT_start,1847,0,0,0,0,0,0,248,0,0,0
693,0,WAIT_start,1848,0,0,0,0,0,0,248,0,0,0
742,0,WAIT_start,1849,0,0,0,0,0,0,248,0,0,0
785,0,WAIT_start,1850,0,0,0,0,0,0,248,0,0,0
825,0,WAIT_start,1851,0,0,0,0,0,0,248,0,0,0
883,0,WAIT_start,1852,0,0,0,0,0,0,248,0,0,0
925,0,WAIT_start,1853,0,0,0,0,0,0,248,0,0,0
967,0,WAIT_start,1854,0,0,0,0,0,0,248,0,0,0
1016,0,WAIT_start,1855,0,0,0,0,0,0,244,0,0,0
1062,0,WAIT_start,1856,0,0,0,0,0,0,248,0,0,0
1104,0,WAIT_start,1857,0,0,0,0,0,0,248,0,0,0
1148,0,WAIT_start,1858,0,0,0,0,0,0,248,0,0,0
1199,0,WAIT_start,1859,0,0,0,0,0,0,248,0,0,0
1260,0,WAIT_start,1860,0,0,0,0,0,0,248,0,0,0
1297,0,WAIT_start,1861,0,0,0,0,0,0,248,0,0,0
1319,0,WAIT_start,1862,0,0,0,0,0,0,248,0,0,0
1361,0,WAIT_start,1863,0,0,0,0,0,0,248,0,0,0
1401,0,WAIT_start,1864,0,0,0,0,0,0,248,0,0,0
1442,0,WAIT_start,1865,0,0,0,0,0,0,248,0,0,0
1482,0,WAIT_start,1866,0,0,0,0,0,0,248,0,0,0
1522,0,WAIT_start,1867,0,0,0,0,0,0,244,0,0,0
1562,0,WAIT_start,1868,0,0,0,0,0,0,248,0,0,0
1604,0,WAIT_start,1869,0,0,0,0,0,0,248,0,0,0
1647,0,WAIT_start,1870,0,0,0,0,0,0,248,0,0,0
1699,0,WAIT_start,1871,0,0,0,0,0,0,248,0,0,0
1742,0,WAIT_start,1872,0,0,0,0,0,0,248,0,0,0
1783,0,WAIT_start,1873,0,0,0,0,0,0,248,0,0,0
1823,0,WAIT_start,1874,0,0,0,0,0,0,248,0,0,0
1863,0,WAIT_start,1875,0,0,0,0,0,0,248,0,0,0
1903,0,WAIT_start,1876,0,0,0,0,0,0,248,0,0,0
1943,0,WAIT_start,1877,0,0,0,0,0,0,248,0,0,0
1983,0,WAIT_start,1878,0,0,0,0,0,0,248,0,0,0
2023,1,MOVE_FW,1879,0,0,0,0,0,0,248,0,0,0
2063,1,MOVE_FW,1880,0,0,0,0,0,0,248,0,0,0
2105,1,MOVE_FW,1881,0,0,0,0,0,0,248,0,0,0
2147,1,MOVE_FW,1882,0,0,0,0,0,0,248,0,0,0
2199,1,MOVE_FW,1883,0,0,0,0,0,0,248,0,0,0
2241,1,MOVE_FW,1884,0,0,0,0,0,0,248,0,0,0
2282,1,MOVE_FW,1885,0,0,0,0,0,0,248,0,0,0
2322,1,MOVE_FW,1886,0,0,0,0,0,0,248,0,0,0
2379,1,MOVE_FW,1887,0,0,0,0,0,0,248,0,0,0
2424,1,MOVE_FW,1888,0,0,0,0,0,0,248,0,0,0
2471,1,MOVE_FW,1889,0,0,0,0,0,0,248,0,0,0
2520,1,MOVE_FW,1890,-1,0,1,0,1,0,244,0,0,0
2562,1,MOVE_FW,1891,0,0,0,0,1,0,244,0,0,0
2610,1,MOVE_FW,1892,0,0,0,0,1,0,248,0,0,0
2658,1,MOVE_FW,1893,0,0,0,0,1,0,244,0,0,0
2699,1,MOVE_FW,1894,0,0,0,0,1,0,244,0,0,0
2739,1,MOVE_FW,1895,0,0,0,0,1,0,244,0,0,0
2779,1,MOVE_FW,1896,0,0,0,0,1,0,248,0,0,0
2820,1,MOVE_FW,1897,0,0,0,0,1,0,244,0,0,0
2862,1,MOVE_FW,1898,0,0,0,0,1,0,244,0,0,0
2905,1,MOVE_FW,1899,-1,0,1,0,2,0,244,0,0,0
2954,1,MOVE_FW,1900,0,0,0,0,2,0,244,0,0,0
2996,1,MOVE_FW,1901,0,0,0,0,2,0,244,0,0,0
3053,1,MOVE_FW,1902,0,0,0,0,2,0,244,0,0,0
3075,1,MOVE_FW,1903,0,0,0,0,2,0,248,0,0,0
3116,1,MOVE_FW,1904,0,0,0,0,2,0,248,0,0,0
3158,1,MOVE_FW,1905,0,0,0,0,2,0,248,0,0,0
3198,1,MOVE_FW,1906,0,0,0,0,2,0,248,0,0,0
3238,1,MOVE_FW,1907,-1,0,1,0,3,0,244,0,0,0
3278,1,MOVE_FW,1908,0,0,0,0,3,0,248,0,0,0
3318,1,MOVE_FW,1909,0,0,0,0,3,0,248,0,0,0
3358,1,MOVE_FW,1910,0,0,0,0,3,0,248,0,0,0
3399,1,MOVE_FW,1911,0,0,0,0,3,0,248,0,0,0
3443,1,MOVE_FW,1912,0,0,0,0,3,0,244,0,0,0
3486,1,MOVE_FW,1913,0,0,0,0,3,0,248,0,0,0
3536,1,MOVE_FW,1914,0,0,0,0,3,0,248,0,0,0
3594,1,MOVE_FW,1915,0,0,0,0,3,0,244,0,0,0
3616,1,MOVE_FW,1916,0,0,0,0,3,0,244,0,0,0
3660,1,MOVE_FW,1917,1,0,-1,0,2,0,248,0,0,0
3700,1,MOVE_FW,1918,-1,0,1,0,3,0,244,0,0,0
3743,1,MOVE_FW,1919,0,0,0,0,3,0,244,0,0,0
3789,1,MOVE_FW,1920,0,0,0,0,3,0,244,0,0,0
3843,1,MOVE_FW,1921,0,0,0,0,3,0,244,0,0,0
3909,1,MOVE_FW,1922,0,0,0,0,3,0,248,0,0,0
3952,1,MOVE_FW,1923,0,0,0,0,3,0,244,0,0,0
3993,1,MOVE_FW,1924,0,0,0,0,3,0,244,0,0,0
4036,1,MOVE_FW,1925,0,0,0,0,3,0,248,0,0,0
4085,1,MOVE_FW,1926,0,0,0,0,3,0,244,0,0,0
4132,1,MOVE_FW,1927,0,0,0,0,3,0,248,0,0,0
4176,1,MOVE_FW,1928,0,0,0,0,3,0,248,0,0,0
4225,1,MOVE_FW,1929,0,0,0,0,3,0,248,0,0,0
4268,1,MOVE_FW,1930,0,0,0,0,3,0,248,0,0,0
4308,1,MOVE_FW,1931,0,0,0,0,3,0,244,0,0,0
4366,1,MOVE_FW,1932,0,0,0,0,3,0,248,0,0,0
4388,1,MOVE_FW,1933,0,0,0,0,3,0,248,0,0,0
4445,1,MOVE_FW,1934,0,0,0,0,3,0,244,0,0,0
4467,1,MOVE_FW,1935,0,0,0,0,3,0,248,0,0,0
4513,1,MOVE_FW,1936,0,0,0,0,3,0,248,0,0,0
4554,1,MOVE_FW,1937,0,0,0,0,3,0,248,0,0,0
4598,1,MOVE_FW,1938,0,0,0,0,3,0,248,0,0,0
4648,1,MOVE_FW,1939,0,0,0,0,3,0,248,0,0,0
4695,1,MOVE_FW,1940,0,0,0,0,3,0,248,0,0,0
4738,1,MOVE_FW,1941,0,0,0,0,3,0,248,0,0,0
4787,1,MOVE_FW,1942,0,0,0,0,3,0,248,0,0,0
4830,1,MOVE_FW,1943,0,0,0,0,3,0,244,0,0,0
4870,1,MOVE_FW,1944,0,0,0,0,3,0,244,0,0,0
4910,1,MOVE_FW,1945,0,0,0,0,3,0,248,0,0,0
4952,1,MOVE_FW,1946,0,0,0,0,3,0,248,0,0,0
4992,1,MOVE_FW,1947,0,0,0,0,3,0,248,0,0,0
5037,1,MOVE_FW,1948,0,0,0,0,3,0,248,0,0,0
5083,1,MOVE_FW,1949,0,0,0,0,3,0,248,0,0,0
5132,1,MOVE_FW,1950,0,0,0,0,3,0,248,0,0,0
5173,1,MOVE_FW,1951,0,0,0,0,3,0,248,0,0,0
5213,1,MOVE_FW,1952,0,0,0,0,3,0,248,0,0,0
5253,1,MOVE_FW,1953,0,0,0,0,3,0,248,0,0,0
5293,1,MOVE_FW,1954,0,0,0,0,3,0,248,0,0,0
