t_ms,phase_idx,phase,frame_seq,dx,dy,body_fw,body_left,pos_fw,pos_left,confidence,imu_x_mg,imu_y_mg,imu_z_mg
115,0,WAIT_start,78,0,0,0,0,0,0,244,-92,-261,-944
137,0,WAIT_start,79,0,0,0,0,0,0,244,-109,-270,-992
185,0,WAIT_start,80,0,0,0,0,0,0,244,-112,-272,-871
226,0,WAIT_start,81,0,0,0,0,0,0,240,-103,-244,-891
273,0,WAIT_start,82,0,0,0,0,0,0,244,-94,-304,-958
323,0,WAIT_start,83,-1,0,1,0,1,0,244,-129,-235,-873
368,0,WAIT_start,84,0,0,0,0,1,0,244,-88,-284,-978
411,0,WAIT_start,85,0,0,0,0,1,0,244,-86,-290,-809
458,0,WAIT_start,86,0,0,0,0,1,0,244,-153,-241,-932
507,0,WAIT_start,87,0,0,0,0,1,0,244,-105,-284,-847
550,0,WAIT_start,88,0,0,0,0,1,0,248,-106,-231,-1003
593,0,WAIT_start,89,-1,0,1,0,2,0,244,-95,-264,-797
643,0,WAIT_start,90,0,0,0,0,2,0,248,-110,-222,-976
684,0,WAIT_start,91,0,0,0,0,2,0,244,-115,-222,-912
725,0,WAIT_start,92,-1,0,1,0,3,0,244,-106,-225,-932
769,0,WAIT_start,93,0,0,0,0,3,0,248,-123,-179,-986
812,0,WAIT_start,94,0,0,0,0,3,0,244,-123,-244,-906
864,0,WAIT_start,95,0,0,0,0,3,0,248,-167,-193,-797
922,0,WAIT_start,96,-1,0,1,0,4,0,244,-87,-234,-993
944,0,WAIT_start,97,0,0,0,0,4,0,248,-155,-191,-959
1017,0,WAIT_start,98,0,0,0,0,4,0,248,-82,-220,-850
1037,0,WAIT_start,99,0,0,0,0,4,0,244,-91,-181,-951
1084,0,WAIT_start,100,0,0,0,0,4,0,248,-123,-179,-899
1179,0,WAIT_start,102,0,0,0,0,4,0,244,-128,-203,-782
1235,0,WAIT_start,103,0,0,0,0,4,0,244,-136,-185,-891
1278,0,WAIT_start,104,0,0,0,0,4,0,244,-95,-198,-903
1319,0,WAIT_start,105,0,0,0,0,4,0,244,-146,-166,-968
1366,0,WAIT_start,106,0,0,0,0,4,0,244,-73,-198,-961
1417,0,WAIT_start,107,0,0,0,0,4,0,244,-80,-213,-959
1457,0,WAIT_start,108,0,0,0,0,4,0,244,-141,-167,-978
1497,0,WAIT_start,109,0,0,0,0,4,0,244,-95,-203,-862
1537,0,WAIT_start,110,0,0,0,0,4,0,244,-126,-202,-954
1577,0,WAIT_start,111,0,0,0,0,4,0,244,-105,-207,-955
1617,0,WAIT_start,112,0,0,0,0,4,0,244,-159,-169,-886
1658,0,WAIT_start,113,0,0,0,0,4,0,248,-72,-229,-880
1699,0,WAIT_start,114,0,0,0,0,4,0,248,-119,-172,-956
1739,0,WAIT_start,115,0,0,0,0,4,0,244,-87,-189,-830
1779,0,WAIT_start,116,0,0,0,0,4,0,244,-138,-160,-1038
1820,0,WAIT_start,117,0,0,0,0,4,0,244,-92,-177,-899
1869,0,WAIT_start,118,0,0,0,0,4,0,248,-131,-170,-783
1922,0,WAIT_start,119,0,0,0,0,4,0,244,-96,-180,-954
1966,0,WAIT_start,120,0,0,0,0,4,0,248,-89,-148,-899
2015,0,WAIT_start,121,-1,0,1,0,5,0,244,-63,-191,-960
2062,0,WAIT_start,122,0,0,0,0,5,0,244,-127,-102,-1007
2112,1,MOVE_FW,123,0,0,0,0,5,0,244,-51,-184,-935
2160,1,MOVE_FW,124,0,0,0,0,5,0,248,-135,-144,-956
2200,1,MOVE_FW,125,0,0,0,0,5,0,248,-41,-168,-897
2241,1,MOVE_FW,126,-1,0,1,0,6,0,248,-52,-146,-997
2283,1,MOVE_FW,127,0,0,0,0,6,0,248,-50,-104,-1031
2326,1,MOVE_FW,128,0,0,0,0,6,0,244,-55,-113,-914
2393,1,MOVE_FW,129,0,0,0,0,6,0,248,-50,-172,-855
2415,1,MOVE_FW,130,0,0,0,0,6,0,244,-66,-95,-999
2459,1,MOVE_FW,131,0,0,0,0,6,0,248,-95,-158,-843
2499,1,MOVE_FW,132,0,0,0,0,6,0,248,-41,-157,-922
2539,1,MOVE_FW,133,0,0,0,0,6,0,244,-59,-126,-988
2595,1,MOVE_FW,134,0,0,0,0,6,0,244,-70,-128,-954
2637,1,MOVE_FW,135,0,0,0,0,6,0,244,-88,-141,-894
2681,1,MOVE_FW,136,0,0,0,0,6,0,244,-37,-142,-972
2726,1,MOVE_FW,137,0,0,0,0,6,0,248,-95,-101,-1031
2779,1,MOVE_FW,138,0,0,0,0,6,0,248,-37,-131,-977
2823,1,MOVE_FW,139,0,0,0,0,6,0,248,-96,-127,-854
2875,1,MOVE_FW,140,0,0,0,0,6,0,248,-41,-120,-999
2916,1,MOVE_FW,141,0,0,0,0,6,0,244,-80,-113,-924
2957,1,MOVE_FW,142,0,0,0,0,6,0,248,-49,-103,-983
2997,1,MOVE_FW,143,0,0,0,0,6,0,248,-68,-86,-946
3037,1,MOVE_FW,144,0,0,0,0,6,0,248,-51,-127,-977
3077,1,MOVE_FW,145,0,0,0,0,6,0,248,-46,-67,-977
3120,1,MOVE_FW,146,0,0,0,0,6,0,248,-115,-94,-908
3161,1,MOVE_FW,147,0,0,0,0,6,0,248,109,-168,-959
3206,1,MOVE_FW,148,0,0,0,0,6,0,248,-102,8,-1066
3255,1,MOVE_FW,149,1,1,-1,1,5,1,244,-37,-73,-800
3313,1,MOVE_FW,150,0,0,0,0,5,1,248,16,-90,-983
3335,1,MOVE_FW,151,0,0,0,0,5,1,248,-111,-81,-829
3380,1,MOVE_FW,152,0,0,0,0,5,1,248,-39,-94,-1052
3421,1,MOVE_FW,153,0,0,0,0,5,1,248,-93,-44,-848
3470,1,MOVE_FW,154,0,0,0,0,5,1,244,24,-93,-922
3518,1,MOVE_FW,155,0,0,0,0,5,1,248,-40,-107,-1005
3558,1,MOVE_FW,156,0,0,0,0,5,1,248,-98,-58,-905
3599,1,MOVE_FW,157,-1,0,1,0,6,1,248,-39,2,-1043
3639,1,MOVE_FW,158,0,0,0,0,6,1,248,-54,-35,-917
3679,1,MOVE_FW,159,-1,-1,1,-1,7,0,244,-50,-74,-900
3721,1,MOVE_FW,160,0,0,0,0,7,0,248,110,30,-1040
3770,1,MOVE_FW,161,0,0,0,0,7,0,244,-82,12,-891
3817,1,MOVE_FW,162,0,0,0,0,7,0,244,76,-152,-1035
3872,1,MOVE_FW,163,0,0,0,0,7,0,248,-13,-57,-931
3916,1,MOVE_FW,164,1,0,-1,0,6,0,248,-38,-35,-919
3956,1,MOVE_FW,165,1,0,-1,0,5,0,244,13,-31,-983
4014,1,MOVE_FW,166,0,0,0,0,5,0,248,28,-77,-951
