t_ms,phase_idx,phase,frame_seq,dx,dy,body_fw,body_left,pos_fw,pos_left,confidence
3001,1,MOVE_FW,274,1,0,-1,0,-1,0,240
3042,1,MOVE_FW,275,0,0,0,0,-1,0,244
3082,1,MOVE_FW,276,0,0,0,0,-1,0,240
3130,1,MOVE_FW,277,1,0,-1,0,-2,0,240
3181,1,MOVE_FW,278,0,0,0,0,-2,0,244
3225,1,MOVE_FW,279,1,0,-1,0,-3,0,240
3268,1,MOVE_FW,280,0,0,0,0,-3,0,240
3316,1,MOVE_FW,281,0,0,0,0,-3,0,240
3363,1,MOVE_FW,282,-1,1,1,1,-2,1,240
3405,1,MOVE_FW,283,0,0,0,0,-2,1,240
3451,1,MOVE_FW,284,0,0,0,0,-2,1,240
3503,1,MOVE_FW,285,0,0,0,0,-2,1,240
3545,1,MOVE_FW,286,0,0,0,0,-2,1,248
3589,1,MOVE_FW,287,1,0,-1,0,-3,1,240
3635,1,MOVE_FW,288,-1,0,1,0,-2,1,244
3688,1,MOVE_FW,289,1,0,-1,0,-3,1,240
3730,1,MOVE_FW,290,0,0,0,0,-3,1,240
3775,1,MOVE_FW,291,0,0,0,0,-3,1,236
3826,1,MOVE_FW,292,-1,0,1,0,-2,1,240
3870,1,MOVE_FW,293,0,0,0,0,-2,1,240
3913,1,MOVE_FW,294,0,0,0,0,-2,1,240
3959,1,MOVE_FW,295,0,0,0,0,-2,1,236
4030,1,MOVE_FW,296,1,0,-1,0,-3,1,240
4077,1,MOVE_FW,297,0,1,0,1,-3,2,240
4122,1,MOVE_FW,298,0,0,0,0,-3,2,240
4175,1,MOVE_FW,299,0,0,0,0,-3,2,236
4218,1,MOVE_FW,300,1,0,-1,0,-4,2,236
4265,1,MOVE_FW,301,0,0,0,0,-4,2,236
4315,1,MOVE_FW,302,1,0,-1,0,-5,2,236
4366,1,MOVE_FW,303,-1,0,1,0,-4,2,244
4414,1,MOVE_FW,304,1,0,-1,0,-5,2,236
4454,1,MOVE_FW,305,0,0,0,0,-5,2,244
4498,1,MOVE_FW,306,1,0,-1,0,-6,2,236
4545,1,MOVE_FW,307,0,0,0,0,-6,2,240
4593,1,MOVE_FW,308,0,0,0,0,-6,2,240
4633,1,MOVE_FW,309,0,0,0,0,-6,2,248
4673,1,MOVE_FW,310,0,0,0,0,-6,2,244
4713,1,MOVE_FW,311,0,0,0,0,-6,2,244
4753,1,MOVE_FW,312,0,0,0,0,-6,2,244
4793,1,MOVE_FW,313,0,0,0,0,-6,2,244
4835,1,MOVE_FW,314,0,0,0,0,-6,2,240
4883,1,MOVE_FW,315,0,0,0,0,-6,2,240
4936,1,MOVE_FW,316,0,0,0,0,-6,2,240
4979,1,MOVE_FW,317,0,0,0,0,-6,2,240
5027,1,MOVE_FW,318,0,0,0,0,-6,2,244
5073,1,MOVE_FW,319,0,0,0,0,-6,2,244
5113,1,MOVE_FW,320,0,0,0,0,-6,2,248
5154,1,MOVE_FW,321,0,0,0,0,-6,2,240
5194,1,MOVE_FW,322,0,0,0,0,-6,2,244
5238,1,MOVE_FW,323,1,0,-1,0,-7,2,240
5285,1,MOVE_FW,324,0,0,0,0,-7,2,240
5333,1,MOVE_FW,325,0,0,0,0,-7,2,244
5386,1,MOVE_FW,326,0,0,0,0,-7,2,244
5429,1,MOVE_FW,327,0,0,0,0,-7,2,240
5471,1,MOVE_FW,328,0,0,0,0,-7,2,244
5511,1,MOVE_FW,329,0,0,0,0,-7,2,240
5551,1,MOVE_FW,330,0,0,0,0,-7,2,248
5607,1,MOVE_FW,331,0,0,0,0,-7,2,240
5654,1,MOVE_FW,332,0,0,0,0,-7,2,240
5699,1,MOVE_FW,333,0,0,0,0,-7,2,240
5753,1,MOVE_FW,334,0,0,0,0,-7,2,244
5798,1,MOVE_FW,335,0,0,0,0,-7,2,240
5853,1,MOVE_FW,336,0,0,0,0,-7,2,240
5907,1,MOVE_FW,337,0,0,0,0,-7,2,244
5947,1,MOVE_FW,338,0,0,0,0,-7,2,248
5987,1,MOVE_FW,339,0,0,0,0,-7,2,244
6027,1,MOVE_FW,340,0,0,0,0,-7,2,236
6067,1,MOVE_FW,341,0,0,0,0,-7,2,240
6087,1,MOVE_FW,342,0,0,0,0,-7,2,240
6147,1,MOVE_FW,343,0,0,0,0,-7,2,244
6187,1,MOVE_FW,344,0,0,0,0,-7,2,244
6207,1,MOVE_FW,345,0,0,0,0,-7,2,248
6267,1,MOVE_FW,346,0,0,0,0,-7,2,244
6287,1,MOVE_FW,347,0,0,0,0,-7,2,248
6350,1,MOVE_FW,348,0,0,0,0,-7,2,240
6400,1,MOVE_FW,349,0,0,0,0,-7,2,244
6449,1,MOVE_FW,350,0,0,0,0,-7,2,240
6490,1,MOVE_FW,351,0,0,0,0,-7,2,244
6530,1,MOVE_FW,352,0,0,0,0,-7,2,244
6575,1,MOVE_FW,353,0,0,0,0,-7,2,248
6620,1,MOVE_FW,354,0,0,0,0,-7,2,248
6673,1,MOVE_FW,355,0,0,0,0,-7,2,244
6716,1,MOVE_FW,356,0,0,0,0,-7,2,240
6763,1,MOVE_FW,357,0,0,0,0,-7,2,240
6811,1,MOVE_FW,358,0,0,0,0,-7,2,236
6854,1,MOVE_FW,359,0,0,0,0,-7,2,244
6907,1,MOVE_FW,360,0,0,0,0,-7,2,240
6948,1,MOVE_FW,361,0,0,0,0,-7,2,240
6988,1,MOVE_FW,362,0,0,0,0,-7,2,240
10019,3,MOVE_R,423,0,0,0,0,-7,2,244
10062,3,MOVE_R,424,0,0,0,0,-7,2,244
10109,3,MOVE_R,425,0,0,0,0,-7,2,244
10159,3,MOVE_R,426,0,0,0,0,-7,2,244
10201,3,MOVE_R,427,0,0,0,0,-7,2,244
10246,3,MOVE_R,428,-1,0,1,0,-6,2,244
10298,3,MOVE_R,429,0,0,0,0,-6,2,244
10343,3,MOVE_R,430,0,0,0,0,-6,2,244
10393,3,MOVE_R,431,0,0,0,0,-6,2,244
10436,3,MOVE_R,432,0,0,0,0,-6,2,248
10492,3,MOVE_R,433,0,0,0,0,-6,2,248
10536,3,MOVE_R,434,0,0,0,0,-6,2,244
10580,3,MOVE_R,435,0,0,0,0,-6,2,248
10631,3,MOVE_R,436,0,0,0,0,-6,2,244
10671,3,MOVE_R,437,0,0,0,0,-6,2,248
10711,3,MOVE_R,438,0,0,0,0,-6,2,248
10731,3,MOVE_R,439,0,0,0,0,-6,2,244
10791,3,MOVE_R,440,0,0,0,0,-6,2,244
10831,3,MOVE_R,441,0,0,0,0,-6,2,244
10876,3,MOVE_R,442,0,0,0,0,-6,2,244
10920,3,MOVE_R,443,0,0,0,0,-6,2,248
10970,3,MOVE_R,444,0,0,0,0,-6,2,248
11012,3,MOVE_R,445,0,0,0,0,-6,2,244
11052,3,MOVE_R,446,0,0,0,0,-6,2,248
11092,3,MOVE_R,447,0,0,0,0,-6,2,248
11132,3,MOVE_R,448,0,0,0,0,-6,2,244
11172,3,MOVE_R,449,0,0,0,0,-6,2,244
11212,3,MOVE_R,450,0,0,0,0,-6,2,248
11252,3,MOVE_R,451,0,0,0,0,-6,2,248
11292,3,MOVE_R,452,0,0,0,0,-6,2,244
11332,3,MOVE_R,453,0,0,0,0,-6,2,244
11377,3,MOVE_R,454,0,0,0,0,-6,2,244
11421,3,MOVE_R,455,0,0,0,0,-6,2,244
11471,3,MOVE_R,456,0,0,0,0,-6,2,244
11511,3,MOVE_R,457,-1,-1,1,-1,-5,1,244
11551,3,MOVE_R,458,0,0,0,0,-5,1,240
11591,3,MOVE_R,459,-1,0,1,0,-4,1,244
11631,3,MOVE_R,460,0,0,0,0,-4,1,244
11671,3,MOVE_R,461,0,0,0,0,-4,1,244
11711,3,MOVE_R,462,0,0,0,0,-4,1,244
11751,3,MOVE_R,463,0,0,0,0,-4,1,240
11791,3,MOVE_R,464,0,0,0,0,-4,1,244
11831,3,MOVE_R,465,0,-1,0,-1,-4,0,240
11875,3,MOVE_R,466,0,0,0,0,-4,0,244
11920,3,MOVE_R,467,0,0,0,0,-4,0,244
11990,3,MOVE_R,468,0,0,0,0,-4,0,248
12033,3,MOVE_R,469,-1,-1,1,-1,-3,-1,248
12076,3,MOVE_R,470,0,0,0,0,-3,-1,244
12123,3,MOVE_R,471,0,0,0,0,-3,-1,248
12172,3,MOVE_R,472,0,0,0,0,-3,-1,248
12213,3,MOVE_R,473,0,0,0,0,-3,-1,244
12256,3,MOVE_R,474,0,0,0,0,-3,-1,248
12305,3,MOVE_R,475,0,0,0,0,-3,-1,248
12352,3,MOVE_R,476,0,0,0,0,-3,-1,244
12397,3,MOVE_R,477,0,0,0,0,-3,-1,244
12442,3,MOVE_R,478,-1,0,1,0,-2,-1,244
12495,3,MOVE_R,479,0,0,0,0,-2,-1,244
12539,3,MOVE_R,480,0,-1,0,-1,-2,-2,240
12590,3,MOVE_R,481,-1,0,1,0,-1,-2,244
