idx,t_ms,off_dx_q1000,off_dy_q1000,off_conf,fw_dx_q1000,fw_dy_q1000,fw_conf,phase,side
1,22,-80,214,248,-79,214,248,M,0
2,100,-37,122,248,-36,122,248,M,0
3,160,-171,416,248,-170,416,248,M,0
4,221,91,677,248,91,678,248,M,0
5,300,63,58,248,63,58,248,M,0
6,360,1,854,248,1,855,248,M,0
7,420,693,945,248,694,946,248,M,0
8,500,126,117,244,126,117,244,M,0
9,560,-10,221,248,-9,221,248,M,0
10,640,273,21,248,273,21,248,M,0
11,700,-121,240,248,-120,240,248,M,0
12,760,-42,183,248,-41,183,248,M,0
13,823,507,207,244,508,207,244,M,0
14,900,19,240,248,19,240,248,M,0
15,960,604,222,244,605,222,244,M,0
16,1022,434,25,244,434,25,244,M,0
17,1100,361,169,244,361,169,244,M,0
18,1160,430,120,244,430,120,244,M,0
19,1240,363,12,244,363,12,244,M,0
20,1300,38,58,200,38,58,200,M,0
21,1360,275,147,244,275,147,244,M,0
22,1440,576,206,244,577,206,244,M,0
23,1500,487,160,240,487,160,240,M,0
24,1560,806,39,248,807,39,248,M,0
25,1640,211,-15,244,211,-14,244,M,0
26,1700,160,-68,244,160,-67,244,M,0
27,1760,235,65,244,235,65,244,M,0
28,1840,675,77,244,676,77,244,M,0
29,1900,751,88,244,752,88,244,M,0
30,1960,837,47,248,838,47,248,M,0
31,2040,392,-17,240,392,-16,240,M,0
32,2100,253,-94,240,253,-93,240,M,0
33,2160,181,-296,236,181,-295,236,M,0
34,2240,66,-387,236,66,-386,236,M,0
35,2300,246,-282,236,246,-281,236,M,0
36,2362,345,-52,240,345,-51,240,M,0
37,2440,183,-32,244,183,-31,244,M,0
38,2500,435,-98,236,435,-97,236,H,0
39,2561,344,-114,236,344,-113,236,H,0
40,2640,102,-29,244,102,-28,244,H,0
41,2700,149,-119,240,149,-118,240,H,0
42,2760,212,-131,240,212,-130,240,H,0
43,2840,194,-82,240,194,-81,240,H,0
44,2900,167,-246,232,167,-245,232,H,0
45,2980,221,-289,232,221,-288,232,H,0
46,3040,117,-349,228,117,-348,228,H,0
47,3100,-26,-244,236,-25,-243,236,H,0
48,3163,222,-809,236,222,-809,236,H,0
49,3240,74,-826,236,74,-826,236,H,0
50,3300,6,-862,240,6,-862,240,H,0
51,3362,131,-791,232,131,-791,232,H,0
52,3440,-13,-765,232,-12,-765,232,H,0
53,3500,25,-767,232,25,-767,232,H,0
54,3580,17,-782,232,17,-782,232,H,0
55,3640,17,-774,232,17,-774,232,H,0
56,3700,107,-844,236,107,-844,236,H,0
57,3780,-44,-780,232,-43,-780,232,H,0
58,3840,11,-942,244,11,-942,244,H,0
59,3901,-230,-852,232,-229,-852,232,H,0
60,3980,65,-1036,244,65,-1035,244,H,0
61,4040,-160,-1255,232,-159,-1254,232,M,1
62,4100,-93,-598,228,-92,-598,228,M,1
63,4180,-181,-286,232,-180,-285,232,M,1
64,4240,126,-828,236,126,-828,236,M,1
65,4300,-266,-500,228,-265,-499,228,M,1
66,4380,52,-787,236,52,-787,236,M,1
67,4440,-56,-610,232,-55,-610,232,M,1
68,4503,-411,-740,228,-410,-740,228,M,1
69,4580,121,-818,240,121,-818,240,M,1
70,4640,-413,-212,216,-412,-211,216,M,1
71,4702,-223,-498,232,-222,-497,232,M,1
72,4780,162,-768,240,162,-768,240,M,1
73,4840,-917,-334,236,-917,-333,236,M,1
74,4901,-404,-151,236,-403,-150,236,M,1
75,4980,-395,-339,232,-394,-338,232,M,1
76,5040,-593,-245,236,-593,-244,236,M,1
77,5120,-474,-241,232,-473,-240,232,M,1
78,5180,-105,-446,240,-104,-445,240,M,1
79,5240,-1004,-101,248,-1003,-100,248,M,1
80,5320,-316,-83,240,-315,-82,240,M,1
81,5380,-626,-188,240,-626,-187,240,M,1
82,5440,-948,-165,244,-948,-164,244,M,1
83,5503,-702,-734,240,-702,-734,240,M,1
84,5580,-782,-27,244,-782,-26,244,M,1
85,5640,-891,-30,248,-891,-29,248,M,1
86,5720,-848,-600,240,-848,-600,240,M,1
87,5780,-754,-1008,244,-754,-1007,244,M,1
88,5840,-722,-187,244,-722,-186,244,M,1
89,5920,-413,175,244,-412,175,244,M,1
90,5980,-261,29,244,-260,29,244,M,1
91,6040,-358,152,244,-357,152,244,M,1
92,6120,-6108,-8661,224,-6107,-8661,224,M,1
93,6180,-820,-238,248,-820,-237,248,M,1
94,6241,-671,-329,244,-671,-328,244,M,1
95,6320,-956,-44,248,-956,-43,248,M,1
96,6380,-1084,-673,248,-1083,-673,248,M,1
97,6440,-15,-104,248,-14,-103,248,M,1
98,6520,-1109,-620,248,-1108,-620,248,H,1
99,6580,-23,866,248,-22,867,248,H,1
100,6640,-931,-1010,248,-931,-1009,248,H,1
101,6720,-841,-320,248,-841,-319,248,H,1
102,6780,-282,396,248,-281,396,248,H,1
103,6843,-973,-997,248,-973,-997,248,H,1
104,6920,-833,-239,248,-833,-238,248,H,1
105,6980,-47,964,248,-46,965,248,H,1
106,7042,41,819,252,41,820,252,H,1
107,7120,-896,-1136,248,-896,-1135,248,H,1
108,7180,-139,222,252,-138,222,252,H,1
109,7241,-87,100,252,-86,100,252,H,1
110,7320,-85,108,252,-84,108,252,H,1
111,7380,43,-147,252,43,-146,252,H,1
112,7460,60,-122,252,60,-121,252,H,1
113,7520,92,-153,252,92,-152,252,H,1
114,7580,-87,130,252,-86,130,252,H,1
115,7660,-76,146,252,-75,146,252,H,1
116,7720,-129,198,252,-128,198,252,H,1
117,7780,-62,156,252,-61,156,252,H,1
118,7843,0,0,252,0,0,252,H,1
119,7920,-88,207,252,-87,207,252,H,1
120,7980,8,917,252,8,918,252,H,1
121,8060,-116,200,252,-115,200,252,M,2
122,8120,-92,1134,252,-91,1134,252,M,2
123,8180,-908,-1136,248,-908,-1135,248,M,2
124,8260,-6,914,252,-5,915,252,M,2
125,8320,-193,1335,248,-192,1335,248,M,2
126,8382,-158,372,248,-157,372,248,M,2
127,8460,-91,1107,252,-90,1107,252,M,2
128,8520,18,836,252,18,837,252,M,2
129,8581,-111,1166,252,-110,1166,252,M,2
130,8660,-986,1,252,-986,1,252,M,2
131,8720,149,588,248,149,589,248,M,2
132,8780,-159,1156,252,-158,1156,252,M,2
133,8860,-294,1238,248,-293,1238,248,M,2
134,8920,-141,1168,252,-140,1168,252,M,2
135,9000,-262,1245,252,-261,1245,252,M,2
136,9060,-124,1927,248,-123,1928,248,M,2
137,9120,-192,1134,252,-191,1134,252,M,2
138,9183,-23,739,252,-22,740,252,M,2
139,9260,-891,245,252,-891,245,252,M,2
140,9320,-151,1196,252,-150,1196,252,M,2
141,9382,-238,1130,252,-237,1130,252,M,2
142,9460,-47,958,252,-46,959,252,M,2
143,9520,-642,847,248,-642,848,248,M,2
144,9600,-189,1410,248,-188,1410,248,M,2
145,9660,-286,1136,248,-285,1136,248,M,2
146,9720,9,772,252,9,773,252,M,2
147,9800,-8,98,252,-7,98,252,M,2
148,9860,-865,274,248,-865,274,248,M,2
149,9920,-57,924,252,-56,925,252,M,2
150,10000,-276,1102,252,-275,1102,252,M,2
151,10060,55,713,252,55,714,252,M,2
152,10120,-652,766,248,-652,767,248,M,2
153,10183,-76,315,216,-75,315,216,M,2
154,10260,-271,440,236,-270,440,236,M,2
155,10320,-71,460,248,-70,460,248,M,2
156,10400,-34,-78,252,-33,-77,252,M,2
157,10460,-90,228,248,-89,228,248,M,2
158,10520,117,-180,248,117,-179,248,H,2
159,10600,346,-128,248,346,-127,248,H,2
160,10660,20,89,252,20,89,252,H,2
161,10722,636,191,248,637,191,248,H,2
162,10800,241,15,248,241,15,248,H,2
163,10860,872,253,248,873,253,248,H,2
164,10921,455,3,244,455,3,244,H,2
165,11000,879,507,248,880,508,248,H,2
166,11060,824,696,248,825,697,248,H,2
167,11120,744,703,244,745,704,244,H,2
168,11200,798,451,244,799,451,244,H,2
169,11260,425,-55,240,425,-54,240,H,2
170,11340,775,308,244,776,308,244,H,2
171,11400,829,237,248,830,237,248,H,2
172,11460,771,580,240,772,581,240,H,2
173,11523,869,468,244,870,468,244,H,2
174,11600,1013,809,248,1013,810,248,H,2
175,11660,1070,66,248,1070,66,248,H,2
176,11722,891,257,244,892,257,244,H,2
177,11800,948,118,248,949,118,248,H,2
178,11860,1219,246,240,1219,246,240,H,2
179,11940,1114,221,248,1114,221,248,H,2
180,12000,958,579,244,959,580,244,M,3
181,12060,1168,246,244,1168,246,244,M,3
182,12140,1027,58,248,1027,58,248,M,3
183,12200,1058,134,248,1058,134,248,M,3
184,12261,1088,433,244,1088,433,244,M,3
185,12340,878,560,244,879,561,244,M,3
186,12400,958,269,244,959,269,244,M,3
187,12460,1062,54,248,1062,54,248,M,3
188,12540,855,54,244,856,54,244,M,3
189,12600,1076,275,244,1076,275,244,M,3
190,12660,1068,265,244,1068,265,244,M,3
191,12740,1203,322,204,1203,322,204,M,3
192,12800,803,181,232,804,181,232,M,3
193,12860,681,297,236,682,297,236,M,3
194,12940,935,26,248,936,26,248,M,3
195,13000,641,17,236,642,17,236,M,3
196,13062,630,-108,236,631,-107,236,M,3
197,13140,247,204,240,247,204,240,M,3
198,13200,67,204,248,67,204,248,M,3
199,13261,155,126,240,155,126,240,M,3
200,13340,0,0,248,0,0,248,M,3
201,13400,-12,-230,244,-11,-229,244,M,3
202,13460,-153,-242,240,-152,-241,240,M,3
203,13540,-58,75,248,-57,75,248,M,3
204,13600,278,-116,236,278,-115,236,M,3
205,13680,44,-202,240,44,-201,240,M,3
206,13740,0,0,248,0,0,248,M,3
207,13800,122,-748,244,122,-748,244,M,3
208,13863,71,-845,244,71,-845,244,M,3
209,13940,-13,-460,240,-12,-459,240,M,3
210,14000,62,-870,248,62,-870,248,M,3
211,14062,-203,-1208,240,-202,-1207,240,M,3
212,14140,132,-1077,244,132,-1076,244,M,3
213,14200,-22,-954,248,-21,-954,248,M,3
214,14280,-40,-963,248,-39,-963,248,M,3
215,14340,-69,-1081,248,-68,-1080,248,M,3
216,14400,-4,-1278,240,-3,-1277,240,M,3
217,14480,65,-1330,240,65,-1329,240,M,3
218,14540,241,-1084,240,241,-1083,240,H,3
219,14601,-32,-991,248,-31,-991,248,H,3
220,14680,150,-1029,244,150,-1028,244,H,3
221,14740,182,-1196,236,182,-1195,236,H,3
222,14800,71,-1006,240,71,-1005,240,H,3
223,14880,126,-1009,240,126,-1008,240,H,3
224,14940,3,-1066,244,3,-1065,244,H,3
225,15000,102,-1125,236,102,-1124,236,H,3
226,15080,104,-1029,240,104,-1028,240,H,3
227,15140,-49,-1032,240,-48,-1031,240,H,3
228,15203,33,-1086,240,33,-1085,240,H,3
229,15280,32,-1042,236,32,-1041,236,H,3
230,15340,422,-1057,220,422,-1056,220,H,3
231,15402,175,-801,228,175,-801,228,H,3
232,15480,679,-887,224,680,-887,224,H,3
233,15540,201,-875,232,201,-875,232,H,3
234,15601,92,-822,232,92,-822,232,H,3
235,15680,-3,-868,236,-2,-868,236,H,3
236,15740,212,-874,228,212,-874,228,H,3
237,15820,304,-952,228,304,-952,228,H,3
238,15880,132,-501,220,132,-501,220,H,3
239,15940,142,-98,232,142,-97,232,H,3
