idx,t_ms,phase,side,pc_dx_q1000,pc_dy_q1000,pc_conf,fw_dx_q1000,fw_dy_q1000,fw_conf
1,22,M,0,210,336,65.88,-79,214,248
2,100,M,0,308,404,53.33,-36,122,248
3,160,M,0,-200,531,52.96,-170,416,248
4,221,M,0,-317,521,46.47,91,678,248
5,300,M,0,396,346,51.06,63,58,248
6,360,M,0,-196,793,76.41,1,855,248
7,420,M,0,292,679,54.33,694,946,248
8,500,M,0,588,285,39.83,126,117,244
9,560,M,0,266,557,40.96,-9,221,248
10,640,M,0,488,418,42.88,273,21,248
11,700,M,0,178,354,64.42,-120,240,248
12,760,M,0,173,381,70.34,-41,183,248
13,823,M,0,506,171,41.61,508,207,244
14,900,M,0,255,364,58.61,19,240,248
15,960,M,0,550,161,44.06,605,222,244
16,1022,M,0,599,208,55.35,434,25,244
17,1100,M,0,435,362,47.25,361,169,244
18,1160,M,0,453,327,47.11,430,120,244
19,1240,M,0,378,146,63.14,363,12,244
20,1300,M,0,441,-167,52.09,38,58,200
21,1360,M,0,391,308,46.83,275,147,244
22,1440,M,0,621,213,51.39,577,206,244
23,1500,M,0,468,385,38.61,487,160,240
24,1560,M,0,604,-127,53.50,807,39,248
25,1640,M,0,275,-167,75.23,211,-14,244
26,1700,M,0,220,-176,75.55,160,-67,244
27,1760,M,0,334,111,62.82,235,65,244
28,1840,M,0,526,151,58.93,676,77,244
29,1900,M,0,621,98,65.15,752,88,244
30,1960,M,0,693,-121,66.62,838,47,248
31,2040,M,0,337,-91,62.81,392,-16,240
32,2100,M,0,308,-227,65.62,253,-93,240
33,2160,M,0,265,-309,54.56,181,-295,236
34,2240,M,0,148,-382,56.09,66,-386,236
35,2300,M,0,270,-358,42.56,246,-281,236
36,2362,M,0,381,-116,60.26,345,-51,240
37,2440,M,0,260,-45,89.13,183,-31,244
38,2500,H,0,388,-168,70.06,435,-97,236
39,2561,H,0,382,-124,59.64,344,-113,236
40,2640,H,0,187,-138,85.96,102,-28,244
41,2700,H,0,121,-193,80.43,149,-118,240
42,2760,H,0,238,-138,74.01,212,-130,240
43,2840,H,0,278,-147,69.00,194,-81,240
44,2900,H,0,245,-253,52.72,167,-245,232
45,2980,H,0,258,-272,59.07,221,-288,232
46,3040,H,0,211,-379,50.23,117,-348,228
47,3100,H,0,-86,-302,69.60,-25,-243,236
48,3163,H,0,324,-720,67.07,222,-809,236
49,3240,H,0,201,-703,68.44,74,-826,236
50,3300,H,0,125,-778,92.23,6,-862,240
51,3362,H,0,295,-651,64.05,131,-791,232
52,3440,H,0,235,-632,61.91,-12,-765,232
53,3500,H,0,246,-652,63.91,25,-767,232
54,3580,H,0,150,-631,62.83,17,-782,232
55,3640,H,0,162,-683,71.96,17,-774,232
56,3700,H,0,240,-737,79.18,107,-844,236
57,3780,H,0,138,-672,69.99,-43,-780,232
58,3840,H,0,114,-803,99.65,11,-942,244
59,3901,H,0,-300,-735,63.59,-229,-852,232
60,3980,H,0,274,-1130,76.06,65,-1035,244
61,4040,M,1,-104,-1302,76.55,-159,-1254,232
62,4100,M,1,-319,-497,43.02,-92,-598,228
63,4180,M,1,-178,-374,59.83,-180,-285,232
64,4240,M,1,206,-726,75.19,126,-828,236
65,4300,M,1,-138,-533,45.95,-265,-499,228
66,4380,M,1,166,-654,69.37,52,-787,236
