t_ms,frame_seq,dx_q1000,dy_q1000,sad,conf,ax_mg,ay_mg,az_mg,detail,phase,side_idx
0,258,-43,128,0,255,38.1,-43.9,-955.5,772,MOVE,0
22,259,-62,-147,0,255,41.0,-39.0,-947.7,765,MOVE,0
60,260,-58,37,0,255,40.0,-43.9,-958.4,751,MOVE,0
100,261,-32,-117,0,255,32.2,-49.8,-961.4,753,MOVE,0
124,262,-97,-43,0,255,35.1,-41.0,-949.6,821,MOVE,0
160,263,39,91,0,255,47.8,-44.9,-963.3,763,MOVE,0
200,264,-49,-65,0,255,50.8,-37.1,-957.5,774,MOVE,0
226,265,-64,55,0,255,47.8,-38.1,-959.4,754,MOVE,0
260,266,89,62,0,255,44.9,-28.3,-922.3,819,MOVE,0
289,267,66,161,0,255,37.1,-50.8,-958.4,844,MOVE,0
323,268,-53,-160,0,255,54.7,-30.3,-933.1,791,MOVE,0
360,269,-79,132,0,255,52.7,-42.0,-957.5,709,MOVE,0
400,270,-115,-144,0,255,55.6,-46.8,-963.3,789,MOVE,0
425,271,84,-67,0,255,47.8,-50.8,-965.3,819,MOVE,0
460,272,-107,-123,0,255,62.5,-43.9,-946.7,736,MOVE,0
500,273,136,-103,0,255,57.6,-38.1,-957.5,709,MOVE,0
527,274,-205,137,0,255,23.4,-34.2,-914.5,816,MOVE,0
561,275,187,147,0,255,49.8,-32.2,-937.0,698,MOVE,0
600,276,125,134,0,255,71.2,-32.2,-945.7,756,MOVE,0
624,277,168,150,0,255,87.8,-22.4,-942.8,767,MOVE,0
660,278,-190,235,0,227,75.2,-44.9,-957.5,734,MOVE,0
700,279,-203,343,0,189,95.6,-28.3,-941.8,643,MOVE,0
726,280,128,463,0,188,109.3,-17.6,-932.1,600,MOVE,0
760,281,-307,560,0,200,126.9,-59.5,-939.9,592,MOVE,0
800,282,-308,664,0,239,67.3,-41.0,-943.8,590,MOVE,0
828,283,-122,748,0,255,43.9,-45.9,-966.2,599,MOVE,0
862,284,-233,481,0,166,25.4,-38.1,-937.0,686,MOVE,0
900,285,-295,320,0,224,26.4,-27.3,-941.8,719,MOVE,0
925,286,-183,345,0,233,18.5,-46.8,-974.0,646,MOVE,0
960,287,297,413,0,201,27.3,-40.0,-945.7,667,MOVE,0
1000,288,195,362,0,237,43.9,-42.0,-954.5,719,MOVE,0
1027,289,-209,305,0,255,57.6,-41.0,-964.3,744,MOVE,0
1061,290,260,354,0,255,57.6,-37.1,-947.7,666,MOVE,0
1100,291,-166,334,0,255,70.3,-33.2,-946.7,698,MOVE,0
1129,292,153,409,0,240,62.5,-20.5,-929.2,688,MOVE,0
1163,293,-177,532,0,236,53.7,-29.3,-960.4,713,MOVE,0
1200,294,169,548,0,242,42.9,-33.2,-961.4,653,MOVE,0
1226,295,-182,545,0,245,54.7,-29.3,-970.1,676,MOVE,0
1260,296,118,478,0,225,50.8,-22.4,-972.1,699,MOVE,0
1300,297,-172,543,0,240,56.6,-26.4,-953.6,647,MOVE,0
1328,298,-206,512,0,229,51.7,-18.5,-938.9,639,MOVE,0
