ts	roll	pitch	yaw	x	y	z
16420	0.000	-0.000	0.000	0.0000	-0.0000	0.0150
16422	0.000	-0.000	0.000	0.0000	-0.0000	0.0150
16422	0.000	-0.000	0.000	0.0000	-0.0000	0.0150
16431	0.000	-0.000	0.000	0.0000	-0.0000	0.0150
16449	0.000	-0.000	0.000	0.0000	-0.0000	0.0150
16469	0.000	-0.000	0.000	0.0000	-0.0000	0.0150
16542	0.000	-0.000	0.000	0.0000	-0.0000	0.0150
16564	0.000	-0.000	0.000	0.0000	-0.0000	0.0150
16568	0.000	-0.000	0.000	0.0000	-0.0000	0.0150
16570	0.000	-0.000	0.000	0.0000	-0.0000	0.0150
16575	0.000	-0.000	0.000	0.0000	-0.0000	0.0150
16604	0.000	-0.000	0.000	0.0000	-0.0000	0.0150
16619	0.000	-0.000	0.000	0.0000	-0.0000	0.0150
16645	0.000	-0.001	0.000	0.0000	-0.0000	0.0150
16658	0.000	-0.001	0.000	0.0000	-0.0000	0.0150
16672	0.000	-0.001	0.000	0.0000	-0.0000	0.0150
16701	0.000	-0.001	0.000	0.0000	-0.0000	0.0150
16710	0.000	-0.001	0.000	0.0000	-0.0000	0.0150
16732	0.000	-0.001	0.000	0.0000	-0.0000	0.0150
16754	0.000	-0.001	0.000	0.0000	-0.0000	0.0150
16776	0.000	-0.001	0.000	0.0000	-0.0000	0.0150
16792	0.000	-0.001	0.000	0.0000	-0.0000	0.0150
16809	0.000	-0.001	0.000	0.0000	-0.0000	0.0150
16864	0.000	-0.001	0.000	0.0000	-0.0000	0.0150
16920	0.000	-0.001	0.000	0.0000	-0.0000	0.0150
16923	0.000	-0.001	0.000	0.0000	-0.0000	0.0150
16923	0.000	-0.001	0.000	0.0000	-0.0000	0.0150
16927	0.000	-0.001	0.000	0.0000	-0.0000	0.0150
16929	0.000	-0.001	0.000	0.0000	-0.0000	0.0150
16959	0.000	-0.001	0.000	0.0000	-0.0000	0.0150
16987	0.000	-0.001	0.000	0.0000	-0.0000	0.0150
16991	0.000	-0.001	0.000	0.0000	-0.0000	0.0150
17071	0.000	-0.001	0.000	0.0000	-0.0000	0.0150
17071	0.000	-0.001	0.000	0.0000	-0.0000	0.0150
17073	0.000	-0.001	0.000	0.0000	-0.0000	0.0150
17075	0.000	-0.001	0.000	0.0000	-0.0000	0.0150
17132	0.000	-0.001	0.000	0.0000	-0.0000	0.0150
17148	0.000	-0.001	0.000	0.0000	-0.0000	0.0150
17148	0.000	-0.001	0.000	0.0000	-0.0000	0.0150
17150	0.000	-0.001	0.000	0.0000	-0.0000	0.0150
17236	0.000	-0.002	0.000	0.0000	-0.0000	0.0150
17238	0.000	-0.002	0.000	0.0000	-0.0000	0.0150
17242	0.000	-0.002	0.000	0.0000	-0.0000	0.0150
17245	0.000	-0.002	0.000	0.0000	-0.0000	0.0150
17249	0.000	-0.002	0.000	0.0000	-0.0000	0.0150
17291	0.000	-0.002	0.000	0.0000	-0.0000	0.0150
17291	0.000	-0.002	0.000	0.0000	-0.0000	0.0150
17316	0.000	-0.002	0.000	0.0000	-0.0000	0.0150
17339	0.000	-0.002	0.000	0.0000	-0.0000	0.0150
17353	0.000	-0.002	0.000	0.0000	-0.0000	0.0150
17389	0.000	-0.002	0.000	0.0000	-0.0000	0.0150
17391	0.000	-0.002	0.000	0.0000	-0.0000	0.0150
17415	0.000	-0.002	0.000	0.0000	-0.0000	0.0150
17431	0.000	-0.002	0.000	0.0000	-0.0000	0.0150
17452	0.000	-0.002	0.000	0.0000	-0.0000	0.0150
17475	0.000	-0.002	0.000	0.0000	-0.0000	0.0150
17494	0.000	-0.002	0.000	0.0000	-0.0000	0.0150
17511	0.000	-0.002	0.000	0.0000	-0.0000	0.0150
17529	0.000	-0.002	0.000	0.0000	-0.0000	0.0150
17554	0.000	-0.002	0.000	0.0000	-0.0000	0.0150
17578	0.000	-0.002	0.000	0.0000	-0.0000	0.0150
17593	0.000	-0.002	0.000	0.0000	-0.0000	0.0150
17612	0.000	-0.002	0.000	0.0000	-0.0000	0.0150
17629	0.000	-0.002	0.000	0.0000	-0.0000	0.0150
17697	0.000	-0.002	0.000	0.0000	-0.0000	0.0150
17699	0.000	-0.002	0.000	0.0000	-0.0000	0.0150
17702	0.000	-0.002	0.000	0.0000	-0.0000	0.0150
17727	0.000	-0.002	0.000	0.0000	-0.0000	0.0150
17729	0.000	-0.002	0.000	0.0000	-0.0000	0.0150
17753	0.000	-0.002	0.000	0.0000	-0.0000	0.0150
17771	0.000	-0.002	0.000	0.0000	-0.0000	0.0150
17806	0.000	-0.002	0.000	0.0000	-0.0000	0.0150
17820	0.000	-0.002	0.000	0.0000	-0.0000	0.0150
17830	0.000	-0.002	0.000	0.0000	-0.0000	0.0150
17896	0.000	-0.003	0.000	0.0000	-0.0000	0.0150
17896	0.000	-0.003	0.000	0.0000	-0.0000	0.0150
17914	0.000	-0.003	0.000	0.0000	-0.0000	0.0150
17950	0.000	-0.003	0.000	0.0000	-0.0000	0.0150
17950	0.000	-0.003	0.000	0.0000	-0.0000	0.0150
17972	0.000	-0.003	0.000	0.0000	-0.0000	0.0150
17974	0.000	-0.003	0.000	0.0000	-0.0000	0.0150
17990	0.000	-0.003	0.000	0.0000	-0.0000	0.0150
18014	0.000	-0.003	0.000	0.0000	-0.0000	0.0150
18032	0.000	-0.003	0.000	0.0000	-0.0000	0.0150
18054	0.000	-0.003	0.000	0.0000	-0.0000	0.0150
18069	-0.001	-0.003	-0.000	0.0000	-0.0000	0.0150
18102	0.001	-0.002	-0.002	0.0000	-0.0000	0.0151
18147	-0.012	-0.002	-0.004	0.0000	-0.0000	0.0160
18147	-0.012	-0.002	-0.004	0.0000	-0.0000	0.0160
18157	-0.036	-0.002	-0.005	0.0000	-0.0000	0.0165
18181	-0.064	-0.002	-0.005	0.0000	0.0000	0.0179
18191	-0.049	-0.001	-0.005	0.0000	0.0000	0.0183
18210	-0.045	-0.001	-0.005	0.0000	0.0000	0.0190
18236	-0.053	-0.000	-0.005	0.0000	0.0000	0.0212
18269	-0.066	0.001	-0.005	0.0000	0.0001	0.0252
18277	-0.059	0.002	-0.005	0.0000	0.0001	0.0266
18290	-0.059	0.003	-0.005	0.0000	0.0001	0.0282
18324	-0.049	0.006	-0.005	0.0000	0.0001	0.0333
18331	-0.016	0.009	-0.005	0.0000	0.0001	0.0355
18349	0.014	0.011	-0.005	0.0000	0.0001	0.0366
18370	0.080	0.013	-0.005	-0.0000	0.0002	0.0412
18505	0.124	-0.005	-0.005	-0.0001	0.0001	0.0735
