iter	tid	cls	conf	cx	cy	err_x	err_y	vx	vy	fvx	fvy	x1	y1	x2	y2	fseq
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66
5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69
6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73
7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76
8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80
9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83
10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87
11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90
12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94
13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97
14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101
15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104
16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108
17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112
18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115
19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119
20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123
21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126
22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130
23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133
24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137
25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140
26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144
27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147
28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151
29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154
30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158
31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161
32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165
33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169
34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172
35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175
36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179
37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183
38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186
39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190
40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193
41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197
42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200
43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204
44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207
45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211
46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	214
47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218
48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221
49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225
50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229
51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232
52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235
53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239
54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243
55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	246
56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250
57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253
58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257
59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260
60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	264
61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267
62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	271
63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	274
64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278
65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	281
66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	284
67	0	0	0	0	0	0	0	0	0	17	-12	0	0	0	0	288
68	0	0	0	0	0	0	0	0	0	53	-26	0	0	0	0	292
69	0	0	0	0	0	0	0	0	0	14103	11793	0	0	0	0	295
70	0	0	0	0	0	0	0	0	0	-26530	160	0	0	0	0	298
71	0	0	0	0	0	0	0	0	0	-443	-173	0	0	0	0	300
72	0	0	0	0	0	0	0	0	0	-3327	-471	0	0	0	0	303
73	0	0	0	0	0	0	0	0	0	288	2861	0	0	0	0	305
74	0	0	0	0	0	0	0	0	0	177	573	0	0	0	0	308
75	0	0	0	0	0	0	0	0	0	350	632	0	0	0	0	311
76	0	0	0	0	0	0	0	0	0	225	409	0	0	0	0	313
77	0	0	0	0	0	0	0	0	0	276	1257	0	0	0	0	315
78	0	0	0	0	0	0	0	0	0	1356	314	0	0	0	0	318
79	0	0	0	0	0	0	0	0	0	873	-242	0	0	0	0	321
80	2	16	715	73	233	-77	83	200	200	1397	-693	15	166	131	300	323
81	2	16	707	84	230	-66	80	200	200	-408	343	32	160	137	300	326
82	2	16	734	80	229	-70	79	200	200	488	-357	25	159	135	299	329
83	2	16	789	82	228	-68	78	200	200	419	-312	29	158	136	299	332
84	2	16	789	84	229	-66	79	200	200	208	-278	33	160	135	299	335
85	2	16	789	87	228	-63	78	200	200	309	-268	39	157	136	299	337
86	2	16	785	92	227	-58	77	200	200	214	-187	46	156	139	299	340
87	4	16	742	111	224	-39	74	200	156	161	-243	53	151	170	297	343
88	4	16	750	109	227	-41	77	200	164	-120	111	58	156	160	298	346
89	4	16	742	108	229	-42	79	200	168	195	-150	61	160	155	298	349
90	4	16	797	104	228	-46	78	200	184	132	-99	64	160	145	297	351
91	4	16	645	105	227	-45	77	200	180	161	-104	69	160	142	294	354
92	4	16	820	105	226	-45	76	200	180	100	-97	71	161	140	292	357
93	4	16	805	106	224	-44	74	200	176	-38	-73	73	161	140	288	359
94	4	16	785	106	222	-44	72	200	176	81	-92	75	160	138	284	361
95	4	16	785	106	222	-44	72	200	176	77	-58	75	160	138	284	364
96	4	16	723	107	217	-43	67	200	172	19	-52	76	158	138	277	366
97	4	16	664	108	216	-42	66	200	168	50	-29	76	158	140	274	369
98	4	16	758	108	214	-42	64	200	168	82	-15	77	157	140	272	371
99	4	16	676	110	213	-40	63	200	160	118	-8	77	156	143	271	374
100	4	16	715	109	214	-41	64	200	164	6	8	76	157	143	271	377
101	4	16	695	109	215	-41	65	200	164	-32	26	76	158	143	272	379
102	4	16	723	109	215	-41	65	200	164	-63	16	75	158	143	272	382
103	4	16	742	107	216	-43	66	200	172	-15	27	73	159	142	273	384
104	4	16	758	106	220	-44	70	200	176	-1176	1583	71	162	141	279	387
105	4	16	797	105	226	-45	76	200	180	171	-111	69	166	141	287	390
106	4	16	820	104	227	-46	77	200	184	197	-255	69	166	139	289	393
107	4	16	840	103	229	-47	79	200	188	-37	67	68	166	138	292	396
108	4	16	832	102	230	-48	80	200	192	-19	45	67	167	138	294	399
109	4	16	855	102	232	-48	82	200	192	90	-85	66	169	138	295	402
110	4	16	813	101	231	-49	81	200	196	98	-85	65	168	138	295	404
111	4	16	805	103	230	-47	80	200	188	49	-135	66	166	140	295	407
112	4	16	828	104	230	-46	80	200	184	223	-176	67	166	142	295	410
113	4	16	828	104	230	-46	80	200	184	45	-274	67	166	142	295	413
114	4	16	805	106	225	-44	75	200	176	71	-262	68	159	144	291	416
115	4	16	766	108	221	-42	71	200	168	138	-156	70	153	146	289	419
116	4	16	805	109	217	-41	67	200	164	103	-217	72	149	147	286	422
117	4	16	742	111	212	-39	62	200	156	117	-259	73	145	150	280	424
118	4	16	785	113	208	-37	58	200	148	162	-214	75	142	151	275	427
119	4	16	656	114	204	-36	54	200	144	235	-289	77	138	152	270	430
120	4	16	695	120	199	-30	49	196	120	224	-322	81	132	159	267	433
121	4	16	707	121	196	-29	46	184	116	-13	-207	83	128	159	265	436
122	4	16	773	122	193	-28	43	172	112	195	-235	85	125	159	262	438
123	4	16	785	123	189	-27	39	156	108	163	-297	87	122	159	257	441
124	4	16	785	123	189	-27	39	156	108	327	-391	87	122	159	257	444
125	4	16	758	125	186	-25	36	144	100	198	-235	90	120	161	252	447
126	4	16	805	130	176	-20	26	104	80	174	-243	93	112	168	241	450
127	4	16	844	131	171	-19	21	84	76	263	-318	95	108	168	235	453
128	4	16	707	136	167	-14	17	68	56	75	-253	99	103	173	232	455
129	4	16	688	137	164	-13	14	56	52	212	-181	101	99	173	229	458
130	4	16	715	140	163	-10	13	52	40	283	-227	103	99	177	227	461
131	4	16	773	141	160	-9	10	40	36	211	-270	105	97	178	224	464
132	4	16	813	142	157	-8	7	28	32	351	-348	106	94	178	221	467
133	4	16	559	145	152	-5	2	8	20	301	-327	107	87	183	217	469
134	4	16	559	146	147	-4	-3	-12	16	203	-303	109	84	184	210	472
135	4	16	645	149	140	-1	-10	-40	4	709	-730	111	75	188	206	475
136	2	16	766	164	129	14	-21	-84	-56	40	-137	129	66	200	193	478
137	2	16	766	163	125	13	-25	-100	-52	-153	-11	129	61	197	189	480
138	2	16	805	161	122	11	-28	-112	-44	77	-34	128	58	195	187	483
139	2	16	688	162	120	12	-30	-120	-48	347	-256	128	55	197	185	486
140	2	16	688	163	119	13	-31	-124	-52	255	-217	129	55	198	184	489
141	4	64	695	169	107	19	-43	-172	-76	93	-111	92	20	247	195	491
142	2	16	664	168	115	18	-35	-140	-72	111	-55	130	49	206	182	494
143	2	0	523	168	114	18	-36	-144	-72	252	-134	130	48	206	181	497
144	2	16	676	167	114	17	-36	-144	-68	175	-64	130	48	204	180	499
145	2	16	813	168	113	18	-37	-148	-72	48	-12	133	49	204	178	502
146	2	16	828	169	113	19	-37	-148	-76	66	-5	134	50	204	177	505
147	2	16	766	170	114	20	-36	-144	-80	152	-45	136	51	205	177	508
148	2	16	766	171	113	21	-37	-148	-84	265	-68	136	51	206	175	510
149	2	16	742	173	111	23	-39	-156	-92	163	-54	137	49	209	174	513
150	2	16	715	174	111	24	-39	-156	-96	8	-2	138	49	210	173	516
151	2	16	707	175	111	25	-39	-156	-100	-40	16	138	49	212	173	518
152	2	16	613	175	111	25	-39	-156	-100	85	-19	138	49	212	173	521
153	2	16	715	177	110	27	-40	-160	-108	-17	-16	138	47	216	174	524
154	2	16	656	178	110	28	-40	-160	-112	253	-42	138	45	218	175	526
155	2	16	750	179	107	29	-43	-172	-116	165	-39	139	39	219	175	529
156	2	16	664	179	105	29	-45	-180	-116	173	-59	140	37	219	174	532
157	2	64	707	181	103	31	-47	-188	-124	130	-32	140	32	222	175	535
158	2	64	707	181	103	31	-47	-188	-124	108	-25	140	32	222	175	537
159	2	16	688	181	103	31	-47	-188	-124	102	-45	141	32	222	175	540
160	2	16	656	183	103	33	-47	-188	-132	85	-27	145	34	221	173	543
161	2	16	645	184	105	34	-45	-180	-136	66	-32	146	36	223	174	545
162	2	16	633	185	106	35	-44	-176	-140	50	-29	146	36	225	176	548
163	2	16	676	186	105	36	-45	-180	-144	34	-18	146	33	227	177	551
164	2	16	723	187	104	37	-46	-184	-148	96	-18	147	34	228	175	553
165	2	16	656	188	105	38	-45	-180	-152	55	-37	148	37	228	174	556
166	2	16	645	188	104	38	-46	-184	-152	18	-33	148	35	228	174	558
167	2	16	645	188	104	38	-46	-184	-152	98	-21	148	35	228	174	561
168	2	16	742	187	102	37	-48	-192	-148	47	-20	149	32	225	173	564
169	2	16	676	187	102	37	-48	-192	-148	-12	-12	150	31	224	173	566
170	2	16	758	188	102	38	-48	-192	-152	20	-28	151	32	225	173	569
171	2	16	813	189	102	39	-48	-192	-156	35	-41	153	32	226	172	572
172	2	16	789	190	102	40	-48	-192	-160	38	-33	155	32	226	172	574
173	2	16	750	191	101	41	-49	-196	-164	138	-51	155	31	228	172	577
