ts	roll	pitch	yaw	x	y	z
15883	0.000	0.000	0.000	-0.0000	-0.0000	0.0150
15892	0.000	0.000	0.000	-0.0000	-0.0000	0.0150
15953	0.000	0.000	0.000	-0.0000	-0.0000	0.0150
15955	0.000	0.000	0.000	-0.0000	-0.0000	0.0150
15975	0.000	0.000	0.000	-0.0000	-0.0000	0.0150
15975	0.000	0.000	0.000	-0.0000	-0.0000	0.0150
16000	0.000	0.000	0.000	-0.0000	-0.0000	0.0150
16010	0.000	0.000	0.000	-0.0000	-0.0000	0.0150
16053	0.000	0.001	0.000	-0.0000	-0.0000	0.0150
16053	0.000	0.001	0.000	-0.0000	-0.0000	0.0150
16065	0.000	0.001	0.000	-0.0000	-0.0000	0.0150
16085	0.000	0.001	0.000	-0.0000	-0.0000	0.0150
16106	0.000	0.001	0.000	-0.0000	-0.0000	0.0150
16129	0.000	0.001	0.000	-0.0000	-0.0000	0.0150
16171	0.000	0.001	0.000	-0.0000	-0.0000	0.0150
16174	0.000	0.001	0.000	-0.0000	-0.0000	0.0150
16193	0.000	0.001	0.000	-0.0000	-0.0000	0.0150
16261	0.000	0.001	0.000	-0.0000	-0.0000	0.0150
16275	0.000	0.001	0.000	-0.0000	-0.0000	0.0150
16275	0.000	0.001	0.000	-0.0000	-0.0000	0.0150
16277	0.000	0.001	0.000	-0.0000	-0.0000	0.0150
16287	0.000	0.001	0.000	-0.0000	-0.0000	0.0150
16332	0.000	0.001	0.000	-0.0000	-0.0000	0.0150
16334	0.000	0.001	0.000	-0.0000	-0.0000	0.0150
16346	0.000	0.001	0.000	-0.0000	-0.0000	0.0150
16382	0.000	0.001	0.000	-0.0000	-0.0000	0.0150
16385	0.000	0.001	0.000	-0.0000	-0.0000	0.0150
16479	0.000	0.002	0.000	-0.0000	-0.0000	0.0150
16484	0.000	0.002	0.000	-0.0000	-0.0000	0.0150
16484	0.000	0.002	0.000	-0.0000	-0.0000	0.0150
16484	0.000	0.002	0.000	-0.0000	-0.0000	0.0150
16491	0.000	0.002	0.000	-0.0000	-0.0000	0.0150
16511	0.000	0.002	0.000	-0.0000	-0.0000	0.0150
16551	0.000	0.002	0.000	-0.0000	-0.0000	0.0150
16551	0.000	0.002	0.000	-0.0000	-0.0000	0.0150
16595	0.000	0.002	0.000	-0.0000	-0.0000	0.0150
16597	0.000	0.002	0.000	-0.0000	-0.0000	0.0150
16605	0.000	0.002	0.000	-0.0000	-0.0000	0.0150
16625	0.000	0.002	0.000	-0.0000	-0.0000	0.0150
16653	0.000	0.002	0.000	-0.0000	-0.0000	0.0150
16668	0.000	0.002	0.000	-0.0000	-0.0000	0.0150
