ts	roll	pitch	yaw	x	y	z
15511	0.000	0.001	0.000	-0.0003	-0.0000	0.0150
15527	0.000	0.001	0.000	-0.0003	-0.0000	0.0150
15547	0.000	0.002	0.000	-0.0003	-0.0000	0.0150
15577	0.000	0.003	0.000	-0.0003	-0.0000	0.0150
15589	0.000	0.004	0.000	-0.0003	-0.0000	0.0150
15622	0.000	0.005	0.000	-0.0003	-0.0000	0.0150
15628	0.000	0.005	0.000	-0.0003	-0.0000	0.0150
15661	0.000	0.006	0.000	-0.0003	-0.0000	0.0150
15667	0.000	0.007	0.000	-0.0003	-0.0000	0.0150
15715	0.000	0.009	0.000	-0.0003	-0.0000	0.0150
15715	0.000	0.009	0.000	-0.0003	-0.0000	0.0150
15790	0.000	0.011	0.000	-0.0003	-0.0000	0.0150
15790	0.000	0.011	0.000	-0.0003	-0.0000	0.0150
15790	0.000	0.011	0.000	-0.0003	-0.0000	0.0150
15800	0.000	0.012	0.000	-0.0003	-0.0000	0.0150
15811	0.000	0.012	0.000	-0.0003	-0.0000	0.0150
15833	0.000	0.013	0.000	-0.0003	-0.0000	0.0150
15848	0.000	0.014	0.000	-0.0003	-0.0000	0.0150
15866	0.000	0.014	0.000	-0.0003	-0.0000	0.0150
15888	0.000	0.015	0.000	-0.0003	-0.0000	0.0150
15909	0.000	0.016	0.000	-0.0003	-0.0000	0.0150
15932	0.000	0.017	0.000	-0.0003	-0.0000	0.0150
15952	0.000	0.017	0.000	-0.0003	-0.0000	0.0150
15972	0.000	0.018	0.000	-0.0003	-0.0000	0.0150
15987	0.000	0.019	0.000	-0.0003	-0.0000	0.0150
16030	0.000	0.020	0.000	-0.0003	-0.0000	0.0150
16030	0.000	0.020	0.000	-0.0003	-0.0000	0.0150
16184	0.000	0.026	0.000	-0.0003	-0.0000	0.0150
16189	0.000	0.026	0.000	-0.0003	-0.0000	0.0150
16211	0.000	0.027	0.000	-0.0003	-0.0000	0.0150
16213	0.000	0.027	0.000	-0.0003	-0.0000	0.0150
16213	0.000	0.027	0.000	-0.0003	-0.0000	0.0150
16215	0.000	0.027	0.000	-0.0003	-0.0000	0.0150
16215	0.000	0.027	0.000	-0.0003	-0.0000	0.0150
16215	0.000	0.027	0.000	-0.0003	-0.0000	0.0150
16215	0.000	0.027	0.000	-0.0003	-0.0000	0.0150
16286	0.000	0.029	0.000	-0.0003	-0.0000	0.0150
16286	0.000	0.029	0.000	-0.0003	-0.0000	0.0150
16286	0.000	0.029	0.000	-0.0003	-0.0000	0.0150
16286	0.000	0.029	0.000	-0.0003	-0.0000	0.0150
16306	0.000	0.030	0.000	-0.0003	-0.0000	0.0150
16333	0.000	0.031	0.000	-0.0003	-0.0000	0.0150
16359	0.000	0.032	0.000	-0.0003	-0.0000	0.0150
16367	0.000	0.032	0.000	-0.0003	-0.0000	0.0150
16387	0.000	0.033	0.000	-0.0003	-0.0000	0.0150
16428	0.000	0.034	0.000	-0.0003	-0.0000	0.0150
16428	0.000	0.034	0.000	-0.0003	-0.0000	0.0150
16462	0.000	0.036	0.000	-0.0003	-0.0000	0.0150
16493	0.000	0.037	0.000	-0.0003	-0.0000	0.0150
16493	0.000	0.037	0.000	-0.0003	-0.0000	0.0150
16513	0.000	0.037	0.000	-0.0003	-0.0000	0.0150
16590	0.000	0.040	0.000	-0.0004	-0.0000	0.0150
16603	0.000	0.040	0.000	-0.0004	-0.0000	0.0150
16603	0.000	0.040	0.000	-0.0004	-0.0000	0.0150
16619	0.000	0.041	0.000	-0.0004	-0.0000	0.0150
16625	0.000	0.041	0.000	-0.0004	-0.0000	0.0150
16631	0.000	0.042	0.000	-0.0004	-0.0000	0.0150
16684	0.000	0.043	0.000	-0.0004	-0.0000	0.0150
16686	0.000	0.043	0.000	-0.0004	-0.0000	0.0150
16688	0.000	0.043	0.000	-0.0004	-0.0000	0.0150
16722	0.000	0.045	0.000	-0.0004	-0.0000	0.0150
16730	0.000	0.045	0.000	-0.0004	-0.0000	0.0150
16790	0.000	0.047	0.000	-0.0004	-0.0000	0.0150
16796	0.000	0.047	0.000	-0.0004	-0.0000	0.0150
16798	0.000	0.047	0.000	-0.0004	-0.0000	0.0150
16806	0.000	0.047	0.000	-0.0004	-0.0000	0.0150
16842	0.000	0.049	0.000	-0.0004	-0.0000	0.0150
16849	0.000	0.049	0.000	-0.0004	-0.0000	0.0150
16873	0.000	0.050	0.000	-0.0004	-0.0000	0.0150
16890	0.000	0.050	0.000	-0.0004	-0.0000	0.0150
16909	0.000	0.051	0.000	-0.0004	-0.0000	0.0150
16929	0.000	0.052	0.000	-0.0004	-0.0000	0.0150
16952	0.000	0.053	0.000	-0.0004	-0.0000	0.0150
16994	0.000	0.054	0.000	-0.0004	-0.0000	0.0150
16998	0.000	0.054	0.000	-0.0004	-0.0000	0.0150
17011	0.000	0.055	0.000	-0.0004	-0.0000	0.0150
17075	0.000	0.056	0.000	-0.0004	-0.0000	0.0150
17079	0.000	0.057	0.000	-0.0004	-0.0000	0.0150
17079	0.000	0.057	0.000	-0.0004	-0.0000	0.0150
17098	0.000	0.057	0.000	-0.0004	-0.0000	0.0150
17106	0.000	0.057	0.000	-0.0004	-0.0000	0.0150
17131	0.000	0.058	0.000	-0.0004	-0.0000	0.0150
17284	0.014	0.005	-0.000	-0.0004	-0.0000	0.0159
17284	0.014	0.005	-0.000	-0.0004	-0.0000	0.0159
17284	0.014	0.005	-0.000	-0.0004	-0.0000	0.0159
17286	0.014	0.005	-0.000	-0.0004	-0.0000	0.0159
17286	0.014	0.005	-0.000	-0.0004	-0.0000	0.0159
17286	0.014	0.005	-0.000	-0.0004	-0.0000	0.0159
17327	0.144	-0.010	0.000	-0.0004	-0.0000	0.0177
17330	0.144	-0.010	0.000	-0.0004	-0.0000	0.0177
17345	0.105	-0.018	0.000	-0.0004	-0.0000	0.0191
17351	0.105	-0.018	0.000	-0.0004	-0.0000	0.0190
17367	0.077	-0.024	0.000	-0.0004	-0.0000	0.0213
17367	0.077	-0.024	0.000	-0.0004	-0.0000	0.0213
17397	0.076	-0.027	0.000	-0.0004	-0.0001	0.0239
17410	0.076	-0.028	0.000	-0.0003	-0.0001	0.0265
17461	0.033	-0.029	0.000	-0.0002	-0.0002	0.0343
17471	-0.010	-0.029	0.000	-0.0002	-0.0002	0.0361
17476	-0.010	-0.029	0.000	-0.0002	-0.0002	0.0361
17490	-0.055	-0.028	0.000	-0.0002	-0.0002	0.0382
17511	-0.100	-0.023	0.000	-0.0001	-0.0003	0.0441
17529	-0.102	-0.021	0.000	-0.0001	-0.0003	0.0458
17559	-0.072	-0.014	0.000	0.0000	-0.0003	0.0518
17574	-0.069	-0.009	0.000	0.0001	-0.0003	0.0571
17609	-0.111	-0.001	0.000	0.0002	-0.0002	0.0633
17609	-0.111	-0.001	0.000	0.0002	-0.0002	0.0633
17634	-0.147	0.006	0.000	0.0003	-0.0002	0.0706
17647	-0.150	0.009	0.000	0.0003	-0.0002	0.0724
17666	-0.132	0.017	0.000	0.0004	-0.0002	0.0779
17695	-0.103	0.027	0.000	0.0004	-0.0001	0.0879
17720	-0.108	0.033	0.000	0.0005	-0.0000	0.0939
17735	-0.106	0.035	0.000	0.0005	-0.0000	0.0968
17747	-0.094	0.039	0.000	0.0006	0.0000	0.0992
17802	0.029	0.052	0.000	0.0007	0.0001	0.1142
17802	0.029	0.052	0.000	0.0007	0.0001	0.1142
17806	0.029	0.052	0.000	0.0007	0.0001	0.1142
17856	0.185	0.062	0.000	0.0008	0.0002	0.1331
17856	0.185	0.062	0.000	0.0008	0.0002	0.1331
17872	0.157	0.063	0.000	0.0008	0.0002	0.1358
17906	-0.005	0.066	0.000	0.0009	0.0002	0.1477
17908	-0.005	0.066	0.000	0.0009	0.0002	0.1477
17959	0.064	0.059	0.000	0.0011	0.0002	0.1692
17959	0.064	0.059	0.000	0.0011	0.0002	0.1692
17967	0.111	0.055	0.000	0.0011	0.0002	0.1744
17986	0.156	0.050	0.000	0.0011	0.0002	0.1776
18011	0.221	0.039	0.000	0.0012	0.0002	0.1860
18027	0.222	0.037	0.000	0.0012	0.0002	0.1914
18072	0.083	0.038	0.000	0.0013	0.0001	0.2134
18083	0.018	0.038	0.000	0.0013	0.0001	0.2179
18087	0.018	0.038	0.000	0.0013	0.0001	0.2179
18107	0.018	0.038	0.000	0.0013	0.0001	0.2179
18130	-0.163	0.040	0.000	0.0014	-0.0000	0.2374
18169	-0.242	0.037	0.000	0.0015	0.0000	0.2390
18169	-0.242	0.037	0.000	0.0015	0.0000	0.2390
18187	-0.211	0.033	0.000	0.0016	0.0000	0.2465
18207	-0.163	0.027	0.000	0.0016	0.0001	0.2546
18227	-0.053	0.025	0.000	0.0017	0.0001	0.2629
18283	-0.052	0.025	0.000	0.0019	0.0003	0.2796
18296	-0.079	0.026	0.000	0.0019	0.0003	0.2845
18298	-0.079	0.026	0.000	0.0019	0.0003	0.2845
18307	-0.079	0.026	0.000	0.0019	0.0003	0.2845
18342	-0.155	0.033	0.000	0.0020	0.0004	0.3064
18347	-0.155	0.033	0.000	0.0021	0.0004	0.3058
18367	-0.062	0.037	0.000	0.0021	0.0005	0.3213
18387	-0.036	0.034	0.000	0.0022	0.0005	0.3382
18423	-0.037	0.033	0.000	0.0023	0.0006	0.3572
18427	-0.037	0.033	0.000	0.0023	0.0006	0.3572
18466	0.014	0.042	0.000	0.0025	0.0007	0.3823
18468	0.014	0.042	0.000	0.0025	0.0006	0.3813
18487	0.009	0.044	0.000	0.0025	0.0007	0.3887
18536	-0.012	0.052	0.000	0.0027	0.0007	0.4270
18538	-0.012	0.052	0.000	0.0027	0.0007	0.4259
18546	-0.012	0.052	0.000	0.0027	0.0007	0.4259
18594	-0.102	0.049	0.000	0.0029	0.0007	0.4676
18594	-0.102	0.049	0.000	0.0029	0.0007	0.4676
18607	-0.102	0.049	0.000	0.0029	0.0007	0.4676
18626	-0.108	0.044	0.000	0.0030	0.0008	0.4807
18647	-0.084	0.040	0.000	0.0031	0.0008	0.4925
18676	-0.025	0.038	0.000	0.0031	0.0008	0.5109
18692	0.047	0.040	0.000	0.0032	0.0009	0.5268
18734	0.127	0.044	0.000	0.0033	0.0008	0.5408
18736	0.127	0.044	0.000	0.0033	0.0008	0.5408
18746	0.127	0.044	0.000	0.0033	0.0008	0.5408
18798	0.152	0.065	0.000	0.0035	0.0008	0.5851
18806	0.152	0.065	0.000	0.0035	0.0008	0.5835
18806	0.152	0.065	0.000	0.0035	0.0008	0.5835
18872	-0.039	0.059	0.000	0.0038	0.0007	0.6246
18872	-0.039	0.059	0.000	0.0038	0.0007	0.6246
18874	-0.039	0.059	0.000	0.0038	0.0007	0.6246
18920	-0.050	0.034	0.000	0.0039	0.0006	0.6669
18920	-0.050	0.034	0.000	0.0039	0.0006	0.6669
18927	-0.050	0.034	0.000	0.0039	0.0006	0.6669
18946	-0.059	0.027	0.000	0.0040	0.0006	0.6851
