iter	tid	cls	conf	cx	cy	err_x	err_y	vx	vy	fvx	fvy	x1	y1	x2	y2	fseq
0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	49
1	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	52
2	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	56
3	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	59
4	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	63
5	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	66
6	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	70
7	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	73
8	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	77
9	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	80
10	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	84
11	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	87
12	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	91
13	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	94
14	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	98
15	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	101
16	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	105
17	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	108
18	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	112
19	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	116
20	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	119
21	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	123
22	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	126
23	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	130
24	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	133
25	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	137
26	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	140
27	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	144
28	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	147
29	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	150
30	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	154
31	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	157
32	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	161
33	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	164
34	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	168
35	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	171
36	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	175
37	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	179
38	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	182
39	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	185
40	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	189
41	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	192
42	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	196
43	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	199
44	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	203
45	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	206
46	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	210
47	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	213
48	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	217
49	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	220
50	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	224
51	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	227
52	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	231
53	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	234
54	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	238
55	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	241
56	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	245
57	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	248
58	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	252
59	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	255
60	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	259
61	0	0	0	0	0	0	0	0	0	-65	70	0	0	0	0	262
62	0	0	0	0	0	0	0	0	0	107	50	0	0	0	0	266
63	0	0	0	0	0	0	0	0	0	28	-24	0	0	0	0	270
64	0	0	0	0	0	0	0	0	0	694	-55	0	0	0	0	272
65	0	0	0	0	0	0	0	0	0	27387	110	0	0	0	0	275
66	0	0	0	0	0	0	0	0	0	11667	102	0	0	0	0	278
67	0	0	0	0	0	0	0	0	0	-12389	7655	0	0	0	0	280
68	0	0	0	0	0	0	0	0	0	263	2292	0	0	0	0	283
69	0	0	0	0	0	0	0	0	0	-214	-433	0	0	0	0	285
70	0	0	0	0	0	0	0	0	0	406	565	0	0	0	0	288
71	0	0	0	0	0	0	0	0	0	30	487	0	0	0	0	290
72	0	0	0	0	0	0	0	0	0	584	701	0	0	0	0	293
73	0	0	0	0	0	0	0	0	0	1042	174	0	0	0	0	295
74	0	0	0	0	0	0	0	0	0	756	-449	0	0	0	0	298
75	0	0	0	0	0	0	0	0	0	886	-778	0	0	0	0	301
76	3	16	734	89	230	-61	80	200	-200	484	363	39	160	139	300	303
77	3	16	750	81	227	-69	77	200	-200	311	-374	29	156	133	298	306
78	3	16	805	79	228	-71	78	200	-200	343	-269	26	158	133	299	309
79	3	16	797	84	228	-66	78	200	-200	314	-357	33	157	135	299	311
80	3	16	805	87	227	-63	77	200	-200	197	-180	38	156	136	299	314
81	3	16	789	94	226	-56	76	200	-154	195	-217	46	155	142	298	317
82	3	16	750	102	226	-48	76	200	-112	162	-173	53	155	151	298	320
83	3	16	789	101	226	-49	76	200	-200	105	-119	55	154	147	298	323
84	3	16	734	103	226	-47	76	200	-168	91	-77	59	155	147	297	325
85	3	16	734	106	225	-44	75	200	-146	188	-108	65	155	147	295	328
86	3	16	785	106	224	-44	74	200	-176	128	-113	68	155	145	293	331
87	3	16	805	107	222	-43	72	200	-162	40	-113	70	154	144	291	333
88	3	16	789	107	221	-43	71	200	-172	127	-101	71	156	143	287	336
89	3	16	688	107	219	-43	69	200	-172	132	-80	73	156	141	282	339
90	3	16	656	108	216	-42	66	200	-158	34	-51	75	156	141	277	341
91	3	16	688	108	215	-42	65	200	-168	99	-50	76	157	140	273	343
92	3	16	656	108	213	-42	63	200	-168	156	-48	76	156	140	270	346
93	3	16	750	108	211	-42	61	200	-168	49	-23	76	154	140	268	348
94	3	16	750	109	210	-41	60	200	-154	-38	9	77	153	141	268	351
95	3	16	766	109	210	-41	60	200	-164	74	-9	77	153	141	267	353
96	3	16	715	109	210	-41	60	200	-164	-76	21	77	152	142	268	356
97	3	16	688	108	211	-42	61	200	-178	-108	13	75	153	141	269	358
98	3	16	688	107	211	-43	61	200	-182	-20	20	75	153	140	270	361
99	3	16	625	107	212	-43	62	200	-172	98	19	74	153	141	272	363
100	3	16	664	107	213	-43	63	200	-172	-212	89	73	153	141	273	366
101	3	16	707	104	230	-46	80	200	-200	-1283	4381	68	174	141	286	369
102	3	16	789	101	239	-49	89	200	-200	-917	-464	64	185	139	294	371
103	3	16	785	102	240	-48	90	200	-182	162	-613	63	183	142	298	374
104	3	16	766	103	240	-47	90	200	-178	-65	69	63	181	143	299	377
105	3	16	766	103	238	-47	88	200	-188	225	-307	62	177	144	299	380
106	3	16	797	102	234	-48	84	200	-200	299	-491	62	170	143	298	382
107	3	16	656	104	230	-46	80	200	-164	324	-575	64	164	144	296	385
108	3	16	832	104	224	-46	74	200	-184	33	-442	65	155	144	293	388
109	3	16	813	105	217	-45	67	198	-170	97	-361	67	148	144	286	391
110	3	16	820	107	210	-43	60	170	-152	118	-441	69	143	145	277	393
111	3	16	785	109	201	-41	51	114	-144	169	-542	71	134	147	269	396
112	3	16	766	112	194	-38	44	106	-122	274	-448	74	125	150	263	399
113	3	16	742	114	187	-36	37	78	-124	203	-428	76	120	152	254	402
114	3	16	750	115	181	-35	31	64	-130	60	-246	78	116	153	246	405
115	4	64	578	119	168	-31	18	-58	-84	52	-226	76	94	163	242	407
116	4	16	676	119	166	-31	16	44	-124	222	-330	79	96	160	237	410
117	4	16	633	121	165	-29	15	50	-96	209	-354	82	96	160	235	413
118	4	16	742	124	163	-26	13	32	-74	181	-314	86	95	162	232	415
119	4	16	715	126	160	-24	10	10	-76	181	-316	89	93	163	227	418
120	4	16	820	127	157	-23	7	-2	-82	98	-241	92	92	162	222	421
121	7	64	613	137	145	-13	-5	-140	48	275	-306	87	74	188	217	424
122	7	16	805	135	148	-15	-2	22	-80	189	-333	92	84	179	213	426
123	7	16	758	136	144	-14	-6	-64	-46	288	-323	97	81	175	207	429
124	7	16	664	136	141	-14	-9	-66	-56	213	-250	100	79	172	204	432
125	7	16	715	138	138	-12	-12	-78	-28	155	-242	103	75	173	202	434
126	7	16	805	139	136	-11	-14	-76	-34	225	-278	105	73	173	199	437
127	7	16	758	141	133	-9	-17	-98	-16	258	-272	106	70	176	197	440
128	7	16	766	145	130	-5	-20	-110	20	273	-316	109	66	182	194	443
129	7	16	785	150	124	0	-26	-164	50	240	-301	111	59	190	190	445
130	4	64	656	155	107	5	-43	-200	70	263	-259	89	30	222	185	448
131	7	16	715	156	110	6	-40	-130	34	1413	-2543	117	43	195	177	450
132	7	16	813	159	100	9	-50	-200	66	64	-70	121	34	198	167	453
133	7	16	742	162	95	12	-55	-200	78	-14	109	123	28	201	162	455
134	7	16	734	163	90	13	-60	-200	62	252	-329	125	24	201	157	458
135	7	16	766	164	89	14	-61	-200	66	333	-414	128	22	201	156	461
136	7	16	758	166	84	16	-66	-200	84	160	-179	131	17	202	152	463
137	7	16	688	170	81	20	-69	-200	120	268	-102	133	13	207	150	466
138	7	16	688	171	79	21	-71	-200	94	50	-61	134	11	208	148	468
139	7	16	789	171	79	21	-71	-200	84	78	-32	134	12	208	147	470
140	7	16	832	171	79	21	-71	-200	84	55	-12	135	13	207	145	473
141	7	16	805	171	79	21	-71	-200	84	106	43	135	13	207	145	476
142	7	16	797	173	80	23	-70	-200	112	149	56	136	15	211	146	478
143	7	16	773	175	82	25	-68	-200	120	141	52	137	16	214	148	481
144	7	16	805	175	82	25	-68	-200	100	119	81	138	17	212	148	484
145	7	16	785	175	84	25	-66	-200	100	120	92	137	17	213	151	486
146	7	16	664	178	84	28	-66	-200	142	3	119	138	16	218	153	489
147	7	16	676	177	87	27	-63	-200	98	151	104	138	18	217	156	491
148	7	16	758	177	89	27	-61	-200	108	-8	87	138	21	217	157	494
149	7	16	723	180	90	30	-60	-200	150	75	142	140	23	220	158	497
150	7	16	742	180	92	30	-58	-200	120	-16	124	141	24	220	161	499
151	7	16	742	180	93	30	-57	-200	120	29	114	142	24	218	162	502
152	7	64	602	182	93	32	-57	-200	148	140	91	142	21	222	165	504
153	7	16	547	183	94	33	-56	-200	142	92	84	143	21	223	167	507
154	7	16	547	183	95	33	-55	-200	132	32	132	144	22	223	168	510
155	7	16	688	183	98	33	-52	-178	132	68	119	145	28	221	169	513
156	7	16	645	183	102	33	-48	-152	132	-13	84	145	32	222	172	515
157	7	16	633	182	104	32	-46	-164	118	-11	72	144	35	221	173	518
158	7	16	664	181	104	31	-46	-184	114	-33	92	142	34	220	174	520
159	7	16	633	183	104	33	-46	-184	152	-110	120	144	34	222	174	523
160	7	16	645	181	104	31	-46	-184	104	-34	133	142	34	221	175	526
161	7	16	656	182	106	32	-44	-156	138	25	86	144	37	221	176	529
162	4	64	625	191	105	41	-45	-190	200	63	84	138	31	245	180	531
163	4	64	625	188	110	38	-40	-110	122	-38	100	137	39	239	181	534
164	4	16	633	185	113	35	-37	-118	110	45	85	141	46	230	180	537
165	4	64	602	186	114	36	-36	-134	154	-25	84	142	46	231	183	540
166	4	16	676	184	117	34	-33	-102	116	-5	89	145	51	224	184	542
167	4	64	633	185	117	35	-33	-132	150	-21	93	144	49	227	186	545
168	4	16	656	186	119	36	-31	-104	154	44	69	146	52	226	187	547
169	4	16	602	185	120	35	-30	-110	130	16	84	146	53	224	188	550
170	4	16	723	184	122	34	-28	-92	126	92	82	147	55	221	189	553
171	4	16	676	184	122	34	-28	-112	136	-51	97	148	55	221	190	556
172	4	64	656	183	121	33	-29	-126	122	-56	79	145	51	221	192	558
173	4	16	707	181	123	31	-27	-88	104	-46	78	145	54	217	193	561
174	4	64	723	182	123	32	-27	-108	138	173	28	144	52	221	194	564
175	4	16	789	185	125	35	-25	-80	170	653	-111	148	57	222	193	566
176	4	16	734	186	127	36	-23	-72	154	-63	96	150	62	223	192	569
177	4	16	773	187	129	37	-21	-64	158	-117	116	151	66	223	193	571
178	4	16	773	185	131	35	-19	-56	120	10	81	149	66	222	196	574
179	4	16	773	185	132	35	-18	-62	140	-23	90	149	66	221	199	577
180	4	16	797	185	133	35	-17	-58	140	-21	87	149	68	222	199	579
181	4	16	742	185	134	35	-16	-54	140	-48	102	148	68	223	201	582
182	4	16	723	185	135	35	-15	-50	140	-129	121	148	70	223	201	585
