ts	roll	pitch	yaw	x	y	z
16621	0.000	0.000	0.000	-0.0001	0.0000	0.0150
16625	0.000	0.000	0.000	-0.0001	0.0000	0.0150
16645	0.000	0.000	0.000	-0.0001	0.0000	0.0150
16662	0.000	0.000	0.000	-0.0001	0.0000	0.0150
16690	0.000	0.000	0.000	-0.0001	0.0000	0.0150
16744	0.000	0.001	0.000	-0.0001	0.0000	0.0150
16744	0.000	0.001	0.000	-0.0001	0.0000	0.0150
16744	0.000	0.001	0.000	-0.0001	0.0000	0.0150
16773	0.000	0.001	0.000	-0.0001	0.0000	0.0150
16781	0.000	0.001	0.000	-0.0001	0.0000	0.0150
16831	0.000	0.001	0.000	-0.0001	0.0000	0.0150
16833	0.000	0.001	0.000	-0.0001	0.0000	0.0150
16865	0.000	0.001	0.000	-0.0001	0.0000	0.0150
16867	0.000	0.001	0.000	-0.0001	0.0000	0.0150
16880	0.000	0.001	0.000	-0.0001	0.0000	0.0150
16918	0.000	0.001	0.000	-0.0001	0.0000	0.0150
16920	0.000	0.001	0.000	-0.0001	0.0000	0.0150
16964	0.000	0.002	0.000	-0.0001	0.0000	0.0150
16966	0.000	0.002	0.000	-0.0001	0.0000	0.0150
16988	0.000	0.002	0.000	-0.0001	0.0000	0.0150
17008	0.000	0.002	0.000	-0.0001	0.0000	0.0150
17024	0.000	0.002	0.000	-0.0001	0.0000	0.0150
17063	0.000	0.002	0.000	-0.0001	0.0000	0.0150
17076	0.000	0.002	0.000	-0.0001	0.0000	0.0150
17080	0.000	0.002	0.000	-0.0001	0.0000	0.0150
17101	0.000	0.002	0.000	-0.0001	0.0000	0.0150
17121	0.000	0.002	0.000	-0.0001	0.0000	0.0150
17143	0.000	0.002	0.000	-0.0001	0.0000	0.0150
17187	0.000	0.002	0.000	-0.0001	0.0000	0.0150
17189	0.000	0.002	0.000	-0.0001	0.0000	0.0150
17207	0.000	0.002	0.000	-0.0001	0.0000	0.0150
17228	0.000	0.003	0.000	-0.0001	0.0000	0.0150
17240	0.000	0.003	0.000	-0.0001	0.0000	0.0150
17263	0.000	0.003	0.000	-0.0001	0.0000	0.0150
17295	0.000	0.003	0.000	-0.0001	0.0000	0.0150
17314	0.000	0.003	0.000	-0.0001	0.0000	0.0150
17321	0.000	0.003	0.000	-0.0001	0.0000	0.0150
17341	0.000	0.003	0.000	-0.0001	0.0000	0.0150
17375	0.000	0.003	0.000	-0.0001	0.0000	0.0150
17385	0.000	0.003	0.000	-0.0001	0.0000	0.0150
17408	0.000	0.003	0.000	-0.0001	0.0000	0.0150
17421	0.000	0.003	0.000	-0.0001	0.0000	0.0150
17459	0.000	0.003	0.000	-0.0001	0.0000	0.0150
17461	0.000	0.003	0.000	-0.0001	0.0000	0.0150
17481	0.000	0.003	0.000	-0.0001	0.0000	0.0150
17524	0.000	0.004	0.000	-0.0001	0.0000	0.0150
17537	0.000	0.004	0.000	-0.0001	0.0000	0.0150
17541	0.000	0.004	0.000	-0.0001	0.0000	0.0150
17571	0.000	0.004	0.000	-0.0001	0.0000	0.0150
17582	0.000	0.004	0.000	-0.0001	0.0000	0.0150
17600	0.000	0.004	0.000	-0.0001	0.0000	0.0150
17676	0.000	0.004	0.000	-0.0001	0.0000	0.0150
17678	0.000	0.004	0.000	-0.0001	0.0000	0.0150
17683	0.000	0.004	0.000	-0.0001	0.0000	0.0150
17683	0.000	0.004	0.000	-0.0001	0.0000	0.0150
17701	0.000	0.004	0.000	-0.0001	0.0000	0.0150
17770	0.000	0.005	0.000	-0.0001	0.0000	0.0150
17772	0.000	0.005	0.000	-0.0001	0.0000	0.0150
17777	0.000	0.005	0.000	-0.0001	0.0000	0.0150
17785	0.000	0.005	0.000	-0.0001	0.0000	0.0150
17819	0.000	0.005	0.000	-0.0001	0.0000	0.0150
17828	0.000	0.005	0.000	-0.0001	0.0000	0.0150
17851	0.000	0.005	0.000	-0.0001	0.0000	0.0150
17874	0.000	0.005	0.000	-0.0001	0.0000	0.0150
17892	0.000	0.005	0.000	-0.0001	0.0000	0.0150
17916	0.000	0.005	0.000	-0.0001	0.0000	0.0150
17922	0.000	0.005	0.000	-0.0001	0.0000	0.0150
17974	0.000	0.005	0.000	-0.0001	0.0000	0.0150
17974	0.000	0.005	0.000	-0.0001	0.0000	0.0150
17980	0.000	0.005	0.000	-0.0001	0.0000	0.0150
18003	0.000	0.005	0.000	-0.0001	0.0000	0.0150
18021	0.000	0.005	0.000	-0.0001	0.0000	0.0150
18047	0.000	0.006	0.000	-0.0001	0.0000	0.0150
18067	0.000	0.006	0.000	-0.0001	0.0000	0.0150
18081	0.000	0.006	0.000	-0.0001	0.0000	0.0150
18108	0.000	0.006	0.000	-0.0001	0.0000	0.0150
18152	0.000	0.006	0.000	-0.0001	0.0000	0.0150
