iter	tid	cls	conf	cx	cy	err_x	err_y	vx	vy	fvx	fvy	x1	y1	x2	y2	fseq
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65
5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69
6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72
7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76
8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80
9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83
10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87
11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90
12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93
13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97
14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100
15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104
16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107
17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111
18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114
19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118
20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121
21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124
22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128
23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132
24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135
25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138
26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142
27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145
28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149
29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152
30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156
31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159
32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163
33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166
34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170
35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173
36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176
37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180
38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183
39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187
40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191
41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194
