ts	roll	pitch	yaw	x	y	z
16694	0.000	-0.001	0.000	0.0002	0.0000	0.0150
16716	0.000	-0.001	0.000	0.0002	0.0000	0.0150
16734	0.000	-0.002	0.000	0.0002	0.0000	0.0150
16771	0.000	-0.003	0.000	0.0002	0.0000	0.0150
16776	0.000	-0.003	0.000	0.0002	0.0000	0.0150
16801	0.000	-0.004	0.000	0.0002	0.0000	0.0150
16841	0.000	-0.005	0.000	0.0002	0.0000	0.0150
16841	0.000	-0.005	0.000	0.0002	0.0000	0.0150
16861	0.000	-0.006	0.000	0.0002	0.0000	0.0150
16878	0.000	-0.007	0.000	0.0002	0.0000	0.0150
16897	0.000	-0.007	0.000	0.0002	0.0000	0.0150
16914	0.000	-0.008	0.000	0.0002	0.0000	0.0150
16963	0.000	-0.009	0.000	0.0002	0.0000	0.0150
16971	0.000	-0.010	0.000	0.0002	0.0000	0.0150
16983	0.000	-0.010	0.000	0.0002	0.0000	0.0150
16996	0.000	-0.010	0.000	0.0002	0.0000	0.0150
17015	0.000	-0.011	0.000	0.0002	0.0000	0.0150
17037	0.000	-0.012	0.000	0.0002	0.0000	0.0150
17075	0.000	-0.013	0.000	0.0002	0.0000	0.0150
17075	0.000	-0.013	0.000	0.0002	0.0000	0.0150
17223	0.000	-0.018	0.000	0.0003	0.0000	0.0150
17225	0.000	-0.018	0.000	0.0003	0.0000	0.0150
17225	0.000	-0.018	0.000	0.0003	0.0000	0.0150
17229	0.000	-0.018	0.000	0.0003	0.0000	0.0150
17235	0.000	-0.018	0.000	0.0003	0.0000	0.0150
17237	0.000	-0.018	0.000	0.0003	0.0000	0.0150
17239	0.000	-0.018	0.000	0.0003	0.0000	0.0150
17248	0.000	-0.018	0.000	0.0003	0.0000	0.0150
17261	0.000	-0.019	0.000	0.0003	0.0000	0.0150
17276	0.000	-0.019	0.000	0.0003	0.0000	0.0150
17357	0.000	-0.022	0.000	0.0003	0.0000	0.0150
17359	0.000	-0.022	0.000	0.0003	0.0000	0.0150
17361	0.000	-0.022	0.000	0.0003	0.0000	0.0150
17361	0.000	-0.022	0.000	0.0003	0.0000	0.0150
17380	0.000	-0.023	0.000	0.0003	0.0000	0.0150
17412	0.000	-0.024	0.000	0.0003	0.0000	0.0150
17414	0.000	-0.024	0.000	0.0003	0.0000	0.0150
17473	0.000	-0.025	0.000	0.0003	0.0000	0.0150
17473	0.000	-0.025	0.000	0.0003	0.0000	0.0150
17482	0.000	-0.026	0.000	0.0003	0.0000	0.0150
17497	0.000	-0.026	0.000	0.0003	0.0000	0.0150
17531	0.000	-0.027	0.000	0.0003	0.0000	0.0150
17543	0.000	-0.028	0.000	0.0003	0.0000	0.0150
17554	0.000	-0.028	0.000	0.0003	0.0000	0.0150
17574	0.000	-0.029	0.000	0.0003	0.0000	0.0150
17602	0.000	-0.029	0.000	0.0003	0.0000	0.0150
17617	0.000	-0.030	0.000	0.0003	0.0000	0.0150
