iter	tid	cls	conf	cx	cy	err_x	err_y	vx	vy	fvx	fvy	x1	y1	x2	y2	fseq
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63
5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66
6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69
7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73
8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76
9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80
10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84
11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87
12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91
13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94
14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98
15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101
16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105
17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108
18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111
19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115
20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118
21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122
22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125
23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129
24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132
25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136
26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139
27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142
28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146
29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149
30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153
31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156
32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160
33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163
34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167
35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170
36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173
37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177
38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180
39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183
40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187
41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190
42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194
43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197
44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201
45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204
46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208
47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211
48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215
49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218
50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221
51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224
52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227
53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231
54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	234
55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	238
56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241
57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245
58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	248
59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252
60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255
61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	259
62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262
63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266
64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	269
65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	273
66	0	0	0	0	0	0	0	0	0	-39	-48	0	0	0	0	276
67	0	0	0	0	0	0	0	0	0	51	35	0	0	0	0	280
68	0	0	0	0	0	0	0	0	0	-81	17	0	0	0	0	283
69	0	0	0	0	0	0	0	0	0	738	0	0	0	0	0	286
70	0	0	0	0	0	0	0	0	0	1565	3008	0	0	0	0	288
71	0	0	0	0	0	0	0	0	0	1480	83	0	0	0	0	291
72	0	0	0	0	0	0	0	0	0	-340	-569	0	0	0	0	293
73	0	0	0	0	0	0	0	0	0	-236	2162	0	0	0	0	296
74	0	0	0	0	0	0	0	0	0	242	579	0	0	0	0	298
75	0	0	0	0	0	0	0	0	0	331	627	0	0	0	0	301
76	0	0	0	0	0	0	0	0	0	378	660	0	0	0	0	304
77	0	0	0	0	0	0	0	0	0	1500	-1950	0	0	0	0	306
78	0	0	0	0	0	0	0	0	0	-853	-596	0	0	0	0	309
79	0	0	0	0	0	0	0	0	0	658	-507	0	0	0	0	311
80	3	16	742	87	231	-63	81	200	-200	870	-583	33	162	142	301	314
81	3	16	750	91	230	-59	80	200	-196	616	-529	42	160	140	300	317
82	3	16	758	84	229	-66	79	200	-200	539	279	33	159	135	300	319
83	3	16	797	83	230	-67	80	200	-200	396	-395	33	162	134	299	322
84	3	16	805	87	229	-63	79	200	-200	333	-315	39	159	136	299	325
85	3	16	797	89	228	-61	78	200	-200	293	-199	43	156	136	300	328
86	3	16	797	94	228	-56	78	200	-174	157	-152	48	156	140	300	331
87	3	16	734	101	227	-49	77	200	-126	227	-122	54	155	149	300	333
88	3	16	742	103	227	-47	77	200	-168	140	-149	59	158	148	297	336
89	3	16	707	109	228	-41	78	200	-104	-51	-81	64	158	155	298	339
