idx,mean,std,grad_sum,unique_colors
0,49.87,12.25,6640589,2021
1,49.87,12.25,6636748,2020
2,49.87,12.26,6644686,2009
3,49.87,12.26,6646222,2002
4,49.87,12.26,6647252,1992
5,49.87,12.26,6647762,1993
6,49.87,12.26,6645719,1987
7,49.87,12.26,6644949,1992
8,49.87,12.26,6648786,1995
9,49.87,12.26,6654163,1980
10,49.87,12.26,6657980,1966
11,49.87,12.26,6657725,1950
12,49.87,12.26,6657213,1945
13,49.87,12.26,6657469,1953
14,49.87,12.26,6658238,1941
15,49.87,12.26,6660797,1942
16,49.87,12.26,6660541,1932
17,49.87,12.26,6656958,1932
18,49.87,12.26,6664380,1931
19,49.87,12.26,6666690,1941
20,49.87,12.26,6665932,1932
21,49.87,12.26,6666190,1932
22,49.87,12.26,6666704,1936
23,49.87,12.26,6666704,1935
24,49.87,12.26,6667986,1942
25,49.87,12.26,6666450,1944
26,49.87,12.26,6666194,1943
27,49.87,12.26,6662867,1949
28,49.87,12.26,6659538,1947
29,49.87,12.26,6662612,1949
30,49.87,12.26,6662612,1949
31,49.87,12.26,6659795,1949
32,49.87,12.26,6661076,1944
33,49.87,12.26,6661076,1944
34,49.87,12.26,6660310,1950
35,49.87,12.26,6660310,1950
36,49.87,12.26,6660310,1950
37,49.87,12.26,6658516,1941
38,49.87,12.26,6658516,1941
39,49.87,12.26,6658518,1950
40,49.87,12.26,6658262,1950
41,49.87,12.26,6658262,1950
42,49.87,12.26,6658262,1950
43,49.87,12.26,6659798,1941
44,49.87,12.26,6659798,1941
45,49.87,12.26,6659798,1941
46,49.87,12.26,6659798,1941
47,49.87,12.26,6659798,1941
48,49.87,12.26,6659538,1946
49,49.87,12.26,6659538,1946
50,49.87,12.26,6659538,1946
51,49.87,12.26,6659538,1946
52,49.87,12.26,6659538,1946
53,49.87,12.26,6659538,1946
54,49.87,12.26,6659538,1946
55,49.87,12.26,6659538,1946
56,49.87,12.26,6659538,1946
57,49.87,12.26,6659538,1946
58,49.87,12.26,6658003,1945
59,49.87,12.26,6658003,1945
60,49.87,12.26,6658003,1945
61,49.87,12.26,6658003,1945
62,49.87,12.26,6658003,1945
63,49.87,12.26,6658003,1945
64,49.87,12.26,6658003,1945
65,49.87,12.26,6658003,1945
66,49.87,12.26,6658003,1945
67,49.87,12.26,6658003,1945
68,49.87,12.26,6658003,1945
69,49.87,12.26,6658003,1945
70,49.87,12.26,6658003,1945
71,49.87,12.26,6658003,1945
72,49.87,12.26,6658003,1945
73,49.87,12.26,6658003,1945
74,49.87,12.26,6658003,1945
75,49.87,12.26,6658003,1945
76,49.87,12.26,6658003,1945
77,49.87,12.26,6658003,1945
78,49.87,12.26,6658003,1945
79,49.87,12.26,6658003,1945
80,49.87,12.26,6658003,1945
81,49.87,12.26,6658003,1945
82,49.87,12.26,6658003,1945
83,49.87,12.26,6658003,1945
84,49.87,12.26,6658003,1945
85,49.87,12.26,6658003,1945
86,49.87,12.26,6658003,1945
87,49.87,12.26,6658003,1945
88,49.87,12.26,6658003,1945
89,49.87,12.26,6658003,1945
90,49.87,12.26,6658003,1945
91,49.87,12.26,6658003,1945
92,49.87,12.26,6658003,1945
93,49.87,12.26,6658003,1945
94,49.87,12.26,6658003,1945
95,49.87,12.26,6658003,1945
96,49.87,12.26,6658003,1945
97,49.87,12.26,6658003,1945
98,49.87,12.26,6658003,1945
99,49.87,12.26,6658003,1945
100,49.87,12.26,6658003,1945
101,49.87,12.26,6658003,1945
102,49.87,12.26,6658003,1945
103,49.87,12.26,6658003,1945
104,49.87,12.26,6658003,1945
105,49.87,12.26,6658003,1945
106,49.87,12.26,6658003,1945
107,49.87,12.26,6658003,1945
108,49.87,12.26,6658003,1945
109,49.87,12.26,6658003,1945
110,49.87,12.26,6658003,1945
111,49.87,12.26,6658003,1945
112,49.87,12.26,6658003,1945
113,49.87,12.26,6658003,1945
114,49.87,12.26,6658003,1945
115,49.87,12.26,6658003,1945
116,49.87,12.26,6658003,1945
117,49.87,12.26,6658003,1945
118,49.87,12.26,6658003,1945
119,49.87,12.26,6658003,1945
120,49.87,12.26,6658003,1945
121,49.87,12.26,6658003,1945
122,49.87,12.26,6658003,1945
123,49.87,12.26,6658003,1945
124,49.87,12.26,6658003,1945
125,49.87,12.26,6658003,1945
126,49.87,12.26,6658003,1945
127,49.87,12.26,6658003,1945
128,49.87,12.26,6658003,1945
129,49.87,12.26,6658003,1945
130,49.87,12.26,6658003,1945
131,49.87,12.26,6658003,1945
132,49.87,12.26,6658003,1945
133,49.87,12.26,6658003,1945
134,49.87,12.26,6658003,1945
135,49.87,12.26,6658003,1945
136,49.87,12.26,6658003,1945
137,49.87,12.26,6658003,1945
138,49.87,12.26,6658003,1945
139,49.87,12.26,6658003,1945
140,49.87,12.26,6658003,1945
141,49.87,12.26,6658003,1945
142,49.87,12.26,6658003,1945
143,49.87,12.26,6658003,1945
144,49.87,12.26,6658003,1945
145,49.87,12.26,6658003,1945
146,49.87,12.26,6658003,1945
147,49.87,12.26,6658003,1945
