t_sec,x,y,z,qx,qy,qz,qw
12,9.3667001417122592e-18,7.2964487425378254e-18,0.01487629284246436,-3.9721286169695225e-16,3.2595295765590762e-16,-8.6347226015311e-18,1
12,9.3788553023224731e-18,7.32322734116149e-18,0.014882341059472462,-3.9674769327796748e-16,3.2562342870081938e-16,-8.6170178698290745e-18,1
12,9.3910059990294828e-18,7.3469370036468387e-18,0.014888092853610124,-3.9784328323435715e-16,3.2672018006687522e-16,-8.6865421719372774e-18,1
12,9.4090560616434587e-18,7.39174131774542e-18,0.014893562752555069,-3.9829196951731578e-16,3.2845975281424e-16,-8.63709750866699e-18,1
12,9.4269079614061614e-18,7.4133599553443164e-18,0.014898764571971035,-3.977648174682197e-16,3.2942767007624793e-16,-8.6274422720339287e-18,1
12,9.4324995727127878e-18,7.503133101383187e-18,0.014903711450427834,-3.9917431566283894e-16,3.3016534502398724e-16,-8.39404915660113e-18,1
12,9.4439423707581965e-18,7.5219332245603216e-18,0.014907493812931242,-3.9923346418772536e-16,3.3181882512887458e-16,-8.3822468593624542e-18,1
12,9.4702175839201176e-18,7.517210540291965e-18,0.014912889750695352,-3.9843726089905138e-16,3.3306049991334387e-16,-8.3122161221102411e-18,1
12,9.4881332522756518e-18,7.5367512029728561e-18,0.014916310451476355,-3.9871108246845831e-16,3.3396982976628646e-16,-8.2804201044004627e-18,1
12,9.5145781554127229e-18,7.5739791918192461e-18,0.014921190440770749,-3.9962587973314763e-16,3.3547525881620968e-16,-8.373478779254158e-18,1
12,9.5311997152997363e-18,7.5924502216799446e-18,0.014924284061180168,-4.0022617831354776e-16,3.3752731979162661e-16,-8.23379896878038e-18,1
12,9.5574563823114784e-18,7.623414075257734e-18,0.014928697435940098,-4.0108127895100375e-16,3.3794687198345005e-16,-8.3612004150215232e-18,1
12,9.54530258154793e-18,7.6580368031597623e-18,0.014931495250735059,-4.027944970842113e-16,3.3842138975214694e-16,-8.5224519238724831e-18,1
12,9.5816462759110309e-18,7.6829188976086287e-18,0.014935486627680085,-4.0396659197921307e-16,3.4133566220761204e-16,-8.6302149057169556e-18,1
12,9.551588259682025e-18,7.6987205395905088e-18,0.014938016921175832,-4.0559768660371611e-16,3.4188707120151351e-16,-8.5800482030543519e-18,1
12,9.6237173056172964e-18,7.645197290258988e-18,0.014941626650871537,-4.054092419756592e-16,3.4419287347762388e-16,-8.7479335022678512e-18,1
12,9.64897924676874e-18,7.6250583363502866e-18,0.014943915002911621,-4.0568408679880685e-16,3.4497776437135778e-16,-8.7364305660737019e-18,1
12,9.65589183807781e-18,7.6206911639265052e-18,0.014947179577675791,-4.0667499510638824e-16,3.4569693974152227e-16,-8.7607403835889912e-18,1
12,9.6601552842051548e-18,7.6292476812164848e-18,0.014949249122201459,-4.0753856832630668e-16,3.4501217269664711e-16,-8.8786998132391686e-18,1
12,9.67261866978659e-18,7.6432459357865e-18,0.01495172175490647,-4.0879669769221785e-16,3.4598250389916644e-16,-9.020788385589077e-18,1
12,9.6626668057520687e-18,7.6795349714015856e-18,0.01495452947962779,-4.1088354267143913e-16,3.4655474300810483e-16,-8.9334655445447614e-18,1
12,9.6837816455228843e-18,7.6597051637046215e-18,0.014955871112075228,-4.1137734802470928e-16,3.4788745046505232e-16,-8.8603730887990988e-18,1
12,9.61859326899775e-18,7.5940052420317414e-18,0.014958436016989382,-4.1214866227083166e-16,3.4764020521433551e-16,-8.6702260993592635e-18,1
12,9.5904563059694656e-18,7.530146787536553e-18,0.014960850824023604,-4.1238157863169997e-16,3.4674130667500744e-16,-8.4796581425796862e-18,1
12,9.5856151841317552e-18,7.4924648729280183e-18,0.014962004706185325,-4.1260516459799633e-16,3.4709320835209033e-16,-8.3456504760638051e-18,1
13,9.55882914885674e-18,7.48210633044017e-18,0.014964210674023641,-4.143184749438631e-16,3.4731526961374412e-16,-8.14670029354519e-18,1
13,9.5234940387339225e-18,7.4213161850982787e-18,0.014966287548927641,-4.1488715986050547e-16,3.4730521076052408e-16,-8.0935451613290244e-18,1
13,9.49046502717588e-18,7.372955754118409e-18,0.014967604163001221,-4.1509382904339064e-16,3.4669553327547818e-16,-7.9951184543203615e-18,1
13,9.491994893611751e-18,7.3574041937429782e-18,0.014968868897217826,-4.1542785560326271e-16,3.4725194470851438e-16,-7.9751716095173127e-18,1
13,9.4777342203742338e-18,7.3551583986505392e-18,0.014970083795851368,-4.1646631596892715e-16,3.4671903408258136e-16,-8.04860247825622e-18,1
13,9.4470762084954679e-18,7.2818014802081956e-18,0.014972371863873775,-4.1708258968288777e-16,3.4747579322547144e-16,-8.045114331410977e-18,1
13,9.43366771257306e-18,7.23099639058582e-18,0.014973448731616689,-4.1646117577413721e-16,3.4729036110248158e-16,-7.9412962949996923e-18,1
13,9.39969349663319e-18,7.1736360010380449e-18,0.014974483166466846,-4.1658378312530757e-16,3.4676365086311335e-16,-7.9474840565832182e-18,1
13,9.384060269782324e-18,7.17683628664883e-18,0.014975719079688773,-4.185893530100984e-16,3.4650429694796e-16,-8.0158715139382985e-18,1
13,9.399495288823447e-18,7.1902748570381887e-18,0.014976894420852024,-4.1918437826841821e-16,3.4711785749391966e-16,-8.1981011997696463e-18,1
13,9.3997290406145552e-18,7.1864014008076689e-18,0.014978012158593356,-4.1923470410795762e-16,3.4720239181510447e-16,-8.4178853347688408e-18,1
13,9.3921878791016934e-18,7.16843543481945e-18,0.014979075116055354,-4.1940467344142716e-16,3.4675035844493679e-16,-8.6546320494854772e-18,1
13,9.4351581980971383e-18,7.1518120858841152e-18,0.014980085978014595,-4.1919024273804713e-16,3.4708767480012765e-16,-8.9524546654320811e-18,1
13,9.4613805660065518e-18,7.1732883259561611e-18,0.014981233832325752,-4.2050431815506225e-16,3.4710621753912669e-16,-9.2129132211057767e-18,1
13,9.4613805660065518e-18,7.1732883259561611e-18,0.014981233832325752,-4.2050431815506225e-16,3.4710621753912669e-16,-9.2129132211057767e-18,1
13,9.4603880763807937e-18,7.18967789847598e-18,0.014982314514360271,-4.2137070934843703e-16,3.4704766794018558e-16,-9.5918187131496845e-18,1
13,9.4341217377758448e-18,7.1919534104672982e-18,0.01498333195503459,-4.2166869456185348e-16,3.467817702973847e-16,-9.8824793920139273e-18,1
13,9.4244272153989443e-18,7.2245467217640014e-18,0.014984443964294849,-4.2406838598285763e-16,3.463156882395931e-16,-1.0132382426941362e-17,1
13,9.4244272153989443e-18,7.2245467217640014e-18,0.014984443964294849,-4.2406838598285763e-16,3.463156882395931e-16,-1.0132382426941362e-17,1
13,9.4150692223009628e-18,7.2444979982083533e-18,0.01498548042958049,-4.261781153082794e-16,3.472600176483193e-16,-1.0490913614297864e-17,1
13,9.345770669677873e-18,7.3038670403724336e-18,0.014986579025737476,-4.2849888936160984e-16,3.4591215878255712e-16,-1.0739605852605427e-17,1
13,9.345770669677873e-18,7.3038670403724336e-18,0.014986579025737476,-4.2849888936160984e-16,3.4591215878255712e-16,-1.0739605852605427e-17,1
13,9.34544143447913e-18,7.3849674917801126e-18,0.014987592749492372,-4.2862940502108372e-16,3.4645142704312754e-16,-1.087215240062969e-17,1
13,9.34544143447913e-18,7.3849674917801126e-18,0.014987592749492372,-4.2862940502108372e-16,3.4645142704312754e-16,-1.087215240062969e-17,1
13,9.3797643215190781e-18,7.5003920674175026e-18,0.014988639883734688,-4.3046147768997593e-16,3.4723677006167417e-16,-1.1009735190227115e-17,1
13,9.3797643215190781e-18,7.5003920674175026e-18,0.014988639883734688,-4.3046147768997593e-16,3.4723677006167417e-16,-1.1009735190227115e-17,1
13,9.337325105387756e-18,7.5949554214152168e-18,0.014989697501944848,-4.3271361689184339e-16,3.4738771892003766e-16,-1.1016089401310044e-17,1
13,9.337325105387756e-18,7.5949554214152168e-18,0.014989697501944848,-4.3271361689184339e-16,3.4738771892003766e-16,-1.1016089401310044e-17,1
13,9.2678045433056266e-18,7.5993201088731359e-18,0.014990744460558845,-4.3348824528027162e-16,3.4712273729467421e-16,-1.0707277664734285e-17,1
13,9.2678045433056266e-18,7.5993201088731359e-18,0.014990744460558845,-4.3348824528027162e-16,3.4712273729467421e-16,-1.0707277664734285e-17,1
13,9.20274052779155e-18,7.61507588647813e-18,0.01499176203181979,-4.3463819379338358e-16,3.4703378774300978e-16,-1.0407927807747026e-17,1
13,9.20274052779155e-18,7.61507588647813e-18,0.01499176203181979,-4.3463819379338358e-16,3.4703378774300978e-16,-1.0407927807747026e-17,1
13,9.20274052779155e-18,7.61507588647813e-18,0.01499176203181979,-4.3463819379338358e-16,3.4703378774300978e-16,-1.0407927807747026e-17,1
13,9.1605055666104961e-18,7.6599527366715776e-18,0.014992804023286172,-4.3902097493629515e-16,3.4739280572117575e-16,-1.0137776415461025e-17,1
13,9.1605055666104961e-18,7.6599527366715776e-18,0.014992804023286172,-4.3902097493629515e-16,3.4739280572117575e-16,-1.0137776415461025e-17,1
13,9.1605055666104961e-18,7.6599527366715776e-18,0.014992804023286172,-4.3902097493629515e-16,3.4739280572117575e-16,-1.0137776415461025e-17,1
13,9.1488974133770725e-18,7.5544643391752714e-18,0.014993828480070734,-4.4031621505396278e-16,3.4668818394168023e-16,-1.0395017504274001e-17,1
