[s176] image 320x240 loaded
[s176] markers detected: [0, 1, 2, 3]

    θ° |  mid |     REF z |   OURS1 z |   OURS2 z | pick2
  ------------------------------------------------------------
     0 |    0 |    0.6028 |    0.6016 |    0.6016 | 1
     0 |    1 |    0.5920 |    0.6001 |    0.6001 | 1
     0 |    2 |    0.5956 |    0.6016 |    0.6016 | 1
     0 |    3 |    0.6103 |    0.6144 |    0.6144 | 1

     5 |    0 |    0.6028 |    0.6016 |    0.6016 | 1
     5 |    1 |    0.5920 |    0.6001 |    0.6001 | 1
     5 |    2 |    0.5956 |    0.6016 |    0.6016 | 1
     5 |    3 |    0.6103 |    0.6144 |    0.6144 | 1

    10 |    0 |    0.6028 |    0.6016 |    0.6016 | 1
    10 |    1 |    0.5920 |    0.6001 |    0.6001 | 1
    10 |    2 |    0.5956 |    0.6016 |    0.6016 | 1
    10 |    3 |    0.6103 |    0.6144 |    0.6144 | 1

    15 |    0 |    0.6028 |    0.6016 |    0.6016 | 1
    15 |    1 |    0.5920 |    0.6001 |    0.6001 | 1
    15 |    2 |    0.5956 |    0.6016 |    0.6016 | 1
    15 |    3 |    0.6103 |    0.6144 |    0.6144 | 1

    20 |    0 |    0.6028 |    0.6016 |    0.6016 | 1
    20 |    1 |    0.5920 |    0.6001 |    0.6001 | 1
    20 |    2 |    0.5956 |    0.6016 |    0.6016 | 1
    20 |    3 |    0.6103 |    0.6144 |    0.6144 | 1

    25 |    0 |    0.6028 |    0.6016 |    0.6016 | 1
    25 |    1 |    0.5920 |    0.6001 |    0.6001 | 1
    25 |    2 |    0.5956 |    0.6016 |    0.6016 | 1
    25 |    3 |    0.6103 |    0.6144 |    0.6144 | 1

    30 |    0 |    0.6028 |    0.6016 |    0.6016 | 1
    30 |    1 |    0.5920 |    0.6001 |    0.6001 | 1
    30 |    2 |    0.5956 |    0.6016 |    0.6016 | 1
    30 |    3 |    0.6103 |    0.6144 |    0.6144 | 1

    35 |    0 |    0.6028 |    0.6016 |    0.6016 | 1
    35 |    1 |    0.5920 |    0.6001 |    0.6001 | 1
    35 |    2 |    0.5956 |    0.6016 |    0.6016 | 1
    35 |    3 |    0.6103 |    0.6144 |    0.6144 | 1

    40 |    0 |    0.6028 |    0.6016 |    0.6016 | 1
    40 |    1 |    0.5920 |    0.6001 |    0.6001 | 1
    40 |    2 |    0.5956 |    0.6016 |    0.6016 | 1
    40 |    3 |    0.6103 |    0.6144 |    0.6144 | 1

    45 |    0 |    0.6028 |    0.6016 |    0.6016 | 1
    45 |    1 |    0.5920 |    0.6001 |    0.6001 | 1
    45 |    2 |    0.5956 |    0.6016 |    0.6016 | 1
    45 |    3 |    0.6103 |    0.6144 |    0.6144 | 1

    50 |    0 |    0.6028 |    0.6016 |    0.6016 | 1
    50 |    1 |    0.5920 |    0.6001 |    0.6001 | 1
    50 |    2 |    0.5956 |    0.6016 |    0.6016 | 1
    50 |    3 |    0.6103 |    0.6144 |    0.6144 | 1

    55 |    0 |    0.6028 |    0.6016 |    0.6016 | 1
    55 |    1 |    0.5920 |    0.6001 |    0.6001 | 1
    55 |    2 |    0.5956 |    0.6016 |    0.6016 | 1
    55 |    3 |    0.6103 |    0.6144 |    0.6144 | 1

    60 |    0 |    0.6028 |    0.6016 |    0.6016 | 1
    60 |    1 |    0.5920 |    0.6001 |    0.6001 | 1
    60 |    2 |    0.5956 |    0.6016 |    0.6016 | 1
    60 |    3 |    0.6103 |    0.6144 |    0.6144 | 1

    65 |    0 |    0.6028 |    0.6016 |    0.6016 | 1
    65 |    1 |    0.5920 |    0.6001 |    0.6001 | 1
    65 |    2 |    0.5956 |    0.6016 |    0.6016 | 1
    65 |    3 |    0.6103 |    0.6144 |    0.6144 | 1

    70 |    0 |    0.6028 |    0.6016 |    0.6016 | 1
    70 |    1 |    0.5920 |    0.6001 |    0.6001 | 1
    70 |    2 |    0.5956 |    0.6016 |    0.6016 | 1
    70 |    3 |    0.6103 |    0.6144 |    0.6144 | 1

    75 |    0 |    0.6028 |    0.6016 |    0.6016 | 1
    75 |    1 |    0.5920 |    0.6001 |    0.6001 | 1
    75 |    2 |    0.5956 |    0.6016 |    0.6016 | 1
    75 |    3 |    0.6103 |    0.6144 |    0.6144 | 1

    80 |    0 |    0.6028 |    0.6016 |    0.6016 | 1
    80 |    1 |    0.5920 |    0.6001 |    0.6001 | 1
    80 |    2 |    0.5956 |    0.6016 |    0.6016 | 1
    80 |    3 |    0.6103 |    0.6144 |    0.6144 | 1

    85 |    0 |    0.6028 |    0.6016 |    0.6016 | 1
    85 |    1 |    0.5920 |    0.6001 |    0.6001 | 1
    85 |    2 |    0.5956 |    0.6016 |    0.6016 | 1
    85 |    3 |    0.6103 |    0.6144 |    0.6144 | 1

    90 |    0 |    0.6028 |    0.6016 |    0.6016 | 1
    90 |    1 |    0.5920 |    0.6001 |    0.6001 | 1
    90 |    2 |    0.5956 |    0.6016 |    0.6016 | 1
    90 |    3 |    0.6103 |    0.6144 |    0.6144 | 1

    algo | max |Δz vs θ=0| across markers (mm)
  --------------------------------------------------
     REF |    0.00    [PASS]
   OURS1 |    0.00    [PASS]
   OURS2 |    0.00    [PASS]

[s176] PASS — all three algorithms rotation-invariant
