ts_ms,rel_s,alt_cmd,n_assoc,markers,kabsch_res,gt_x,gt_y,gt_z,est_x,est_y,est_z,cf2_x,cf2_y,cf2_z
306307221,0.0,0.78,6,ENENWSESWW,0.0005711378608919848,2.5853231492898565e-05,-0.0033425608793009537,0.6915278842582417,0.03883545005943603,-0.0024562885807516764,0.665483463725991,-0.0003519179,0.000323269,-0.01367719
306307329,0.108,0.78,6,ENENWSESWW,0.001135661021137531,-2.8279313520928398e-05,-0.0033901071318716658,0.6920178121513827,-0.0417193483438597,-0.0024208247332157475,0.6659794793149149,6.204326e-05,-5.692521e-05,0.8096534
306307440,0.219,0.78,6,ENENWSESWW,0.0007372515227434943,-7.666926936679773e-05,-0.0034469924129685663,0.6925313114351179,-0.0398281272135956,-0.0012755641486051096,0.6665430733712328,5.367132e-05,-7.954146e-05,0.8086197
306307549,0.328,0.78,6,ENENWSESWW,0.0016736822038143973,-0.00011666637968301708,-0.003506366580687272,0.6930715220361434,-0.038729029487461375,0.003812524971573243,0.6672863238393003,5.850653e-05,-0.0001102604,0.8076838
306307654,0.433,0.78,6,ENENWSESWW,0.001964445419724793,-0.0001480323487618448,-0.0035576941589189497,0.6935831688767036,-0.03765518590782353,0.0031542933069119644,0.667567678094984,7.831834e-05,-0.0001453544,0.8067225
306307764,0.543,0.78,6,ENENWSESWW,0.001795080128728768,-0.0001821119788961836,-0.0036075740298615127,0.6941659553720836,0.0370998824575159,-0.0022755684662280006,0.668489640169651,0.0001021968,-0.0001718491,0.8059678
306307873,0.652,0.78,6,ENENWSESWW,0.0012423179783826828,-0.0002215474897297476,-0.003648159523970219,0.6947863876761727,-0.04024676080145444,0.006725741705674949,0.6688782807587921,0.0001337529,-0.0001983473,0.8051006
306307980,0.759,0.78,6,ENENWSESWW,0.0007405162050185879,-0.00026712293495485855,-0.003674167791230106,0.6953850183127924,-0.04075879143517634,0.005863726115259462,0.6694018640328395,0.000164114,-0.0002183913,0.8042268
306308090,0.869,0.78,6,ENENWSESWW,0.0007501741051095304,-0.0003262272376064924,-0.0036924211414792766,0.696036539621572,-0.04160662828247085,0.0037926195788256754,0.6702213907349315,0.0001741276,-0.0002243945,0.8038757
306308199,0.978,0.78,6,ENENWSESWW,0.0005356800870107121,-0.0003973775664958824,-0.003707186986854073,0.6967003836935773,-0.04111849209973768,-0.002512471902691102,0.6703788386336654,0.0001907867,-0.0002361004,0.8031383
306308307,1.086,0.78,6,ENENWSESWW,0.0004298301606656926,-0.00047616427525199145,-0.00372277188648837,0.6973559192243176,-0.0399511234309867,-0.002540801438926083,0.6711585415096418,0.000199716,-0.0002511213,0.8023619
306308420,1.199,0.78,6,ENENWSESWW,0.0011602381691141327,-0.0005753408983568182,-0.003745826202482357,0.6981534446553326,0.039097524708250495,0.00250276093021191,0.6717144810872662,0.0002015048,-0.0002712822,0.8016108
306308529,1.308,0.78,6,ENENWSESWW,0.001497078292688338,-0.0006788895690709905,-0.0037778169733128516,0.6990064497696226,0.0396049627243348,0.0011716251204141944,0.6716159414309393,0.0001998775,-0.0002978346,0.8008617
306308642,1.421,0.78,6,ENENWSESWW,0.0019065751037183382,-0.0007619268384117075,-0.0038078177313052635,0.6997501539975881,0.03611085850255206,-0.003952872431753296,0.6737892490210391,0.0001995473,-0.0003246992,0.8002327
306308747,1.526,0.78,6,ENENWSESWW,0.0011971964552342535,-0.0008370649839574969,-0.003835817378608658,0.700502180292709,0.03734387275392738,-0.0007432819358582189,0.6745266718468177,0.0002039499,-0.0003516984,0.7995812
306308857,1.636,0.78,6,ENENWSESWW,0.0006549226220064587,-0.0009105574213819004,-0.0038597831006383964,0.7013091999939143,0.033690368753044896,-0.004469316258746388,0.6759847344470793,0.0002134289,-0.0003748006,0.7989728
306308966,1.745,0.78,6,ENENWSESWW,0.001446678885768587,-0.0009792161568373935,-0.003875295154926746,0.7020859716276449,0.037527093144754685,-0.0021146500541591685,0.6763825962154272,0.0002206643,-0.000386183,0.7986323
306309071,1.85,0.78,6,ENENWSESWW,0.0007649973533819881,-0.0010559299404751669,-0.0038815807770925088,0.7029344054079153,0.03888240842617769,0.005090044760499264,0.677135643238129,0.0002344433,-0.0004018311,0.7980483
306309175,1.954,0.78,6,ENENWSESWW,0.001070598258163506,-0.0011387272110712427,-0.0038753802184991345,0.7037927476252974,0.04093900785046529,0.004603982360208163,0.6775374527289036,0.0002477051,-0.000412548,0.7974444
306309293,2.072,0.78,6,ENENWSESWW,0.0012170943616198796,-0.0012410903195222828,-0.0038585897568619598,0.7047599409384745,0.04019040254937507,0.004031897578909144,0.6778977272858296,0.000254464,-0.0004170663,0.796973
306309401,2.18,0.78,6,ENENWSESWW,0.0008728378039359034,-0.0013214199978402732,-0.003844210471489251,0.7054495306058148,0.039642696914253546,0.005667234449113657,0.6790416690398516,0.0002567543,-0.0004212635,0.7964288
306309505,2.284,0.78,6,ENENWSESWW,0.000995639641901843,-0.0014186272602440997,-0.003826426639591036,0.7062066267450429,0.039832582141193736,0.005683019545042674,0.679983008876608,0.0002557142,-0.0004232358,0.7961992
