ts_ms,rel_s,alt_cmd,n_assoc,markers,kabsch_res,gt_x,gt_y,gt_z,est_x,est_y,est_z,cf2_x,cf2_y,cf2_z
308527799,0.0,0.78,6,ENENWSESWW,0.0017406169927910232,0.006632047523883247,-0.005847044846214516,0.7005810809066567,0.006111265814753383,0.0016588829176974599,0.6937385414541666,-0.0005482472,0.000494076,-0.009943317
308527906,0.107,0.78,6,ENENWSESWW,0.0007932154345480946,0.00677437928434857,-0.005976036521213714,0.7012903442696674,0.006777414072916844,0.006234645509426025,0.6940076213575816,0.000130702,-9.37463e-05,0.8106297
308528013,0.214,0.78,6,ENENWSESWW,0.0011700076736836087,0.006926305831199133,-0.006107698612601165,0.7020178584357731,0.008067734325356513,0.003244084637232276,0.6954315446197394,0.0001269667,-0.0001144042,0.8095407
308528119,0.32,0.78,6,ENENWSESWW,0.001769395042694384,0.007103414053792442,-0.0062479563873236,0.702823659869619,0.009195652744507904,0.004395869140398526,0.6970097027011538,0.0001349725,-0.0001396589,0.8086203
308528227,0.428,0.78,6,ENENWSESWW,0.0010900810470746898,0.007284992346280039,-0.0063781219352780074,0.7036248702680268,0.010025072467017917,0.007578955216010745,0.6977371345087993,0.0001532189,-0.0001653384,0.80776
308528332,0.533,0.78,6,ENENWSESWW,0.0009333602010635097,0.007443928664686489,-0.0064831986635721945,0.7043243930722157,0.008549369797813167,0.009262966522771938,0.6988287990798393,0.000183618,-0.0001924768,0.8067621
308528440,0.641,0.78,6,ENENWSESWW,0.0014123754894104338,0.007640147332298186,-0.0066021942976410425,0.7052124667964539,0.008086095773793866,0.005260189715336446,0.6991648364233429,0.0002080338,-0.0002072882,0.8059649
308528547,0.748,0.78,6,ENENWSESWW,0.0003282861193098554,0.007806587954479679,-0.006695777955728324,0.7059962985619183,0.010269178953701387,0.00559943569777735,0.6995095276031426,0.0002202398,-0.0002122643,0.8055073
308528653,0.854,0.78,6,ENENWSESWW,0.0004477745455760023,0.008016547668639932,-0.006810960844563637,0.7070333139952869,0.009652551754033619,0.005750475837969317,0.7007668388637819,0.000236953,-0.0002157122,0.8047007
308528760,0.961,0.78,6,ENENWSESWW,0.0009211686307345447,0.008162672029266693,-0.006894709545178633,0.7078090980653907,0.008876091011335008,0.005702878258364694,0.7014517807391065,0.0002465563,-0.0002171127,0.8039049
