# sentai.sim journal opened path=/home/bogdan/work/coralmicro/build-sim/sentai_fs_root/mission_s185_journal.txt truncate=1 t_ms=327916015
327916015 markers_init {'rc': 0, 'backend': 'whycon'}
327916015 markers_extrinsics_set {'rpy': (0.0, 1.570796, 3.141593), 't': (-0.04, 0.0, -0.02)}
327916015 marker_world_registered {'rc': 0, 'n': 6}
327916017 crazy_init {'rc': 0}
327916017 crazy_arm {}
327917002 pose_subscribe {'rc': 0, 'period_ms': 50, 'tries': 1}
327917510 takeoff {'rc': 0, 'h': 0.78}
327924590 takeoff_settled {}
327924591 crazy_hl_stop {'rc': 0}
327924748 hover_pin_ready {'alt': 0.78}
327924748 phase_A_start {'ticks': 30}
327924757 tick {'k': 0, 'yaw_cmd': 0.0, 'cf2': (-0.0003907486, 0.0003566815, -0.01369399, 0.0001167209), 'n': 4, 'phase': 'A_pre', 'pose': (0.16452, 0.006006326, 0.5698932, -0.0008881801, 0.0007737278, 4, 1, 1, 0)}
327924868 tick {'k': 1, 'yaw_cmd': 0.0, 'cf2': (9.406375e-05, -0.0001057661, 0.8098067, -0.0004919954), 'n': 4, 'phase': 'A_pre', 'pose': (0.005235776, -0.0005043687, 0.5695296, -0.00102781, 0.000558235, 4, 0, 1, 1)}
327924976 tick {'k': 2, 'yaw_cmd': 0.0, 'cf2': (8.360277e-05, -0.0001193268, 0.8088103, -0.0004915976), 'n': 4, 'phase': 'A_pre', 'pose': (0.1637308, -3.43209e-05, 0.5689411, -0.001494127, 0.0002448108, 4, 1, 1, 0)}
327925081 tick {'k': 3, 'yaw_cmd': 0.0, 'cf2': (8.289388e-05, -0.0001461732, 0.8077862, -0.0004914646), 'n': 4, 'phase': 'A_pre', 'pose': (0.005154811, -0.0004823416, 0.5678233, -0.002991774, 0.0003317689, 4, 0, 0, 0)}
327925188 tick {'k': 4, 'yaw_cmd': 0.0, 'cf2': (8.679596e-05, -0.0001596629, 0.8073624, -0.0004914646), 'n': 4, 'phase': 'A_pre', 'pose': (0.005528845, 0.002327834, 0.005, -0.002133442, 0.00039333, 4, 0, 0, 0)}
327925297 tick {'k': 5, 'yaw_cmd': 0.0, 'cf2': (0.0001053183, -0.000189725, 0.8064035, -0.0004913423), 'n': 4, 'phase': 'A_pre', 'pose': (0.1649162, -0.0009396554, 0.5661433, -0.0007951417, 0.0004082452, 4, 1, 1, 0)}
327925401 tick {'k': 6, 'yaw_cmd': 0.0, 'cf2': (0.0001287056, -0.0002116829, 0.8055963, -0.0004911009), 'n': 4, 'phase': 'A_pre', 'pose': (0.1668705, 6.737717e-05, 0.5659794, -0.001621717, 0.001272811, 4, 1, 1, 0)}
327925510 tick {'k': 7, 'yaw_cmd': 0.0, 'cf2': (0.0001570267, -0.000229745, 0.8046772, -0.0004908748), 'n': 4, 'phase': 'A_pre', 'pose': (0.1664292, -0.00178397, 0.5650399, -0.0009496191, 0.0006318191, 4, 1, 1, 0)}
327925619 tick {'k': 8, 'yaw_cmd': 0.0, 'cf2': (0.0001773226, -0.0002397593, 0.8039206, -0.0004907623), 'n': 4, 'phase': 'A_pre', 'pose': (0.008617811, 0.002241139, 0.005, -0.001059877, 0.0005959433, 4, 0, 0, 0)}
327925730 tick {'k': 9, 'yaw_cmd': 0.0, 'cf2': (0.0001912995, -0.0002488513, 0.8031482, -0.0004907623), 'n': 4, 'phase': 'A_pre', 'pose': (0.005933278, 0.0005197624, 0.5642076, -0.0006743427, 0.001007798, 4, 0, 1, 1)}
327925841 tick {'k': 10, 'yaw_cmd': 0.0, 'cf2': (0.0001937568, -0.0002519078, 0.8029206, -0.0004907623), 'n': 4, 'phase': 'A_pre', 'pose': (0.004946865, 0.0004515604, 0.5642858, -0.0009029156, 0.0007495336, 4, 0, 1, 1)}
327925948 tick {'k': 11, 'yaw_cmd': 0.0, 'cf2': (0.0001961022, -0.0002698591, 0.802004, -0.0004904227), 'n': 4, 'phase': 'A_pre', 'pose': (0.1643696, -0.001860006, 0.5634161, -0.002033448, 0.0004464219, 4, 1, 1, 0)}
327926056 tick {'k': 12, 'yaw_cmd': 0.0, 'cf2': (0.0001940641, -0.000289889, 0.8013794, -0.0004904185), 'n': 4, 'phase': 'A_pre', 'pose': (0.1665524, -0.001822739, 0.5629348, -0.002093509, 0.0006474587, 4, 1, 1, 0)}
327926167 tick {'k': 13, 'yaw_cmd': 0.0, 'cf2': (0.000191593, -0.0003156702, 0.8007568, -0.0004903214), 'n': 4, 'phase': 'A_pre', 'pose': (0.167586, -0.001276209, 0.5619359, -0.001372062, 0.0003667354, 4, 1, 1, 0)}
327926275 tick {'k': 14, 'yaw_cmd': 0.0, 'cf2': (0.0001907396, -0.0003328327, 0.8003973, -0.0004903213), 'n': 4, 'phase': 'A_pre', 'pose': (0.009830057, 0.006550407, 0.005, -0.0006437983, 0.0003063358, 4, 0, 1, 0)}
327926382 tick {'k': 15, 'yaw_cmd': 0.0, 'cf2': (0.0001910911, -0.0003625071, 0.799767, -0.0004903214), 'n': 4, 'phase': 'A_pre', 'pose': (-0.06245212, 0.001663897, 0.005, -0.0005198277, 0.0002044442, 4, 0, 0, 0)}
327926493 tick {'k': 16, 'yaw_cmd': 0.0, 'cf2': (0.0001942951, -0.0003918902, 0.7990749, -0.0004902506), 'n': 4, 'phase': 'A_pre', 'pose': (0.009847447, -0.001244779, 0.5605064, -0.001669684, 0.001354371, 4, 0, 0, 0)}
327926607 tick {'k': 17, 'yaw_cmd': 0.0, 'cf2': (0.0001974335, -0.0004094488, 0.7986101, -0.0004902486), 'n': 4, 'phase': 'A_pre', 'pose': (0.1699352, -0.005161892, 0.5598288, -0.0007875493, 0.0007821354, 4, 1, 1, 0)}
327926716 tick {'k': 18, 'yaw_cmd': 0.0, 'cf2': (0.0002006207, -0.0004276531, 0.7980179, -0.0004901397), 'n': 4, 'phase': 'A_pre', 'pose': (0.008969903, -0.04673827, 0.005, -0.0004410774, 0.0003878031, 4, 0, 1, 0)}
327926823 tick {'k': 19, 'yaw_cmd': 0.0, 'cf2': (0.0002006889, -0.000436353, 0.7976631, -0.0004900947), 'n': 4, 'phase': 'A_pre', 'pose': (0.1686953, 0.002539857, 0.5592057, -0.001257332, 0.0004162474, 4, 1, 1, 0)}
327926935 tick {'k': 20, 'yaw_cmd': 0.0, 'cf2': (0.000197087, -0.0004457511, 0.7972007, -0.0004900948), 'n': 4, 'phase': 'A_pre', 'pose': (0.1652818, -0.003681034, 0.5596038, -0.001258056, 0.0008386954, 4, 1, 1, 0)}
327927048 tick {'k': 21, 'yaw_cmd': 0.0, 'cf2': (0.0001849716, -0.0004581119, 0.7965776, -0.0004900922), 'n': 4, 'phase': 'A_pre', 'pose': (0.006077878, -0.004021691, 0.5591881, -0.001143631, 0.001046208, 4, 0, 0, 0)}
327927155 tick {'k': 22, 'yaw_cmd': 0.0, 'cf2': (0.0001804107, -0.0004614972, 0.7964127, -0.0004900825), 'n': 4, 'phase': 'A_pre', 'pose': (0.006800652, 0.0005994176, 0.5587134, -0.00111513, 0.0002992963, 4, 0, 0, 0)}
327927263 tick {'k': 23, 'yaw_cmd': 0.0, 'cf2': (0.0001564895, -0.0004814996, 0.7956676, -0.0004899282), 'n': 4, 'phase': 'A_pre', 'pose': (0.008203126, 0.0009357928, 0.5578591, -0.0008159101, 0.0006219735, 4, 0, 0, 0)}
327927376 tick {'k': 24, 'yaw_cmd': 0.0, 'cf2': (0.0001449467, -0.0004976025, 0.7952137, 0.0001241308), 'n': 4, 'phase': 'A_pre', 'pose': (0.006817892, 0.0001265377, 0.557991, -0.0005164337, 0.0007678587, 4, 0, 1, 1)}
