    PID    PPID STAT CMD
      1       0 Ss   /usr/lib/systemd/systemd --system --deserialize=35 splash
      2       0 S    [kthreadd]
      3       2 S    [pool_workqueue_release]
      4       2 I<   [kworker/R-rcu_gp]
      5       2 I<   [kworker/R-sync_wq]
      6       2 I<   [kworker/R-kvfree_rcu_reclaim]
      7       2 I<   [kworker/R-slub_flushwq]
      8       2 I<   [kworker/R-netns]
     11       2 I<   [kworker/0:0H-events_highpri]
     13       2 I<   [kworker/R-mm_percpu_wq]
     14       2 S    [ksoftirqd/0]
     15       2 R    [rcu_preempt]
     16       2 S    [rcu_exp_par_gp_kthread_worker/0]
     17       2 S    [rcu_exp_gp_kthread_worker]
     18       2 S    [migration/0]
     19       2 S    [idle_inject/0]
     20       2 S    [cpuhp/0]
     21       2 S    [cpuhp/2]
     22       2 S    [idle_inject/2]
     23       2 S    [migration/2]
     24       2 S    [ksoftirqd/2]
     26       2 I<   [kworker/2:0H-events_highpri]
     27       2 S    [cpuhp/4]
     28       2 S    [idle_inject/4]
     29       2 S    [migration/4]
     30       2 S    [ksoftirqd/4]
     32       2 I<   [kworker/4:0H-events_highpri]
     33       2 S    [cpuhp/6]
     34       2 S    [idle_inject/6]
     35       2 S    [migration/6]
     36       2 S    [ksoftirqd/6]
     38       2 I<   [kworker/6:0H-events_highpri]
     39       2 S    [cpuhp/8]
     40       2 S    [idle_inject/8]
     41       2 S    [migration/8]
     42       2 S    [ksoftirqd/8]
     44       2 I<   [kworker/8:0H-events_highpri]
     45       2 S    [cpuhp/10]
     46       2 S    [idle_inject/10]
     47       2 S    [migration/10]
     48       2 S    [ksoftirqd/10]
     50       2 I<   [kworker/10:0H-events_highpri]
     51       2 S    [cpuhp/12]
     52       2 S    [idle_inject/12]
     53       2 S    [migration/12]
     54       2 S    [ksoftirqd/12]
     56       2 I<   [kworker/12:0H-events_highpri]
     57       2 S    [cpuhp/14]
     58       2 S    [idle_inject/14]
     59       2 S    [migration/14]
     60       2 S    [ksoftirqd/14]
     62       2 I<   [kworker/14:0H-events_highpri]
     63       2 S    [cpuhp/1]
     64       2 S    [idle_inject/1]
     65       2 S    [migration/1]
     66       2 S    [ksoftirqd/1]
     68       2 I<   [kworker/1:0H-events_highpri]
     69       2 S    [cpuhp/3]
     70       2 S    [idle_inject/3]
     71       2 S    [migration/3]
     72       2 S    [ksoftirqd/3]
     74       2 I<   [kworker/3:0H-events_highpri]
     75       2 S    [cpuhp/5]
     76       2 S    [idle_inject/5]
     77       2 S    [migration/5]
     78       2 S    [ksoftirqd/5]
     80       2 I<   [kworker/5:0H-events_highpri]
     81       2 S    [cpuhp/7]
     82       2 S    [idle_inject/7]
     83       2 S    [migration/7]
     84       2 S    [ksoftirqd/7]
     86       2 I<   [kworker/7:0H-events_highpri]
     87       2 S    [cpuhp/9]
     88       2 S    [idle_inject/9]
     89       2 S    [migration/9]
     90       2 S    [ksoftirqd/9]
     92       2 I<   [kworker/9:0H-events_highpri]
     93       2 S    [cpuhp/11]
     94       2 S    [idle_inject/11]
     95       2 S    [migration/11]
     96       2 S    [ksoftirqd/11]
     98       2 I<   [kworker/11:0H-events_highpri]
     99       2 S    [cpuhp/13]
    100       2 S    [idle_inject/13]
    101       2 S    [migration/13]
    102       2 S    [ksoftirqd/13]
    104       2 I<   [kworker/13:0H-events_highpri]
    105       2 S    [cpuhp/15]
    106       2 S    [idle_inject/15]
    107       2 S    [migration/15]
    108       2 S    [ksoftirqd/15]
    110       2 I<   [kworker/15:0H-events_highpri]
    111       2 S    [kdevtmpfs]
    112       2 I<   [kworker/R-inet_frag_wq]
    113       2 I    [rcu_tasks_kthread]
    114       2 I    [rcu_tasks_rude_kthread]
    115       2 I    [rcu_tasks_trace_kthread]
    116       2 S    [kauditd]
    117       2 S    [khungtaskd]
    119       2 S    [oom_reaper]
    120       2 I<   [kworker/R-writeback]
    121       2 S    [kcompactd0]
    122       2 SN   [ksmd]
    123       2 SN   [khugepaged]
    124       2 I<   [kworker/R-kblockd]
    125       2 I<   [kworker/R-blkcg_punt_bio]
    126       2 I<   [kworker/R-kintegrityd]
    128       2 S    [irq/9-acpi]
    130       2 I<   [kworker/R-tpm_dev_wq]
    131       2 I<   [kworker/R-ata_sff]
    132       2 I<   [kworker/R-md]
    133       2 I<   [kworker/R-md_bitmap]
    134       2 I<   [kworker/R-edac-poller]
    135       2 I<   [kworker/R-devfreq_wq]
    136       2 S    [watchdogd]
    137       2 I<   [kworker/R-quota_events_unbound]
    138       2 I<   [kworker/1:1H-kblockd]
    140       2 S    [irq/25-AMD-Vi]
    142       2 S    [kswapd0]
    143       2 S    [ecryptfs-kthread]
    144       2 I<   [kworker/R-kthrotld]
    146       2 I<   [kworker/R-acpi_thermal_pm]
    147       2 S    [hwrng]
    148       2 I<   [kworker/R-mld]
    149       2 I<   [kworker/12:1H-kblockd]
    150       2 I<   [kworker/R-ipv6_addrconf]
    152       2 I<   [kworker/R-kstrp]
    173       2 I<   [kworker/R-charger_manager]
    174       2 I<   [kworker/0:1H-kblockd]
    175       2 S    [irq/26-ACPI:Event]
    183       2 S    [irq/27-ACPI:Event]
    184       2 S    [irq/28-ACPI:Event]
    185       2 S    [irq/29-ACPI:Event]
    186       2 S    [irq/30-ACPI:Event]
    187       2 S    [irq/31-ACPI:Event]
