$ /usr/bin/python3 emu/host/sentai_gazebo_uds_to_tcp_bridge.py --uds /tmp/sentai_emu_cam.sock --tcp-host 127.0.0.1 --tcp-port 30233 --max-fps 2.0
[uds-tcp] listening /tmp/sentai_emu_cam.sock
[uds-tcp] gz client connected
[uds-tcp] tcp connected 127.0.0.1:30233
[uds-tcp] frames=30 seq=30 forwarded=3 dropped=27
[uds-tcp] frames=60 seq=60 forwarded=6 dropped=54
[uds-tcp] frames=90 seq=90 forwarded=9 dropped=81
[uds-tcp] frames=120 seq=120 forwarded=12 dropped=108
[uds-tcp] frames=150 seq=150 forwarded=14 dropped=136
[uds-tcp] frames=180 seq=180 forwarded=17 dropped=163
[uds-tcp] frames=210 seq=210 forwarded=20 dropped=190
[uds-tcp] frames=240 seq=240 forwarded=23 dropped=217
[uds-tcp] frames=270 seq=270 forwarded=26 dropped=244
[uds-tcp] frames=300 seq=300 forwarded=28 dropped=272
[uds-tcp] frames=330 seq=330 forwarded=31 dropped=299
[uds-tcp] frames=360 seq=360 forwarded=34 dropped=326
[uds-tcp] frames=390 seq=390 forwarded=37 dropped=353
[uds-tcp] frames=420 seq=420 forwarded=40 dropped=380
[uds-tcp] frames=450 seq=450 forwarded=43 dropped=407
[uds-tcp] frames=480 seq=480 forwarded=45 dropped=435
[uds-tcp] frames=510 seq=510 forwarded=48 dropped=462
[uds-tcp] frames=540 seq=540 forwarded=51 dropped=489
[uds-tcp] frames=570 seq=570 forwarded=54 dropped=516
[uds-tcp] frames=600 seq=600 forwarded=57 dropped=543
[uds-tcp] frames=630 seq=630 forwarded=59 dropped=571
[uds-tcp] frames=660 seq=660 forwarded=62 dropped=598
[uds-tcp] frames=690 seq=690 forwarded=65 dropped=625
[uds-tcp] frames=720 seq=720 forwarded=68 dropped=652
[uds-tcp] frames=750 seq=750 forwarded=70 dropped=680
[uds-tcp] frames=780 seq=780 forwarded=73 dropped=707
[uds-tcp] frames=810 seq=810 forwarded=76 dropped=734
[uds-tcp] frames=840 seq=840 forwarded=78 dropped=762
[uds-tcp] frames=870 seq=870 forwarded=81 dropped=789
[uds-tcp] frames=900 seq=900 forwarded=84 dropped=816
[uds-tcp] frames=930 seq=930 forwarded=87 dropped=843
[uds-tcp] frames=960 seq=960 forwarded=89 dropped=871
[uds-tcp] frames=990 seq=990 forwarded=92 dropped=898
[uds-tcp] frames=1020 seq=1020 forwarded=95 dropped=925
[uds-tcp] frames=1050 seq=1050 forwarded=98 dropped=952
[uds-tcp] frames=1080 seq=1080 forwarded=101 dropped=979
[uds-tcp] frames=1110 seq=1110 forwarded=103 dropped=1007
[uds-tcp] frames=1140 seq=1140 forwarded=106 dropped=1034
[uds-tcp] frames=1170 seq=1170 forwarded=109 dropped=1061
[uds-tcp] frames=1200 seq=1200 forwarded=111 dropped=1089
[uds-tcp] frames=1230 seq=1230 forwarded=114 dropped=1116
[uds-tcp] frames=1260 seq=1260 forwarded=117 dropped=1143
[uds-tcp] frames=1290 seq=1290 forwarded=120 dropped=1170
[uds-tcp] frames=1320 seq=1320 forwarded=122 dropped=1198
[uds-tcp] frames=1350 seq=1350 forwarded=125 dropped=1225
[uds-tcp] frames=1380 seq=1380 forwarded=128 dropped=1252
[uds-tcp] frames=1410 seq=1410 forwarded=131 dropped=1279
[uds-tcp] frames=1440 seq=1440 forwarded=133 dropped=1307
[uds-tcp] frames=1470 seq=1470 forwarded=136 dropped=1334
[uds-tcp] frames=1500 seq=1500 forwarded=139 dropped=1361
[uds-tcp] frames=1530 seq=1530 forwarded=142 dropped=1388
[uds-tcp] frames=1560 seq=1560 forwarded=144 dropped=1416
[uds-tcp] frames=1590 seq=1590 forwarded=147 dropped=1443
[uds-tcp] frames=1620 seq=1620 forwarded=150 dropped=1470
[uds-tcp] frames=1650 seq=1650 forwarded=153 dropped=1497
[uds-tcp] frames=1680 seq=1680 forwarded=155 dropped=1525
[uds-tcp] frames=1710 seq=1710 forwarded=158 dropped=1552
[uds-tcp] frames=1740 seq=1740 forwarded=161 dropped=1579
[uds-tcp] frames=1770 seq=1770 forwarded=164 dropped=1606
[uds-tcp] frames=1800 seq=1800 forwarded=166 dropped=1634
[uds-tcp] frames=1830 seq=1830 forwarded=169 dropped=1661
[uds-tcp] frames=1860 seq=1860 forwarded=172 dropped=1688
[uds-tcp] frames=1890 seq=1890 forwarded=175 dropped=1715
[uds-tcp] frames=1920 seq=1920 forwarded=177 dropped=1743
[uds-tcp] frames=1950 seq=1950 forwarded=180 dropped=1770
[uds-tcp] frames=1980 seq=1980 forwarded=183 dropped=1797
[uds-tcp] frames=2010 seq=2010 forwarded=185 dropped=1825
[uds-tcp] frames=2040 seq=2040 forwarded=188 dropped=1852
[uds-tcp] frames=2070 seq=2070 forwarded=191 dropped=1879
[uds-tcp] frames=2100 seq=2100 forwarded=194 dropped=1906
[uds-tcp] frames=2130 seq=2130 forwarded=196 dropped=1934
[uds-tcp] frames=2160 seq=2160 forwarded=199 dropped=1961
[uds-tcp] frames=2190 seq=2190 forwarded=202 dropped=1988
[uds-tcp] frames=2220 seq=2220 forwarded=205 dropped=2015
[uds-tcp] frames=2250 seq=2250 forwarded=208 dropped=2042
[uds-tcp] frames=2280 seq=2280 forwarded=210 dropped=2070
[uds-tcp] frames=2310 seq=2310 forwarded=213 dropped=2097
[uds-tcp] frames=2340 seq=2340 forwarded=216 dropped=2124
[uds-tcp] frames=2370 seq=2370 forwarded=219 dropped=2151
[uds-tcp] frames=2400 seq=2400 forwarded=221 dropped=2179
[uds-tcp] frames=2430 seq=2430 forwarded=224 dropped=2206
[uds-tcp] frames=2460 seq=2460 forwarded=227 dropped=2233
[uds-tcp] frames=2490 seq=2490 forwarded=230 dropped=2260
[uds-tcp] frames=2520 seq=2520 forwarded=232 dropped=2288
[uds-tcp] frames=2550 seq=2550 forwarded=235 dropped=2315
[uds-tcp] frames=2580 seq=2580 forwarded=238 dropped=2342
[uds-tcp] frames=2610 seq=2610 forwarded=241 dropped=2369
[uds-tcp] frames=2640 seq=2640 forwarded=243 dropped=2397
[uds-tcp] frames=2670 seq=2670 forwarded=246 dropped=2424
[uds-tcp] frames=2700 seq=2700 forwarded=249 dropped=2451
[uds-tcp] frames=2730 seq=2730 forwarded=252 dropped=2478
[uds-tcp] frames=2760 seq=2760 forwarded=255 dropped=2505
[uds-tcp] frames=2790 seq=2790 forwarded=257 dropped=2533
[uds-tcp] frames=2820 seq=2820 forwarded=260 dropped=2560
[uds-tcp] frames=2850 seq=2850 forwarded=263 dropped=2587
[uds-tcp] frames=2880 seq=2880 forwarded=265 dropped=2615
[uds-tcp] frames=2910 seq=2910 forwarded=268 dropped=2642
[uds-tcp] frames=2940 seq=2940 forwarded=271 dropped=2669
[uds-tcp] frames=2970 seq=2970 forwarded=274 dropped=2696
[uds-tcp] frames=3000 seq=3000 forwarded=276 dropped=2724
[uds-tcp] frames=3030 seq=3030 forwarded=279 dropped=2751
[uds-tcp] frames=3060 seq=3060 forwarded=282 dropped=2778
[uds-tcp] frames=3090 seq=3090 forwarded=285 dropped=2805
[uds-tcp] frames=3120 seq=3120 forwarded=288 dropped=2832
[uds-tcp] frames=3150 seq=3150 forwarded=291 dropped=2859
[uds-tcp] frames=3180 seq=3180 forwarded=294 dropped=2886
[uds-tcp] frames=3210 seq=3210 forwarded=296 dropped=2914
[uds-tcp] frames=3240 seq=3240 forwarded=299 dropped=2941
[uds-tcp] frames=3270 seq=3270 forwarded=302 dropped=2968
[uds-tcp] frames=3300 seq=3300 forwarded=304 dropped=2996
[uds-tcp] frames=3330 seq=3330 forwarded=307 dropped=3023
[uds-tcp] frames=3360 seq=3360 forwarded=310 dropped=3050
[uds-tcp] frames=3390 seq=3390 forwarded=313 dropped=3077
[uds-tcp] frames=3420 seq=3420 forwarded=315 dropped=3105
[uds-tcp] frames=3450 seq=3450 forwarded=318 dropped=3132
[uds-tcp] frames=3480 seq=3480 forwarded=321 dropped=3159
[uds-tcp] frames=3510 seq=3510 forwarded=324 dropped=3186
[uds-tcp] frames=3540 seq=3540 forwarded=326 dropped=3214
[uds-tcp] frames=3570 seq=3570 forwarded=329 dropped=3241
[uds-tcp] frames=3600 seq=3600 forwarded=332 dropped=3268
[uds-tcp] frames=3630 seq=3630 forwarded=335 dropped=3295
[uds-tcp] frames=3660 seq=3660 forwarded=337 dropped=3323
[uds-tcp] frames=3690 seq=3690 forwarded=340 dropped=3350
[uds-tcp] frames=3720 seq=3720 forwarded=343 dropped=3377
[uds-tcp] frames=3750 seq=3750 forwarded=346 dropped=3404
[uds-tcp] frames=3780 seq=3780 forwarded=348 dropped=3432
[uds-tcp] frames=3810 seq=3810 forwarded=351 dropped=3459
[uds-tcp] client error: [Errno 32] Broken pipe
