version,run,model,chunk_kb,drain,rep,target_cam,select_rc,select_us,to_tensor_rc,to_tensor_us,total_us,start_frame,end_frame,frame_delta,grabbed_id,current_id
"SentAI v1.0 build 1544 (2026-06-24 11:07:59)","0","/yolo_1_class_512_1_upsample_512_inloc_de_1024_la_P5_32.tflite","128","1","0","0","0","4","0","11966","11970","32","32","0","0","0"
"SentAI v1.0 build 1544 (2026-06-24 11:07:59)","0","/yolo_1_class_512_1_upsample_512_inloc_de_1024_la_P5_32.tflite","128","1","1","1","0","22980","0","80953","103933","69","70","1","1","1"
"SentAI v1.0 build 1544 (2026-06-24 11:07:59)","0","/yolo_1_class_512_1_upsample_512_inloc_de_1024_la_P5_32.tflite","128","1","2","0","0","22225","0","79953","102178","71","72","1","0","0"
"SentAI v1.0 build 1544 (2026-06-24 11:07:59)","0","/yolo_1_class_512_1_upsample_512_inloc_de_1024_la_P5_32.tflite","128","1","3","1","0","11919","0","79652","91571","72","74","2","1","1"
"SentAI v1.0 build 1544 (2026-06-24 11:07:59)","0","/yolo_1_class_512_1_upsample_512_inloc_de_1024_la_P5_32.tflite","128","1","4","0","0","13222","0","79949","93171","74","75","1","0","0"
"SentAI v1.0 build 1544 (2026-06-24 11:07:59)","0","/yolo_1_class_512_1_upsample_512_inloc_de_1024_la_P5_32.tflite","128","1","5","1","0","10901","0","80646","91547","75","77","2","1","1"
"SentAI v1.0 build 1544 (2026-06-24 11:07:59)","0","/yolo_1_class_512_1_upsample_512_inloc_de_1024_la_P5_32.tflite","128","1","6","0","0","12203","0","79955","92158","77","78","1","0","0"
"SentAI v1.0 build 1544 (2026-06-24 11:07:59)","0","/yolo_1_class_512_1_upsample_512_inloc_de_1024_la_P5_32.tflite","128","1","7","1","0","20644","0","80959","101603","110","111","1","1","1"
"SentAI v1.0 build 1544 (2026-06-24 11:07:59)","0","/yolo_1_class_512_1_upsample_512_inloc_de_1024_la_P5_32.tflite","128","1","8","0","0","11909","0","78652","90561","111","113","2","0","0"
"SentAI v1.0 build 1544 (2026-06-24 11:07:59)","0","/yolo_1_class_512_1_upsample_512_inloc_de_1024_la_P5_32.tflite","128","1","9","1","0","12185","0","80957","93142","113","114","1","1","1"
"SentAI v1.0 build 1544 (2026-06-24 11:07:59)","0","/yolo_1_class_512_1_upsample_512_inloc_de_1024_la_P5_32.tflite","128","1","10","0","0","16695","0","77977","94672","116","118","2","0","0"
"SentAI v1.0 build 1544 (2026-06-24 11:07:59)","0","/yolo_1_class_512_1_upsample_512_inloc_de_1024_la_P5_32.tflite","128","1","11","1","0","12889","0","80950","93839","118","119","1","1","1"
"SentAI v1.0 build 1544 (2026-06-24 11:07:59)","0","/yolo_1_class_512_1_upsample_512_inloc_de_1024_la_P5_32.tflite","128","1","12","0","0","11898","0","78661","90559","119","121","2","0","0"
"SentAI v1.0 build 1544 (2026-06-24 11:07:59)","0","/yolo_1_class_512_1_upsample_512_inloc_de_1024_la_P5_32.tflite","128","1","13","1","0","13233","0","80956","94189","121","122","1","1","1"
"SentAI v1.0 build 1544 (2026-06-24 11:07:59)","0","/yolo_1_class_512_1_upsample_512_inloc_de_1024_la_P5_32.tflite","128","1","14","0","0","10946","0","79652","90598","122","124","2","0","0"
"SentAI v1.0 build 1544 (2026-06-24 11:07:59)","0","/yolo_1_class_512_1_upsample_512_inloc_de_1024_la_P5_32.tflite","128","1","15","1","0","16572","0","80959","97531","155","156","1","1","1"
"SentAI v1.0 build 1544 (2026-06-24 11:07:59)","0","/yolo_1_class_512_1_upsample_512_inloc_de_1024_la_P5_32.tflite","128","1","16","0","0","10912","0","79663","90575","156","158","2","0","0"
"SentAI v1.0 build 1544 (2026-06-24 11:07:59)","0","/yolo_1_class_512_1_upsample_512_inloc_de_1024_la_P5_32.tflite","128","1","17","1","0","7634","0","80954","88588","158","159","1","1","1"
"SentAI v1.0 build 1544 (2026-06-24 11:07:59)","0","/yolo_1_class_512_1_upsample_512_inloc_de_1024_la_P5_32.tflite","128","1","18","0","0","11932","0","78646","90578","159","161","2","0","0"
