Edge TPU Compiler version 16.0.384591198
Input: /run/media/bogdan/3E4252C842528495/Data/sentai_human/review/runs/cover__yolov5n_p3p4_c2f_deep_e100_b64_imgsz480x640_s42_20260625-134809/export/cover__yolov5n_p3p4_c2f_deep_e100_b64_imgsz480x640_s42_20260625-134809_int8_480x640_int8.tflite
Output: /run/media/bogdan/3E4252C842528495/Data/sentai_human/review/exports/edgetpu/cover__yolov5n_p3p4_c2f_deep_e100_b64_imgsz480x640_s42_20260625-134809_int8_480x640_int8_edgetpu.tflite

Operator                       Count      Status

CONV_2D                        68         Mapped to Edge TPU
MUL                            66         Mapped to Edge TPU
QUANTIZE                       2          Mapped to Edge TPU
RESIZE_NEAREST_NEIGHBOR        1          Mapped to Edge TPU
LOGISTIC                       66         Mapped to Edge TPU
PAD                            5          Mapped to Edge TPU
CONCATENATION                  8          Mapped to Edge TPU
SPLIT                          5          Mapped to Edge TPU
MAX_POOL_2D                    3          Mapped to Edge TPU
ADD                            18         Mapped to Edge TPU
